horizon_d,n_total,n_reentered,p_escape
1,125,20,0.84
2,125,23,0.816
3,125,28,0.776
5,125,39,0.688
7,125,44,0.648
10,125,48,0.616
14,125,50,0.6
21,125,52,0.584
30,125,52,0.584
