horizon_d,n_failure,n_reentered_within_h,p_reentry_within_h
1,98,20,0.2041
2,98,23,0.2347
3,98,28,0.2857
5,98,39,0.398
7,98,44,0.449
10,98,48,0.4898
14,98,50,0.5102
21,98,52,0.5306
30,98,52,0.5306
