variable,horizon_d,n_success,n_failure,median_success,median_failure,delta,rank_biserial_r,p_raw,p_fdr,significant_fdr
btc_dom_chg30,10,27,96,-0.01322,0.00814,-0.02136,-0.4259,2e-06,7e-06,True
btc_return_30d,0,25,85,0.24701,0.01319,0.23382,0.5131,0.0,0.0,True
btc_return_7d,3,25,94,0.05721,0.00649,0.05072,0.3217,0.000449,0.001122,True
chain_tvl_med_chg7,7,27,96,0.04623,-0.00307,0.04929,0.3697,4.1e-05,0.000134,True
eth_btc_relative_return_30d,2,26,93,-0.01265,-0.06138,0.04873,0.2511,0.006152,0.011689,True
eth_btc_relative_return_7d,5,26,96,0.00824,-0.00398,0.01223,0.2117,0.019375,0.034086,True
med_ret30_11_50,21,27,91,0.12532,-0.01687,0.14219,0.3424,0.0002,0.000576,True
med_ret30_201_500,14,27,91,0.14495,-0.04917,0.19412,0.4874,0.0,0.0,True
med_ret30_51_200,21,27,91,0.16426,-0.03519,0.19945,0.3317,0.000314,0.000829,True
top3_share,30,27,94,0.70729,0.7259,-0.01861,-0.2683,0.003169,0.006545,True
top3_share_chg7,0,27,96,-0.00483,-2e-05,-0.00481,-0.2005,0.026138,0.043949,True
top500_breadth_30d,1,27,96,0.758,0.283,0.475,0.5325,0.0,0.0,True
top500_breadth_7d,1,27,96,0.784,0.374,0.41,0.3636,5.5e-05,0.000169,True
top500_dispersion_30d,3,27,94,0.47967,0.28731,0.19236,0.356,9e-05,0.000267,True
top500_dispersion_7d,1,26,92,0.19189,0.13731,0.05458,0.3066,0.000866,0.002031,True
total_mcap_chg30,21,27,94,0.10917,0.02159,0.08758,0.2117,0.019897,0.034683,True
