variable,n_total,n_decline_within_7d,pct_decline,median_decline_start
top500_breadth_30d,23,3,0.13,12.0
top500_breadth_7d,21,2,0.095,12.0
top500_dispersion_30d,10,0,0.0,13.0
vol_med,14,8,0.571,6.5
top3_share_chg7,23,5,0.217,12.0
eth_btc_relative_return_7d,26,6,0.231,12.0
btc_return_7d,16,0,0.0,12.5
med_ret30_51_200,21,5,0.238,12.0
