variable,median_latency_d,p25_latency_d,p75_latency_d,n_observed
top500_breadth_30d,12.0,11.0,13.0,23
top500_breadth_7d,12.0,10.0,13.0,21
top500_dispersion_30d,13.0,13.0,13.0,10
vol_med,6.5,5.0,10.2,14
top3_share_chg7,12.0,8.5,13.0,23
eth_btc_relative_return_7d,12.0,8.5,13.0,26
btc_return_7d,12.5,12.0,13.0,16
med_ret30_51_200,12.0,11.0,13.0,21
