condition,n_events,n_success,p_success,p_success_overall,p_fisher,p_fdr
BTC_UP,68,23,0.3382,0.216,0.084962,0.169924
BTC_DOWN,44,2,0.0455,0.216,0.009593,0.025435
VOL_HIGH,27,10,0.3704,0.216,0.135364,0.225607
VOL_LOW,56,13,0.2321,0.216,0.847332,0.847332
BREADTH_EXPANDING,37,22,0.5946,0.216,2.7e-05,0.00027
BREADTH_CONTRACTING,88,5,0.0568,0.216,0.001517,0.007585
ETH_STRONG,44,13,0.2955,0.216,0.306488,0.38311
ETH_WEAK,68,12,0.1765,0.216,0.576858,0.640953
RISK_ON,83,25,0.3012,0.216,0.191762,0.273946
RISK_OFF,42,2,0.0476,0.216,0.010174,0.025435
