event_id,class,top500_breadth_30d_retrace_median,top500_breadth_30d_retention_5d,top500_breadth_7d_retrace_median,top500_breadth_7d_retention_5d,top500_dispersion_30d_retrace_median,top500_dispersion_30d_retention_5d,vol_med_retrace_median,vol_med_retention_5d,top3_share_chg7_retrace_median,top3_share_chg7_retention_5d,eth_btc_relative_return_7d_retrace_median,eth_btc_relative_return_7d_retention_5d,btc_return_7d_retrace_median,btc_return_7d_retention_5d,med_ret30_51_200_retrace_median,med_ret30_51_200_retention_5d
EXIT_000,FAILED_IGNITION,0.248,1.4111,0.3,2.1168,0.36435,1.1746,0.0551,0.9556,0.00754,0.3338,-0.0305,-2.5621,0.00781,-4.7091,-0.11372,0.5543
EXIT_004,FAILED_IGNITION,0.0,,0.37,0.897,,,,,-0.00453,1.3111,0.02344,0.2431,-0.01048,-0.3081,,
EXIT_005,FAILED_IGNITION,0.548,,0.508,0.2622,1.57319,,0.0635,1.0158,0.01956,1.9677,-0.14416,2.1232,0.22485,0.3221,0.01812,
EXIT_008,FAILED_IGNITION,0.182,1.1098,0.344,0.4421,0.44272,1.1313,0.07474,0.9539,-0.00266,0.812,-0.04873,-5.0842,-0.02969,2.1641,-0.17851,0.885
EXIT_010,FAILED_IGNITION,0.674,,0.5,1.6789,0.64478,,0.05119,0.965,0.00108,-0.3181,0.0576,0.7519,0.00807,-1.8577,0.13919,
EXIT_011,FAILED_IGNITION,0.648,1.0,0.69,0.7401,0.80687,1.3678,0.0508,0.9731,-0.00262,-0.0175,0.03391,-0.5931,0.03275,4.3262,0.14282,1.4114
EXIT_016,RETEST_RELOAD,0.746,1.0073,0.782,0.8132,0.34018,1.0509,0.04379,0.9301,-0.00701,-354.2599,0.0653,3.2978,0.03589,-0.065,0.21288,1.2993
EXIT_019,FAILED_IGNITION,0.356,1.6481,0.562,1.9029,0.22157,0.9505,0.02532,1.0662,0.00696,0.9082,0.07601,4.9029,0.03938,8.7723,-0.03103,0.2794
EXIT_021,FAILED_IGNITION,0.298,1.4375,0.114,1.0556,0.22592,1.049,0.03667,1.008,0.01194,0.5173,-0.03939,0.359,-0.04456,1.9764,-0.05887,0.3171
EXIT_022,FAILED_IGNITION,0.29,1.2609,0.12,3.8776,0.17854,0.7631,0.03609,0.9192,0.00804,0.4665,-0.00726,-0.6255,-0.03078,-0.0704,-0.05429,0.7536
EXIT_024,FAILED_IGNITION,0.294,2.1461,0.866,1.1632,0.16736,1.1641,0.03331,1.0603,-0.00572,-0.1927,0.0439,0.4159,0.04595,4.9019,-0.04919,0.137
EXIT_025,RETEST_RELOAD,0.852,1.0046,0.858,0.9429,0.30337,1.2704,0.03057,1.1156,0.01393,1.1734,-0.03786,-0.2791,0.15355,0.6268,0.22952,1.3035
EXIT_026,RETEST_RELOAD,0.882,1.0184,0.8,0.9554,0.41324,1.4164,0.0356,1.0611,-0.00066,-0.9029,-0.05485,1.3988,0.08336,0.2013,0.37323,1.5265
EXIT_028,FAILED_IGNITION,0.366,1.5482,0.092,2.0,0.18063,1.1897,0.03576,0.9192,0.00327,-4.1432,-0.03182,1.5327,-0.06875,0.1318,-0.01947,-0.3322
EXIT_029,FAILED_IGNITION,0.234,0.9505,0.22,0.5161,0.1821,0.9673,0.0323,0.9918,0.002,0.514,0.00496,-0.2724,0.00662,-0.5715,-0.08677,1.3889
EXIT_031,FAILED_IGNITION,0.252,,0.608,1.9737,0.99155,,0.04497,1.0113,-0.01074,2.0194,0.02214,1.0901,0.00942,-2.0007,-0.08097,
EXIT_035,FAILED_IGNITION,0.592,1.5497,0.6,1.0286,0.62249,0.75,0.02818,0.9817,0.00087,1.3923,0.03243,-0.25,0.03044,2.7074,0.03715,-0.9625
EXIT_036,FAILED_IGNITION,0.378,,0.252,4.1618,0.51247,,0.02717,0.9913,0.00165,1.7304,-0.01963,3.0438,0.00308,-1.891,-0.02562,
EXIT_039,RETEST_RELOAD,0.876,0.9932,0.792,0.9079,0.44544,3.5928,0.03694,1.2056,-0.0048,0.1459,0.04,1.684,0.05721,10.1443,0.39687,1.1186
EXIT_040,RETEST_RELOAD,0.87,0.9931,0.622,0.0,0.88332,3.148,0.03984,1.1019,-0.0048,0.2275,0.02533,,0.04951,,0.39435,0.8693
EXIT_044,RETEST_RELOAD,0.676,1.1527,0.39,2.7122,0.52162,0.9708,0.04739,0.8949,-0.00382,0.7521,-0.03725,0.0922,0.01972,-0.8941,0.15564,1.5153
EXIT_045,RETEST_RELOAD,0.726,0.92,0.75,1.8564,0.55571,1.076,0.04182,0.9729,-0.01298,3.5117,0.00138,-0.3534,0.0355,0.3009,0.23957,0.8218
