horizon_d,n_success,n_sustained_within_h,p_sustained_within_h
1,27,6,0.2222
2,27,8,0.2963
3,27,10,0.3704
5,27,15,0.5556
7,27,20,0.7407
10,27,23,0.8519
14,27,25,0.9259
21,27,27,1.0
30,27,27,1.0
