group,cost_multiplier,n,expectancy_bps,win_rate,profit_factor,total_return_bps,break_even_multiplier
A,1.0,432,9.633187925727864,0.6388888888888888,2.3076031627462914,4161.537183914437,3.0
A,1.25,432,9.090827602999244,0.6319444444444444,2.1999897426199246,3927.2375244956734,3.0
A,1.5,432,8.548467280270621,0.6273148148148148,2.0979085584181747,3692.9378650769086,3.0
A,2.0,432,7.463746634813378,0.6041666666666666,1.9075060410806632,3224.3385462393794,3.0
A,3.0,432,5.29430534389889,0.5740740740740741,1.5773944906194015,2287.1399085643206,3.0
B,1.0,458,7.53942301740553,0.6135371179039302,1.9420786211383416,3453.0557419717325,3.0
B,1.25,458,7.214587446315541,0.6091703056768559,1.885483408378978,3304.2810504125177,3.0
B,1.5,458,6.889751875225554,0.6069868995633187,1.8307921960658762,3155.5063588533035,3.0
B,2.0,458,6.240080733045578,0.6026200873362445,1.7268368645317331,2857.9569757348745,3.0
B,3.0,458,4.940738448685626,0.5829694323144105,1.536456099956998,2262.8582094980165,3.0
A+B,1.0,890,8.555722388636145,0.6258426966292134,2.111955870009265,7614.59292588617,3.0
A+B,1.25,890,8.125301769559764,0.6202247191011236,2.032434191333564,7231.51857490819,3.0
A+B,1.5,890,7.694881150483384,0.6168539325842697,1.9562460651658387,6848.444223930212,3.0
A+B,2.0,890,6.834039912330621,0.6033707865168539,1.8125964291765675,6082.295521974253,3.0
A+B,3.0,890,5.112357436025097,0.5786516853932584,1.5562820823940475,4549.998118062336,3.0
