family,delay_h,hold_h,split,n,mean_net_bps,mean_gross_bps,win_prob,mean_cost_bps
EUR_ACCUMULATION_JPY_WEAKNESS,0,4,inner_sel,852,5.6206665505583135,7.367698514028634,0.5715962441314554,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,0,4,inner_val,308,4.237723342678362,5.984755306148682,0.5422077922077922,1.7470319634703193
EUR_ACCUMULATION_JPY_WEAKNESS,0,4,RELATIONSHIP_CONFIRMED_OOS,588,-0.5821153557102425,1.1649166077600772,0.4897959183673469,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,0,6,inner_sel,852,8.053878272283855,9.849426217489336,0.6009389671361502,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,0,6,inner_val,308,8.438822589818558,10.23437053502404,0.5811688311688312,1.7955479452054797
EUR_ACCUMULATION_JPY_WEAKNESS,0,6,RELATIONSHIP_CONFIRMED_OOS,588,2.717671702498841,4.513219647704321,0.5408163265306123,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,0,8,inner_sel,852,8.540756384445448,10.384820311386088,0.6032863849765259,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,0,8,inner_val,308,9.87674471149704,11.72080863843768,0.5811688311688312,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,0,8,RELATIONSHIP_CONFIRMED_OOS,588,3.094009959993135,4.938073886933775,0.54421768707483,1.8440639269406396
EUR_ACCUMULATION_JPY_WEAKNESS,0,12,inner_sel,852,8.74072462797881,10.68182051838977,0.5903755868544601,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,0,12,inner_val,308,7.754168271564606,9.695264161975569,0.5714285714285714,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,0,12,RELATIONSHIP_CONFIRMED_OOS,588,3.340909642610865,5.282005533021823,0.5697278911564626,1.9410958904109588
EUR_ACCUMULATION_JPY_WEAKNESS,1,4,inner_sel,852,7.851612576109938,9.598644539580258,0.6091549295774648,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,1,4,inner_val,308,6.905026531177785,8.652058494648104,0.5811688311688312,1.7470319634703193
EUR_ACCUMULATION_JPY_WEAKNESS,1,4,RELATIONSHIP_CONFIRMED_OOS,580,2.2221950631012493,3.969227026571569,0.5551724137931034,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,1,6,inner_sel,852,8.519092744288862,10.314640689494343,0.6056338028169014,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,1,6,inner_val,308,7.026795751962493,8.822343697167975,0.5551948051948052,1.7955479452054797
EUR_ACCUMULATION_JPY_WEAKNESS,1,6,RELATIONSHIP_CONFIRMED_OOS,580,3.181590727763308,4.977138672968788,0.5620689655172414,1.7955479452054792
EUR_ACCUMULATION_JPY_WEAKNESS,1,8,inner_sel,852,7.785243653910709,9.629307580851348,0.5833333333333334,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,1,8,inner_val,308,8.073819735220273,9.917883662160914,0.5357142857142857,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,1,8,RELATIONSHIP_CONFIRMED_OOS,580,2.9838618876982728,4.827925814638912,0.5586206896551724,1.8440639269406396
EUR_ACCUMULATION_JPY_WEAKNESS,1,12,inner_sel,852,8.113590372774576,10.054686263185538,0.6044600938967136,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,1,12,inner_val,308,7.632497553019,9.573593443429958,0.5422077922077922,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,1,12,RELATIONSHIP_CONFIRMED_OOS,580,4.106617905793405,6.0477137962043646,0.5793103448275863,1.9410958904109588
EUR_ACCUMULATION_JPY_WEAKNESS,2,4,inner_sel,844,8.659997949897122,10.40702991336744,0.6113744075829384,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,2,4,inner_val,308,7.548952686708261,9.295984650178582,0.5811688311688312,1.7470319634703193
EUR_ACCUMULATION_JPY_WEAKNESS,2,4,RELATIONSHIP_CONFIRMED_OOS,576,3.746996607426818,5.494028570897139,0.5954861111111112,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,2,6,inner_sel,844,9.151950887593278,10.947498832798756,0.6172985781990521,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,2,6,inner_val,308,8.986874808386743,10.782422753592222,0.5714285714285714,1.7955479452054797
EUR_ACCUMULATION_JPY_WEAKNESS,2,6,RELATIONSHIP_CONFIRMED_OOS,576,4.1321859949050594,5.927733940110539,0.5833333333333334,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,2,8,inner_sel,844,8.518217338543344,10.362281265483984,0.5995260663507109,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,2,8,inner_val,308,7.401605144668045,9.245669071608686,0.5551948051948052,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,2,8,RELATIONSHIP_CONFIRMED_OOS,576,4.45712448479814,6.30118841173878,0.5868055555555556,1.8440639269406396
EUR_ACCUMULATION_JPY_WEAKNESS,2,12,inner_sel,844,9.04793412222693,10.989030012637889,0.5983412322274881,1.9410958904109588
EUR_ACCUMULATION_JPY_WEAKNESS,2,12,inner_val,308,5.615085955518458,7.556181845929418,0.5422077922077922,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,2,12,RELATIONSHIP_CONFIRMED_OOS,576,4.845808735289669,6.786904625700628,0.5920138888888888,1.9410958904109588
EUR_ACCUMULATION_JPY_WEAKNESS,3,4,inner_sel,840,1.2384576139991488,2.985489577469469,0.5154761904761904,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,3,4,inner_val,308,1.5548748803610777,3.301906843831397,0.474025974025974,1.7470319634703193
EUR_ACCUMULATION_JPY_WEAKNESS,3,4,RELATIONSHIP_CONFIRMED_OOS,564,2.0918024079784403,3.83883437144876,0.5336879432624113,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,3,6,inner_sel,840,0.4948180506403813,2.2903659958458613,0.4976190476190476,1.7955479452054792
EUR_ACCUMULATION_JPY_WEAKNESS,3,6,inner_val,308,2.6018988636188567,4.397446808824336,0.4837662337662338,1.7955479452054797
EUR_ACCUMULATION_JPY_WEAKNESS,3,6,RELATIONSHIP_CONFIRMED_OOS,564,1.889840579024615,3.685388524230095,0.524822695035461,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,3,8,inner_sel,840,0.5746824124121657,2.418746339352806,0.5297619047619048,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,3,8,inner_val,308,1.4642463271765818,3.3083102541172225,0.4772727272727273,1.84406392694064
