group,n,expectancy_bps,expectancy_ci_low,expectancy_ci_high,win_rate,win_rate_ci_low,win_rate_ci_high,pf,pf_ci_low,pf_ci_high,median_trade_bps,worst_5pct_bps,best_5pct_bps,n_clusters,method,n_loss_streaks,max_loss_streak,median_loss_streak,p90_loss_streak,mc_max_dd_median,mc_max_dd_p90,mc_max_dd_p95,mc_max_dd_worst,n_permutations
A,432,9.633187925727864,7.0543215181774315,12.137789495183112,0.6388888888888888,0.6008946543212492,0.6764878082380493,2.3076031627462914,1.8232235816333575,2.920315086050818,9.928889707942469,-43.88111838056429,59.281587987045796,246,"block bootstrap over 246 time clusters, 500 iters, seed 20260715",94,6,1.0,3.0,0.8264984447594689,4.665148672401081,8.428741794469788,319.05257553110425,1000
B,458,7.539423017405529,4.903511995975808,10.16667126517123,0.6135371179039302,0.5675225225225226,0.6547962505200813,1.9420786211383416,1.5400507938915262,2.488595065849643,8.738320002345308,-42.09222678692655,52.42010393938018,250,"block bootstrap over 250 time clusters, 500 iters, seed 20260715",105,7,1.0,3.0,1.0301019372315274,4.785827911240794,9.265506931806476,197.96583654210394,1000
A+B,890,8.555722388636145,6.941770730861827,10.381448886135772,0.6258426966292134,0.5961482493059909,0.653854739010989,2.111955870009265,1.8291220329914197,2.486023450405747,9.295406507810426,-43.433145911868536,55.757808592533614,308,"block bootstrap over 308 time clusters, 500 iters, seed 20260715",200,10,1.0,3.0,0.8691083675806766,4.402597708086315,8.913716974148725,1371.4125169857082,1000
