event_id,triangle_id,direction,entry_z,entry_z_threshold,entry_timestamp,exit_timestamp,exit_reason,holding_minutes,gross_pnl_bps,cost_bps,net_pnl_bps,max_adverse_z
AUD_GBP_NZD_20220823_1335_2.5,AUD_GBP_NZD,LONG,-4.1608,2.5,2022-08-23T13:35:00,2022-08-23T13:50:00,Z6_STOP,15.0,102.00,162.00,-60.00,1.5455
AUD_GBP_NZD_20220823_1400_2.5,AUD_GBP_NZD,SHORT,3.1345,2.5,2022-08-23T14:00:00,2022-08-23T16:05:00,E1_OVERSHOOT,125.0,57.00,162.00,-105.00,0.6499
AUD_GBP_NZD_20220824_1200_2.5,AUD_GBP_NZD,SHORT,5.9749,2.5,2022-08-24T12:00:00,2022-08-24T14:10:00,E1_OVERSHOOT,130.0,93.00,162.00,-69.00,3.8774
AUD_GBP_NZD_20220829_1330_2.5,AUD_GBP_NZD,LONG,-2.7457,2.5,2022-08-29T13:30:00,2022-08-29T15:35:00,E1_OVERSHOOT,125.0,121.00,162.00,-41.00,-1.8492
AUD_GBP_NZD_20220901_1255_2.5,AUD_GBP_NZD,LONG,-3.2488,2.5,2022-09-01T12:55:00,2022-09-01T14:55:00,E1_OVERSHOOT,120.0,94.00,162.00,-68.00,-1.5469
AUD_GBP_NZD_20220902_1125_2.5,AUD_GBP_NZD,SHORT,26.0373,2.5,2022-09-02T11:25:00,2022-09-02T13:25:00,E1_OVERSHOOT,120.0,180.00,162.00,18.00,0.5147
AUD_GBP_NZD_20220915_1125_2.5,AUD_GBP_NZD,LONG,-5.5152,2.5,2022-09-15T11:25:00,2022-09-15T13:35:00,E1_OVERSHOOT,130.0,-10.00,162.00,-172.00,-0.7853
AUD_GBP_NZD_20220926_1430_2.5,AUD_GBP_NZD,LONG,-10.3327,2.5,2022-09-26T14:30:00,2022-09-26T16:35:00,E1_OVERSHOOT,125.0,-231.00,162.00,-393.00,-0.7499
AUD_GBP_NZD_20220928_0900_2.5,AUD_GBP_NZD,LONG,-3.0817,2.5,2022-09-28T09:00:00,2022-09-28T11:05:00,E1_OVERSHOOT,125.0,387.00,162.00,225.00,-2.8095
AUD_GBP_NZD_20220928_1115_2.5,AUD_GBP_NZD,LONG,-2.7380,2.5,2022-09-28T11:15:00,2022-09-28T13:35:00,E1_OVERSHOOT,140.0,-204.00,162.00,-366.00,-1.6494
