triangle_id,entry_threshold,median,p75,p90,p95
AUD_GBP_NZD,2.5,16.20,16.20,16.20,16.20
AUD_GBP_NZD,3.0,16.20,16.20,16.20,16.20
EUR_GBP_JPY,2.5,10.20,10.20,10.20,10.20
EUR_GBP_JPY,3.0,10.20,10.20,10.20,10.20
CHF_GBP_JPY,2.5,12.60,12.60,12.60,12.60
CHF_GBP_JPY,3.0,12.60,12.60,12.60,12.60
EUR_GBP_USD,2.5,8.40,8.40,8.40,8.40
EUR_GBP_USD,3.0,8.40,8.40,8.40,8.40
GBP_NZD_USD,2.5,12.80,12.80,12.80,12.80
GBP_NZD_USD,3.0,12.80,12.80,12.80,12.80
