triangle_id,entry_threshold,gross_edge_pips,basket_cost_pips,ratio
AUD_GBP_NZD,2.5,6.72,16.20,0.41
AUD_GBP_NZD,3.0,8.84,16.20,0.55
EUR_GBP_JPY,2.5,2.86,10.20,0.28
EUR_GBP_JPY,3.0,2.92,10.20,0.29
CHF_GBP_JPY,2.5,2.56,12.60,0.20
CHF_GBP_JPY,3.0,1.63,12.60,0.13
EUR_GBP_USD,2.5,23.15,8.40,2.76
EUR_GBP_USD,3.0,25.00,8.40,2.98
GBP_NZD_USD,2.5,13.26,12.80,1.04
GBP_NZD_USD,3.0,14.58,12.80,1.14
