triangle_id,entry_threshold,completed_events,events_per_week,gross_ev_bps,net_ev_bps,pf_gross,pf_net,win_rate,median_net_bps,max_cum_dd_bps,worst_event_bps,p5_bps,avg_hold_min,median_hold_min,p90_hold_min,z6_stop_rate,hard_exit_rate,gross_basket_edge_pips,avg_basket_cost_pips,gross_edge_cost_ratio,break_even_cost_multiple,longest_losing_streak
AUD_GBP_NZD,2.5,288,1.10,67.18,-94.82,4.21,0.18,16.7,-110.50,27248.00,-886.00,-257.30,129.0,125.0,155.0,6.9,10.1,6.72,16.20,0.41,0.41,20
AUD_GBP_NZD,3.0,206,0.79,88.36,-73.64,6.73,0.28,20.9,-96.00,15109.00,-593.00,-250.00,129.6,125.0,160.0,7.8,8.7,8.84,16.20,0.55,0.55,24
EUR_GBP_JPY,2.5,289,1.11,28.63,-73.37,1.65,0.30,24.2,-80.00,21666.00,-819.00,-300.40,130.3,125.0,150.0,5.5,7.3,2.86,10.20,0.28,0.28,22
EUR_GBP_JPY,3.0,196,0.75,29.16,-72.84,1.56,0.33,30.6,-73.00,14561.00,-819.00,-355.50,128.5,125.0,150.0,7.1,3.1,2.92,10.20,0.29,0.29,14
CHF_GBP_JPY,2.5,842,3.23,25.61,-100.39,1.08,0.72,51.7,45.50,84395.00,-6017.00,-1497.85,323.3,302.5,540.0,2.6,58.1,2.56,12.60,0.20,0.20,7
CHF_GBP_JPY,3.0,630,2.42,16.34,-109.66,1.05,0.71,49.7,-8.00,69999.00,-5788.00,-1531.10,326.2,310.0,540.0,3.5,61.4,1.63,12.60,0.13,0.13,6
EUR_GBP_USD,2.5,519,4.98,231.51,147.51,9.57,4.53,77.8,149.00,1065.00,-841.00,-285.00,216.9,210.0,365.0,6.4,24.9,23.15,8.40,2.76,2.76,5
EUR_GBP_USD,3.0,355,3.41,249.99,165.99,9.65,4.69,76.9,190.00,1244.00,-841.00,-290.40,211.9,215.0,350.0,9.0,27.0,25.00,8.40,2.98,2.98,4
GBP_NZD_USD,2.5,308,1.18,132.56,4.56,2.86,1.04,47.1,-27.50,5500.00,-1445.00,-444.45,131.1,125.0,155.0,6.5,11.0,13.26,12.80,1.04,1.04,11
GBP_NZD_USD,3.0,238,0.91,145.84,17.84,2.98,1.14,48.3,-21.00,5396.00,-1445.00,-428.60,131.7,125.0,160.0,6.7,10.1,14.58,12.80,1.14,1.14,8
