triangle_id,delta_ev,delta_pf,delta_tail,delta_cost_ratio,classification
AUD_GBP_NZD,21.18,0.09,7.30,0.13,MONOTONIC_STRONG
EUR_GBP_JPY,0.53,0.03,-55.10,0.01,NON_MONOTONIC
CHF_GBP_JPY,-9.27,-0.01,-33.25,-0.07,MECHANISM_COLLAPSE
EUR_GBP_USD,18.48,0.16,-5.40,0.22,NON_MONOTONIC
GBP_NZD_USD,13.28,0.10,15.85,0.10,MONOTONIC_STRONG
