patch,state,n,gap_raw,gap_ctl_state,forcing_family,gap_ctl_family
26-100,6C_0,482,0.097,0.097,PARTICIPATION_FORCING,0.114
26-100,6C_0,482,0.097,0.097,VOLATILITY_FORCING,0.108
26-100,6C_0,482,0.097,0.097,BTC_ANCHOR_FORCING,0.07
26-100,6C_0,482,0.097,0.097,DISPERSION_FORCING,0.07
26-100,6C_0,482,0.097,0.097,STABLECOIN_CAPITAL_FORCING,0.12
26-100,6C_1,288,,,PARTICIPATION_FORCING,
26-100,6C_1,288,,,VOLATILITY_FORCING,
26-100,6C_1,288,,,BTC_ANCHOR_FORCING,0.252
26-100,6C_1,288,,,DISPERSION_FORCING,0.149
26-100,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
26-100,6C_2,499,0.162,0.162,PARTICIPATION_FORCING,0.177
26-100,6C_2,499,0.162,0.162,VOLATILITY_FORCING,0.138
26-100,6C_2,499,0.162,0.162,BTC_ANCHOR_FORCING,0.13
26-100,6C_2,499,0.162,0.162,DISPERSION_FORCING,0.084
26-100,6C_2,499,0.162,0.162,STABLECOIN_CAPITAL_FORCING,0.161
26-100,6C_3,142,,,PARTICIPATION_FORCING,
26-100,6C_3,142,,,VOLATILITY_FORCING,
26-100,6C_3,142,,,BTC_ANCHOR_FORCING,
26-100,6C_3,142,,,DISPERSION_FORCING,
26-100,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
26-100,6C_4,511,0.085,0.085,PARTICIPATION_FORCING,0.114
26-100,6C_4,511,0.085,0.085,VOLATILITY_FORCING,0.052
26-100,6C_4,511,0.085,0.085,BTC_ANCHOR_FORCING,0.095
26-100,6C_4,511,0.085,0.085,DISPERSION_FORCING,0.093
26-100,6C_4,511,0.085,0.085,STABLECOIN_CAPITAL_FORCING,0.049
26-100,6C_5,274,,,PARTICIPATION_FORCING,0.168
26-100,6C_5,274,,,VOLATILITY_FORCING,0.187
26-100,6C_5,274,,,BTC_ANCHOR_FORCING,0.13
26-100,6C_5,274,,,DISPERSION_FORCING,
26-100,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
101-250,6C_0,482,0.067,0.067,PARTICIPATION_FORCING,0.085
101-250,6C_0,482,0.067,0.067,VOLATILITY_FORCING,0.091
101-250,6C_0,482,0.067,0.067,BTC_ANCHOR_FORCING,0.049
101-250,6C_0,482,0.067,0.067,DISPERSION_FORCING,0.056
101-250,6C_0,482,0.067,0.067,STABLECOIN_CAPITAL_FORCING,0.105
101-250,6C_1,288,,,PARTICIPATION_FORCING,
101-250,6C_1,288,,,VOLATILITY_FORCING,
101-250,6C_1,288,,,BTC_ANCHOR_FORCING,0.221
101-250,6C_1,288,,,DISPERSION_FORCING,0.116
101-250,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
101-250,6C_2,499,0.153,0.153,PARTICIPATION_FORCING,0.16
101-250,6C_2,499,0.153,0.153,VOLATILITY_FORCING,0.123
101-250,6C_2,499,0.153,0.153,BTC_ANCHOR_FORCING,0.112
101-250,6C_2,499,0.153,0.153,DISPERSION_FORCING,0.09
101-250,6C_2,499,0.153,0.153,STABLECOIN_CAPITAL_FORCING,0.139
101-250,6C_3,142,,,PARTICIPATION_FORCING,
101-250,6C_3,142,,,VOLATILITY_FORCING,
101-250,6C_3,142,,,BTC_ANCHOR_FORCING,
101-250,6C_3,142,,,DISPERSION_FORCING,
101-250,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
101-250,6C_4,511,0.083,0.083,PARTICIPATION_FORCING,0.109
101-250,6C_4,511,0.083,0.083,VOLATILITY_FORCING,0.062
101-250,6C_4,511,0.083,0.083,BTC_ANCHOR_FORCING,0.083
101-250,6C_4,511,0.083,0.083,DISPERSION_FORCING,0.075
101-250,6C_4,511,0.083,0.083,STABLECOIN_CAPITAL_FORCING,0.056
101-250,6C_5,274,,,PARTICIPATION_FORCING,0.15
101-250,6C_5,274,,,VOLATILITY_FORCING,0.095
101-250,6C_5,274,,,BTC_ANCHOR_FORCING,0.072
101-250,6C_5,274,,,DISPERSION_FORCING,
101-250,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
251-500,6C_0,482,0.067,0.067,PARTICIPATION_FORCING,0.091
251-500,6C_0,482,0.067,0.067,VOLATILITY_FORCING,0.093
251-500,6C_0,482,0.067,0.067,BTC_ANCHOR_FORCING,0.053
251-500,6C_0,482,0.067,0.067,DISPERSION_FORCING,0.059
251-500,6C_0,482,0.067,0.067,STABLECOIN_CAPITAL_FORCING,0.1
251-500,6C_1,288,,,PARTICIPATION_FORCING,
251-500,6C_1,288,,,VOLATILITY_FORCING,
251-500,6C_1,288,,,BTC_ANCHOR_FORCING,0.197
251-500,6C_1,288,,,DISPERSION_FORCING,0.124
251-500,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
251-500,6C_2,499,0.142,0.142,PARTICIPATION_FORCING,0.136
251-500,6C_2,499,0.142,0.142,VOLATILITY_FORCING,0.112
251-500,6C_2,499,0.142,0.142,BTC_ANCHOR_FORCING,0.106
251-500,6C_2,499,0.142,0.142,DISPERSION_FORCING,0.103
251-500,6C_2,499,0.142,0.142,STABLECOIN_CAPITAL_FORCING,0.126
251-500,6C_3,142,,,PARTICIPATION_FORCING,
251-500,6C_3,142,,,VOLATILITY_FORCING,
251-500,6C_3,142,,,BTC_ANCHOR_FORCING,
251-500,6C_3,142,,,DISPERSION_FORCING,
251-500,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
251-500,6C_4,511,0.095,0.095,PARTICIPATION_FORCING,0.114
251-500,6C_4,511,0.095,0.095,VOLATILITY_FORCING,0.077
251-500,6C_4,511,0.095,0.095,BTC_ANCHOR_FORCING,0.094
251-500,6C_4,511,0.095,0.095,DISPERSION_FORCING,0.091
251-500,6C_4,511,0.095,0.095,STABLECOIN_CAPITAL_FORCING,0.068
251-500,6C_5,274,,,PARTICIPATION_FORCING,0.117
251-500,6C_5,274,,,VOLATILITY_FORCING,0.15
251-500,6C_5,274,,,BTC_ANCHOR_FORCING,0.111
251-500,6C_5,274,,,DISPERSION_FORCING,
251-500,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
501-750,6C_0,482,0.05,0.05,PARTICIPATION_FORCING,0.068
501-750,6C_0,482,0.05,0.05,VOLATILITY_FORCING,0.073
501-750,6C_0,482,0.05,0.05,BTC_ANCHOR_FORCING,0.034
501-750,6C_0,482,0.05,0.05,DISPERSION_FORCING,0.046
501-750,6C_0,482,0.05,0.05,STABLECOIN_CAPITAL_FORCING,0.082
501-750,6C_1,288,,,PARTICIPATION_FORCING,
501-750,6C_1,288,,,VOLATILITY_FORCING,
501-750,6C_1,288,,,BTC_ANCHOR_FORCING,0.134
501-750,6C_1,288,,,DISPERSION_FORCING,0.052
501-750,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
501-750,6C_2,499,0.147,0.147,PARTICIPATION_FORCING,0.127
501-750,6C_2,499,0.147,0.147,VOLATILITY_FORCING,0.128
501-750,6C_2,499,0.147,0.147,BTC_ANCHOR_FORCING,0.097
501-750,6C_2,499,0.147,0.147,DISPERSION_FORCING,0.101
501-750,6C_2,499,0.147,0.147,STABLECOIN_CAPITAL_FORCING,0.126
501-750,6C_3,142,,,PARTICIPATION_FORCING,
501-750,6C_3,142,,,VOLATILITY_FORCING,
501-750,6C_3,142,,,BTC_ANCHOR_FORCING,
501-750,6C_3,142,,,DISPERSION_FORCING,
501-750,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
501-750,6C_4,511,0.09,0.09,PARTICIPATION_FORCING,0.12
501-750,6C_4,511,0.09,0.09,VOLATILITY_FORCING,0.077
501-750,6C_4,511,0.09,0.09,BTC_ANCHOR_FORCING,0.091
501-750,6C_4,511,0.09,0.09,DISPERSION_FORCING,0.09
501-750,6C_4,511,0.09,0.09,STABLECOIN_CAPITAL_FORCING,0.075
501-750,6C_5,274,,,PARTICIPATION_FORCING,0.136
501-750,6C_5,274,,,VOLATILITY_FORCING,0.146
501-750,6C_5,274,,,BTC_ANCHOR_FORCING,0.127
501-750,6C_5,274,,,DISPERSION_FORCING,
501-750,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
751-1000,6C_0,482,0.066,0.066,PARTICIPATION_FORCING,0.086
751-1000,6C_0,482,0.066,0.066,VOLATILITY_FORCING,0.088
751-1000,6C_0,482,0.066,0.066,BTC_ANCHOR_FORCING,0.038
751-1000,6C_0,482,0.066,0.066,DISPERSION_FORCING,0.055
751-1000,6C_0,482,0.066,0.066,STABLECOIN_CAPITAL_FORCING,0.089
751-1000,6C_1,288,,,PARTICIPATION_FORCING,
751-1000,6C_1,288,,,VOLATILITY_FORCING,
751-1000,6C_1,288,,,BTC_ANCHOR_FORCING,0.145
751-1000,6C_1,288,,,DISPERSION_FORCING,0.084
751-1000,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
751-1000,6C_2,499,0.142,0.142,PARTICIPATION_FORCING,0.118
751-1000,6C_2,499,0.142,0.142,VOLATILITY_FORCING,0.121
751-1000,6C_2,499,0.142,0.142,BTC_ANCHOR_FORCING,0.102
751-1000,6C_2,499,0.142,0.142,DISPERSION_FORCING,0.091
751-1000,6C_2,499,0.142,0.142,STABLECOIN_CAPITAL_FORCING,0.119
751-1000,6C_3,142,,,PARTICIPATION_FORCING,
751-1000,6C_3,142,,,VOLATILITY_FORCING,
751-1000,6C_3,142,,,BTC_ANCHOR_FORCING,
751-1000,6C_3,142,,,DISPERSION_FORCING,
751-1000,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
751-1000,6C_4,511,0.09,0.09,PARTICIPATION_FORCING,0.115
751-1000,6C_4,511,0.09,0.09,VOLATILITY_FORCING,0.061
751-1000,6C_4,511,0.09,0.09,BTC_ANCHOR_FORCING,0.078
751-1000,6C_4,511,0.09,0.09,DISPERSION_FORCING,0.096
751-1000,6C_4,511,0.09,0.09,STABLECOIN_CAPITAL_FORCING,0.073
751-1000,6C_5,274,,,PARTICIPATION_FORCING,0.104
751-1000,6C_5,274,,,VOLATILITY_FORCING,0.123
751-1000,6C_5,274,,,BTC_ANCHOR_FORCING,0.114
751-1000,6C_5,274,,,DISPERSION_FORCING,
751-1000,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
1001-1500,6C_0,482,0.051,0.051,PARTICIPATION_FORCING,0.066
1001-1500,6C_0,482,0.051,0.051,VOLATILITY_FORCING,0.08
1001-1500,6C_0,482,0.051,0.051,BTC_ANCHOR_FORCING,0.026
1001-1500,6C_0,482,0.051,0.051,DISPERSION_FORCING,0.041
1001-1500,6C_0,482,0.051,0.051,STABLECOIN_CAPITAL_FORCING,0.072
1001-1500,6C_1,288,,,PARTICIPATION_FORCING,
1001-1500,6C_1,288,,,VOLATILITY_FORCING,
1001-1500,6C_1,288,,,BTC_ANCHOR_FORCING,0.108
1001-1500,6C_1,288,,,DISPERSION_FORCING,0.092
1001-1500,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
1001-1500,6C_2,499,0.136,0.136,PARTICIPATION_FORCING,0.106
1001-1500,6C_2,499,0.136,0.136,VOLATILITY_FORCING,0.109
1001-1500,6C_2,499,0.136,0.136,BTC_ANCHOR_FORCING,0.085
1001-1500,6C_2,499,0.136,0.136,DISPERSION_FORCING,0.078
1001-1500,6C_2,499,0.136,0.136,STABLECOIN_CAPITAL_FORCING,0.11
1001-1500,6C_3,142,,,PARTICIPATION_FORCING,
1001-1500,6C_3,142,,,VOLATILITY_FORCING,
1001-1500,6C_3,142,,,BTC_ANCHOR_FORCING,
1001-1500,6C_3,142,,,DISPERSION_FORCING,
1001-1500,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
1001-1500,6C_4,511,0.085,0.085,PARTICIPATION_FORCING,0.108
1001-1500,6C_4,511,0.085,0.085,VOLATILITY_FORCING,0.075
1001-1500,6C_4,511,0.085,0.085,BTC_ANCHOR_FORCING,0.071
1001-1500,6C_4,511,0.085,0.085,DISPERSION_FORCING,0.089
1001-1500,6C_4,511,0.085,0.085,STABLECOIN_CAPITAL_FORCING,0.075
1001-1500,6C_5,274,,,PARTICIPATION_FORCING,0.101
1001-1500,6C_5,274,,,VOLATILITY_FORCING,0.095
1001-1500,6C_5,274,,,BTC_ANCHOR_FORCING,0.081
1001-1500,6C_5,274,,,DISPERSION_FORCING,
1001-1500,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
1501-2000,6C_0,482,0.065,0.065,PARTICIPATION_FORCING,0.075
1501-2000,6C_0,482,0.065,0.065,VOLATILITY_FORCING,0.084
1501-2000,6C_0,482,0.065,0.065,BTC_ANCHOR_FORCING,0.031
1501-2000,6C_0,482,0.065,0.065,DISPERSION_FORCING,0.05
1501-2000,6C_0,482,0.065,0.065,STABLECOIN_CAPITAL_FORCING,0.077
1501-2000,6C_1,288,,,PARTICIPATION_FORCING,
1501-2000,6C_1,288,,,VOLATILITY_FORCING,
1501-2000,6C_1,288,,,BTC_ANCHOR_FORCING,0.142
1501-2000,6C_1,288,,,DISPERSION_FORCING,0.107
1501-2000,6C_1,288,,,STABLECOIN_CAPITAL_FORCING,
1501-2000,6C_2,499,0.122,0.122,PARTICIPATION_FORCING,0.09
1501-2000,6C_2,499,0.122,0.122,VOLATILITY_FORCING,0.099
1501-2000,6C_2,499,0.122,0.122,BTC_ANCHOR_FORCING,0.079
1501-2000,6C_2,499,0.122,0.122,DISPERSION_FORCING,0.059
1501-2000,6C_2,499,0.122,0.122,STABLECOIN_CAPITAL_FORCING,0.098
1501-2000,6C_3,142,,,PARTICIPATION_FORCING,
1501-2000,6C_3,142,,,VOLATILITY_FORCING,
1501-2000,6C_3,142,,,BTC_ANCHOR_FORCING,
1501-2000,6C_3,142,,,DISPERSION_FORCING,
1501-2000,6C_3,142,,,STABLECOIN_CAPITAL_FORCING,
1501-2000,6C_4,511,0.073,0.073,PARTICIPATION_FORCING,0.093
1501-2000,6C_4,511,0.073,0.073,VOLATILITY_FORCING,0.06
1501-2000,6C_4,511,0.073,0.073,BTC_ANCHOR_FORCING,0.06
1501-2000,6C_4,511,0.073,0.073,DISPERSION_FORCING,0.071
1501-2000,6C_4,511,0.073,0.073,STABLECOIN_CAPITAL_FORCING,0.06
1501-2000,6C_5,274,,,PARTICIPATION_FORCING,0.115
1501-2000,6C_5,274,,,VOLATILITY_FORCING,0.096
1501-2000,6C_5,274,,,BTC_ANCHOR_FORCING,0.07
1501-2000,6C_5,274,,,DISPERSION_FORCING,
1501-2000,6C_5,274,,,STABLECOIN_CAPITAL_FORCING,
