k,subset,n,deliver_rate,target,stall_rate,rate
2,TRANSFER+GAIN_HI,250,,STALL,,0.22
2,EXIT_PRESSURE+NON_SATURATED,597,,STALL,,0.62
2,EXIT_PRESSURE+GAIN_HI,233,,STALL,,0.592
2,NON_SATURATED+GAIN_HI,579,,STALL,,0.568
3,DEMAND+CAPACITY+THRESHOLD,75,,STALL,,0.627
3,DEMAND+CAPACITY+EXIT_PRESSURE,124,,STALL,,0.734
3,DEMAND+CAPACITY+NON_SATURATED,137,,STALL,,0.752
3,DEMAND+CAPACITY+GAIN_HI,117,,STALL,,0.786
3,DEMAND+THRESHOLD+TRANSFER,153,,STALL,,0.261
3,DEMAND+THRESHOLD+EXIT_PRESSURE,74,,STALL,,0.432
3,DEMAND+THRESHOLD+NON_SATURATED,130,,STALL,,0.369
3,DEMAND+THRESHOLD+GAIN_HI,98,,STALL,,0.388
3,DEMAND+TRANSFER+EXIT_PRESSURE,40,,STALL,,0.3
3,DEMAND+TRANSFER+NON_SATURATED,115,,STALL,,0.313
3,DEMAND+TRANSFER+GAIN_HI,83,,STALL,,0.253
3,DEMAND+EXIT_PRESSURE+NON_SATURATED,94,,STALL,,0.596
3,DEMAND+EXIT_PRESSURE+GAIN_HI,61,,STALL,,0.672
3,DEMAND+NON_SATURATED+GAIN_HI,99,,STALL,,0.515
3,CAPACITY+THRESHOLD+EXIT_PRESSURE,59,,STALL,,0.593
3,CAPACITY+THRESHOLD+NON_SATURATED,96,,STALL,,0.604
3,CAPACITY+THRESHOLD+GAIN_HI,56,,STALL,,0.696
3,CAPACITY+EXIT_PRESSURE+NON_SATURATED,359,,STALL,,0.758
3,CAPACITY+EXIT_PRESSURE+GAIN_HI,129,,STALL,,0.791
3,CAPACITY+NON_SATURATED+GAIN_HI,282,,STALL,,0.798
3,THRESHOLD+TRANSFER+EXIT_PRESSURE,108,,STALL,,0.157
3,THRESHOLD+TRANSFER+NON_SATURATED,340,,STALL,,0.2
3,THRESHOLD+TRANSFER+GAIN_HI,179,,STALL,,0.123
3,THRESHOLD+EXIT_PRESSURE+NON_SATURATED,156,,STALL,,0.359
3,THRESHOLD+EXIT_PRESSURE+GAIN_HI,77,,STALL,,0.299
3,THRESHOLD+NON_SATURATED+GAIN_HI,199,,STALL,,0.246
3,TRANSFER+EXIT_PRESSURE+NON_SATURATED,132,,STALL,,0.265
3,TRANSFER+EXIT_PRESSURE+GAIN_HI,64,,STALL,,0.219
3,TRANSFER+NON_SATURATED+GAIN_HI,196,,STALL,,0.209
3,EXIT_PRESSURE+NON_SATURATED+GAIN_HI,182,,STALL,,0.571
2,DEMAND+CAPACITY,336,,SAT_WITHOUT_DELIVERY,,0.676
2,DEMAND+THRESHOLD,268,,SAT_WITHOUT_DELIVERY,,0.358
2,DEMAND+TRANSFER,212,,SAT_WITHOUT_DELIVERY,,0.236
2,DEMAND+EXIT_PRESSURE,218,,SAT_WITHOUT_DELIVERY,,0.495
2,DEMAND+NON_SATURATED,305,,SAT_WITHOUT_DELIVERY,,0.387
2,DEMAND+GAIN_HI,238,,SAT_WITHOUT_DELIVERY,,0.542
2,CAPACITY+THRESHOLD,146,,SAT_WITHOUT_DELIVERY,,0.308
2,CAPACITY+EXIT_PRESSURE,444,,SAT_WITHOUT_DELIVERY,,0.214
2,CAPACITY+NON_SATURATED,922,,SAT_WITHOUT_DELIVERY,,0.13
2,CAPACITY+GAIN_HI,357,,SAT_WITHOUT_DELIVERY,,0.286
2,THRESHOLD+TRANSFER,434,,SAT_WITHOUT_DELIVERY,,0.092
2,THRESHOLD+EXIT_PRESSURE,208,,SAT_WITHOUT_DELIVERY,,0.139
2,THRESHOLD+NON_SATURATED,507,,SAT_WITHOUT_DELIVERY,,0.071
2,THRESHOLD+GAIN_HI,264,,SAT_WITHOUT_DELIVERY,,0.152
2,TRANSFER+EXIT_PRESSURE,159,,SAT_WITHOUT_DELIVERY,,0.057
2,TRANSFER+NON_SATURATED,508,,SAT_WITHOUT_DELIVERY,,0.055
2,TRANSFER+GAIN_HI,250,,SAT_WITHOUT_DELIVERY,,0.084
2,EXIT_PRESSURE+NON_SATURATED,597,,SAT_WITHOUT_DELIVERY,,0.077
2,EXIT_PRESSURE+GAIN_HI,233,,SAT_WITHOUT_DELIVERY,,0.193
2,NON_SATURATED+GAIN_HI,579,,SAT_WITHOUT_DELIVERY,,0.098
3,DEMAND+CAPACITY+THRESHOLD,75,,SAT_WITHOUT_DELIVERY,,0.573
3,DEMAND+CAPACITY+EXIT_PRESSURE,124,,SAT_WITHOUT_DELIVERY,,0.589
3,DEMAND+CAPACITY+NON_SATURATED,137,,SAT_WITHOUT_DELIVERY,,0.562
3,DEMAND+CAPACITY+GAIN_HI,117,,SAT_WITHOUT_DELIVERY,,0.744
3,DEMAND+THRESHOLD+TRANSFER,153,,SAT_WITHOUT_DELIVERY,,0.209
3,DEMAND+THRESHOLD+EXIT_PRESSURE,74,,SAT_WITHOUT_DELIVERY,,0.338
3,DEMAND+THRESHOLD+NON_SATURATED,130,,SAT_WITHOUT_DELIVERY,,0.238
3,DEMAND+THRESHOLD+GAIN_HI,98,,SAT_WITHOUT_DELIVERY,,0.367
