family,temporal_character,autocorr1,burstiness,spatial_character,patch_corr_spread,route_function,n_routes_loaded,n_routes_suppressed,response_function,response_mag,resolution_function
PARTICIPATION_FORCING,BURSTY,0.276,332.094,BROAD,0.017,MIXED,0,0,MOVE_ONSET,0.017,FAVOR_CONCENTRATION
DISPERSION_FORCING,BURSTY,0.568,5.323,BROAD,0.008,SUPPRESS_ROUTE,0,5,MOVE_SLOPE,0.035,FAVOR_PRUNING
VOLATILITY_FORCING,PERSISTENT,0.991,7.714,BROAD,0.005,MIXED,3,3,MOVE_CEILING,0.343,FAVOR_PRUNING
BTC_ANCHOR_FORCING,PERSISTENT,0.858,17.688,BROAD,0.026,SUPPRESS_ROUTE,1,4,MOVE_CEILING,0.07,FAVOR_CONCENTRATION
ETH_RELATIVE_FORCING,PERSISTENT,0.858,8.655,BROAD,0.006,LOAD_ROUTE,4,0,MOVE_SLOPE,0.044,FAVOR_CONCENTRATION
RANK_RECRUITMENT_FORCING,PERSISTENT,0.918,7.235,BROAD,0.005,SUPPRESS_ROUTE,1,6,MOVE_ONSET,0.233,FAVOR_CONCENTRATION
CONCENTRATION_RELEASE_FORCING,BURSTY,0.372,57.019,BROAD,0.017,LOAD_ROUTE,3,1,MOVE_SLOPE,0.096,FAVOR_CONCENTRATION
STABLECOIN_CAPITAL_FORCING,PERSISTENT,0.942,4.247,BROAD,0.008,MIXED,5,3,MOVE_CEILING,0.183,FAVOR_PRUNING
PHYSICAL_DISTURBANCE_FORCING,BURSTY,0.229,6.837,BROAD,0.018,MIXED,3,5,MOVE_CEILING,0.203,FAVOR_CONCENTRATION
