coord_a,coord_b,rho,partial_rho,relation
DEMAND,CAPACITY,-0.038,-0.032,WEAK/INDEPENDENT
DEMAND,THRESHOLD,0.157,0.151,MODEST
DEMAND,TRANSFER,0.164,0.146,MODEST
DEMAND,GAIN,-0.05,-0.022,WEAK/INDEPENDENT
DEMAND,CEILING,0.072,0.118,WEAK/INDEPENDENT
DEMAND,EXIT_PRESSURE,0.005,-0.01,WEAK/INDEPENDENT
DEMAND,ROUTE_DEFORM,-0.033,-0.038,WEAK/INDEPENDENT
CAPACITY,THRESHOLD,-0.457,-0.429,SUPPRESSION
CAPACITY,TRANSFER,-0.501,-0.541,SUPPRESSION
CAPACITY,GAIN,-0.039,-0.075,WEAK/INDEPENDENT
CAPACITY,CEILING,0.109,0.092,WEAK/INDEPENDENT
CAPACITY,EXIT_PRESSURE,0.284,0.261,MODEST
CAPACITY,ROUTE_DEFORM,0.303,0.233,MODEST
THRESHOLD,TRANSFER,0.542,0.525,AMPLIFICATION
THRESHOLD,GAIN,0.109,0.141,WEAK/INDEPENDENT
THRESHOLD,CEILING,-0.209,-0.197,MODEST
THRESHOLD,EXIT_PRESSURE,-0.062,-0.073,WEAK/INDEPENDENT
THRESHOLD,ROUTE_DEFORM,-0.175,-0.17,MODEST
TRANSFER,GAIN,0.124,0.194,WEAK/INDEPENDENT
TRANSFER,CEILING,-0.074,0.03,WEAK/INDEPENDENT
TRANSFER,EXIT_PRESSURE,-0.033,-0.06,WEAK/INDEPENDENT
TRANSFER,ROUTE_DEFORM,-0.121,-0.131,WEAK/INDEPENDENT
GAIN,CEILING,-0.848,-0.827,SUPPRESSION
GAIN,EXIT_PRESSURE,0.028,0.034,WEAK/INDEPENDENT
GAIN,ROUTE_DEFORM,0.019,0.02,WEAK/INDEPENDENT
CEILING,EXIT_PRESSURE,0.034,0.01,WEAK/INDEPENDENT
CEILING,ROUTE_DEFORM,0.02,0.01,WEAK/INDEPENDENT
EXIT_PRESSURE,ROUTE_DEFORM,0.428,0.438,AMPLIFICATION
