family_a,family_b,interaction_type,outcome,n_both,observed_both,additive_expectation,interaction_delta,alters_outcome
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,route_pressure,170,0.4415,0.5148,-0.0733,True
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,transfer,145,0.4677,0.5835,-0.1158,True
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,threshold,165,0.2793,0.7434,-0.4641,True
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,gain,170,0.9927,1.081,-0.0882,False
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,ceiling,170,0.7426,0.7136,0.029,False
PARTICIPATION_FORCING,VOLATILITY_FORCING,SYNERGISTIC_LIKE,rank_recruitment,170,0.8824,0.8852,-0.0028,False
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,route_pressure,297,0.5942,0.5475,0.0468,False
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,transfer,211,0.6247,0.666,-0.0413,False
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,threshold,292,0.5956,0.8893,-0.2937,True
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,gain,300,0.8516,0.9932,-0.1417,True
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,ceiling,300,0.8353,0.7128,0.1225,True
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,300,0.8533,0.8929,-0.0395,False
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,route_pressure,231,0.5164,0.5325,-0.0161,False
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,transfer,174,0.5794,0.5972,-0.0178,False
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,threshold,226,0.2473,0.1841,0.0632,True
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,gain,234,0.9607,0.9722,-0.0115,False
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,ceiling,234,0.7986,0.8311,-0.0325,False
DISPERSION_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,rank_recruitment,234,0.8974,0.8818,0.0157,False
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,route_pressure,172,0.4288,0.5934,-0.1646,True
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,transfer,151,0.62,0.5623,0.0577,False
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,threshold,172,-0.1283,-0.267,0.1387,True
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,gain,172,0.847,0.6297,0.2172,True
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,ceiling,172,0.9177,1.0949,-0.1772,True
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,SYNERGISTIC_LIKE,rank_recruitment,172,0.9128,0.9002,0.0126,False
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,route_pressure,234,0.4703,0.4459,0.0244,False
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,transfer,190,0.6069,0.6517,-0.0447,False
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,threshold,223,0.0369,0.4175,-0.3806,True
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,gain,234,0.8411,1.138,-0.2969,True
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,ceiling,234,0.8232,0.6796,0.1436,True
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,ROUTE_SPECIFIC,rank_recruitment,234,0.9103,0.8549,0.0554,False
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,route_pressure,182,0.3874,0.4484,-0.061,True
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,transfer,157,0.5565,0.6425,-0.086,True
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,threshold,163,0.5861,0.8384,-0.2523,True
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,gain,182,0.8254,0.8906,-0.0653,False
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,ceiling,182,0.687,0.6678,0.0192,False
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,182,0.8132,0.8183,-0.0051,False
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,route_pressure,251,0.4058,0.5192,-0.1134,True
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,transfer,202,0.8109,0.7885,0.0224,False
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,threshold,238,0.8094,0.7943,0.015,False
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,gain,254,0.9298,1.0949,-0.1652,True
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,ceiling,254,0.7606,0.649,0.1115,True
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,ROUTE_SPECIFIC,rank_recruitment,254,0.878,0.9017,-0.0237,False
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,route_pressure,187,0.4874,0.4473,0.0401,False
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,transfer,165,0.5437,0.5304,0.0133,False
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,threshold,183,0.6994,1.0998,-0.4004,True
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,gain,187,1.0456,1.1276,-0.0819,False
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,ceiling,187,0.6447,0.6894,-0.0446,False
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,187,0.9144,0.8493,0.0651,False
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,route_pressure,202,0.4441,0.4718,-0.0277,False
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,transfer,179,0.4887,0.4739,0.0149,False
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,threshold,200,0.3282,0.4808,-0.1526,True
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,gain,202,1.1557,1.0939,0.0618,False
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,ceiling,202,0.6979,0.7144,-0.0165,False
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,ROUTE_SPECIFIC,rank_recruitment,202,0.896,0.8686,0.0275,False
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,route_pressure,163,0.406,0.4781,-0.0721,True
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,transfer,139,0.4536,0.5005,-0.0469,True
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,threshold,162,0.0051,-0.0675,0.0727,True
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,gain,163,0.9967,0.812,0.1847,True
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,ceiling,163,0.7905,0.9951,-0.2046,True
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,ANTAGONISTIC_LIKE,rank_recruitment,163,0.865,0.9241,-0.059,False
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,route_pressure,361,0.4462,0.3059,0.1403,True
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,transfer,311,0.5434,0.3164,0.227,True
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,threshold,347,0.5729,0.5404,0.0326,False
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,gain,361,1.0288,0.8453,0.1835,True
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,ceiling,361,0.6565,0.6205,0.036,False
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,ROUTE_SPECIFIC,rank_recruitment,361,0.8587,0.7338,0.125,True
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,route_pressure,229,0.4074,0.3567,0.0507,True
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,transfer,221,0.6568,0.7706,-0.1138,True
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,threshold,219,0.888,1.1364,-0.2483,True
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,SYNERGISTIC_LIKE,gain,229,1.1706,1.1191,0.0516,False
