stage,load_rate_viable,load_rate_aborted,resolution_rate_viable,resolution_rate_aborted,mismatch_d,resolution_d,load_vs_resolve,verdict
PRECONDITION,0.0264,0.0306,-0.125,-0.0914,0.017,0.182,BALANCED,PROMOTE
INITIATION,-0.0926,0.1525,0.504,-0.0994,0.483,1.649,LOAD_OUTPACES_RESOLUTION,PROMOTE
COMMITMENT,-0.0766,0.0001,0.2398,0.0422,0.181,0.511,LOAD_OUTPACES_RESOLUTION,PROMOTE
EARLY_SURVIVAL,-0.026,-0.0339,-0.0585,0.0888,0.022,0.485,BALANCED,PROMOTE
