load_band,capacity_band,cap_mid,n,delivery_rate,propagation,verdict
LOW_LOAD,Q2,0.833,146,0.411,0.411,ABSORPTIVE_CAPACITY
LOW_LOAD,Q3,0.937,284,0.109,0.109,ABSORPTIVE_CAPACITY
MID_LOAD,Q1,0.808,98,0.633,0.633,ABSORPTIVE_CAPACITY
MID_LOAD,Q2,0.866,234,0.338,0.338,ABSORPTIVE_CAPACITY
MID_LOAD,Q3,0.937,109,0.11,0.11,ABSORPTIVE_CAPACITY
MID_LOAD,Q4,0.946,68,0.338,0.338,ABSORPTIVE_CAPACITY
HIGH_LOAD,Q1,0.808,371,0.806,0.806,ABSORPTIVE_CAPACITY
HIGH_LOAD,Q2,0.866,166,0.482,0.482,ABSORPTIVE_CAPACITY
HIGH_LOAD,Q4,0.946,53,0.453,0.453,ABSORPTIVE_CAPACITY
