ep_start,ep_end,conv_date,days_to_conv,first_changed,delta_first,relation
2020-06-03,2020-06-04,2020-06-26,21,exit_pressure,0.71,PRECEDES
2020-06-12,2020-06-12,2020-06-26,13,exit_pressure,0.71,PRECEDES
2020-06-16,2020-06-16,2020-06-26,9,exit_pressure,0.71,PRECEDES
2020-06-22,2020-06-22,2020-06-26,3,exit_pressure,-0.29,COINCIDES
2020-08-05,2020-08-05,2020-08-09,3,forcing,-0.5972,COINCIDES
2020-08-08,2020-08-08,2020-08-09,0,forcing,-0.2616,COINCIDES
2020-12-16,2020-12-16,2021-01-14,27,exit_pressure,-0.5276,PRECEDES
2020-12-18,2020-12-18,2021-01-14,25,exit_pressure,-0.6143,PRECEDES
2020-12-22,2020-12-22,2021-01-14,21,exit_pressure,-0.8743,PRECEDES
2020-12-24,2020-12-24,2021-01-14,19,exit_pressure,-1.0,PRECEDES
2020-12-28,2020-12-28,2021-01-14,15,forcing,1.1053,PRECEDES
2021-01-03,2021-01-03,2021-01-14,9,forcing,0.4355,PRECEDES
2021-01-05,2021-01-06,2021-01-14,6,forcing,-0.2798,PRECEDES
2021-01-09,2021-01-09,2021-01-14,4,forcing,-1.9163,PRECEDES
2021-01-13,2021-01-13,2021-01-14,0,forcing,-2.2336,COINCIDES
2021-06-23,2021-06-24,2021-07-15,20,exit_pressure,0.3433,PRECEDES
2021-06-27,2021-06-29,2021-07-15,15,exit_pressure,-0.2567,PRECEDES
2021-07-03,2021-07-04,2021-07-15,10,forcing,-0.9354,PRECEDES
2021-07-06,2021-07-06,2021-07-15,8,forcing,-0.4769,PRECEDES
2021-07-09,2021-07-09,2021-07-15,5,forcing,-0.2921,PRECEDES
2021-07-11,2021-07-11,2021-07-15,3,exit_pressure,0.3719,COINCIDES
2021-07-22,2021-07-27,2021-08-06,9,forcing,1.079,PRECEDES
2021-07-29,2021-07-31,2021-08-06,5,forcing,-1.0047,PRECEDES
2021-08-04,2021-08-05,2021-08-06,0,forcing,-0.602,COINCIDES
2021-09-30,2021-10-01,2021-10-29,27,forcing,0.9183,PRECEDES
2021-10-05,2021-10-05,2021-10-29,23,exit_pressure,-0.6286,PRECEDES
2021-10-09,2021-10-09,2021-10-29,19,forcing,-0.7159,PRECEDES
2021-10-13,2021-10-14,2021-10-29,14,exit_pressure,-0.4767,PRECEDES
2021-10-20,2021-10-20,2021-10-29,8,exit_pressure,-0.6286,PRECEDES
2021-10-23,2021-10-23,2021-10-29,5,exit_pressure,-0.5286,PRECEDES
2021-10-25,2021-10-25,2021-10-29,3,exit_pressure,-0.4119,COINCIDES
2021-10-28,2021-10-28,2021-10-29,0,exit_pressure,-0.41,COINCIDES
2022-02-22,2022-02-22,2022-03-19,24,transfer,0.1908,PRECEDES
2022-02-25,2022-02-25,2022-03-19,21,exit_pressure,0.1729,PRECEDES
2022-02-28,2022-03-01,2022-03-19,17,forcing,0.1868,PRECEDES
2022-03-05,2022-03-05,2022-03-19,13,forcing,-0.6717,PRECEDES
2022-03-08,2022-03-09,2022-03-19,9,forcing,0.3987,PRECEDES
2022-03-14,2022-03-14,2022-03-19,4,forcing,0.8989,PRECEDES
2022-03-16,2022-03-16,2022-03-19,2,forcing,0.6547,COINCIDES
2022-03-18,2022-03-18,2022-03-19,0,forcing,0.5259,COINCIDES
2022-06-14,2022-06-15,2022-07-07,21,gain,1.8205,PRECEDES
2022-06-17,2022-06-17,2022-07-07,19,forcing,1.9225,PRECEDES
2022-06-19,2022-06-21,2022-07-07,15,forcing,2.4997,PRECEDES
2022-06-23,2022-06-24,2022-07-07,12,forcing,2.0478,PRECEDES
2022-07-04,2022-07-04,2022-07-07,2,forcing,0.9379,COINCIDES
2022-07-06,2022-07-06,2022-07-07,0,forcing,0.8591,COINCIDES
2022-07-19,2022-07-19,2022-07-22,2,gain,0.9577,COINCIDES
2022-07-21,2022-07-21,2022-07-22,0,gain,0.9577,COINCIDES
2022-09-09,2022-09-09,2022-09-10,0,forcing,0.7477,COINCIDES
2022-10-03,2022-10-04,2022-10-28,23,forcing,0.8694,PRECEDES
2022-10-16,2022-10-17,2022-10-28,10,forcing,0.9915,PRECEDES
2022-10-23,2022-10-23,2022-10-28,4,forcing,0.8676,PRECEDES
2022-10-25,2022-10-26,2022-10-28,1,forcing,0.8297,COINCIDES
2022-11-10,2022-11-10,2022-12-02,21,gain,-2.5776,PRECEDES
2022-11-14,2022-11-15,2022-12-02,16,gain,-2.5776,PRECEDES
2022-11-18,2022-11-18,2022-12-02,13,gain,-2.5776,PRECEDES
2022-11-22,2022-11-23,2022-12-02,8,exit_pressure,1.0,PRECEDES
2022-11-29,2022-11-30,2022-12-02,1,transfer,0.2862,COINCIDES
2022-12-13,2022-12-13,2023-01-08,25,threshold,-2.8421,PRECEDES
2022-12-17,2022-12-17,2023-01-08,21,threshold,-2.8392,PRECEDES
2022-12-20,2022-12-20,2023-01-08,18,threshold,-2.653,PRECEDES
2023-01-01,2023-01-02,2023-01-08,5,threshold,-2.5881,PRECEDES
2023-01-04,2023-01-04,2023-01-08,3,forcing,0.3695,COINCIDES
2023-01-06,2023-01-06,2023-01-08,1,threshold,0.6572,COINCIDES
2023-06-08,2023-06-08,2023-07-08,27,threshold,2.2369,PRECEDES
2023-06-15,2023-06-17,2023-07-08,19,threshold,2.764,PRECEDES
2023-06-19,2023-06-21,2023-07-08,15,threshold,2.0902,PRECEDES
2023-06-23,2023-06-23,2023-07-08,13,transfer,0.975,PRECEDES
2023-06-27,2023-06-27,2023-07-08,10,threshold,-1.6236,PRECEDES
2023-06-29,2023-07-01,2023-07-08,6,transfer,0.907,PRECEDES
2023-07-03,2023-07-03,2023-07-08,4,threshold,1.2303,PRECEDES
2023-07-07,2023-07-07,2023-07-08,0,threshold,1.0315,COINCIDES
2023-10-01,2023-10-01,2023-11-01,28,threshold,2.486,PRECEDES
2023-10-06,2023-10-06,2023-11-01,23,threshold,1.1452,PRECEDES
2023-10-13,2023-10-13,2023-11-01,17,threshold,2.004,PRECEDES
2023-10-16,2023-10-16,2023-11-01,14,threshold,2.6659,PRECEDES
2023-10-20,2023-10-25,2023-11-01,6,threshold,2.6574,PRECEDES
2023-10-28,2023-10-30,2023-11-01,1,threshold,-2.0469,COINCIDES
2024-01-24,2024-01-24,2024-01-30,5,forcing,0.6781,PRECEDES
2024-01-26,2024-01-26,2024-01-30,3,forcing,0.8473,COINCIDES
2024-01-29,2024-01-29,2024-01-30,0,forcing,0.6224,COINCIDES
2024-02-09,2024-02-09,2024-02-24,14,exit_pressure,-1.0,PRECEDES
2024-02-12,2024-02-12,2024-02-24,11,exit_pressure,-0.87,PRECEDES
2024-02-14,2024-02-15,2024-02-24,8,exit_pressure,-0.7233,PRECEDES
2024-02-18,2024-02-18,2024-02-24,5,exit_pressure,-0.6714,PRECEDES
2024-03-17,2024-03-17,2024-03-22,4,forcing,-1.0534,PRECEDES
2024-03-20,2024-03-20,2024-03-22,1,forcing,-0.2704,COINCIDES
2024-08-06,2024-08-06,2024-08-30,21,exit_pressure,1.0,PRECEDES
2024-08-08,2024-08-08,2024-08-30,19,exit_pressure,1.0,PRECEDES
2024-08-12,2024-08-12,2024-08-30,15,transfer,0.338,PRECEDES
2024-08-19,2024-08-19,2024-08-30,10,forcing,-0.6171,PRECEDES
2024-08-21,2024-08-21,2024-08-30,8,exit_pressure,0.3,PRECEDES
2024-08-23,2024-08-24,2024-08-30,5,exit_pressure,0.5,PRECEDES
2024-09-12,2024-09-13,2024-09-18,4,forcing,1.0297,PRECEDES
2024-09-17,2024-09-17,2024-09-18,0,exit_pressure,-0.0771,COINCIDES
2024-10-18,2024-10-18,2024-11-17,29,gain,1.3777,PRECEDES
2024-10-20,2024-10-20,2024-11-17,27,gain,1.3777,PRECEDES
2024-10-24,2024-10-24,2024-11-17,23,forcing,1.8318,PRECEDES
2024-10-26,2024-10-27,2024-11-17,20,forcing,2.2718,PRECEDES
2024-10-29,2024-10-29,2024-11-17,18,forcing,2.4661,PRECEDES
2024-11-05,2024-11-07,2024-11-17,9,forcing,2.0451,PRECEDES
2024-11-09,2024-11-11,2024-11-17,5,forcing,1.6223,PRECEDES
2024-11-15,2024-11-16,2024-11-17,0,exit_pressure,-0.5381,COINCIDES
2025-04-04,2025-04-04,2025-05-02,27,threshold,2.316,PRECEDES
2025-04-07,2025-04-07,2025-05-02,24,threshold,2.4397,PRECEDES
2025-04-09,2025-04-09,2025-05-02,22,threshold,2.39,PRECEDES
2025-04-11,2025-04-12,2025-05-02,19,threshold,2.3274,PRECEDES
2025-04-17,2025-04-17,2025-05-02,14,threshold,1.5229,PRECEDES
2025-04-19,2025-04-19,2025-05-02,12,threshold,1.5247,PRECEDES
2025-04-22,2025-04-23,2025-05-02,8,threshold,1.5478,PRECEDES
2025-04-25,2025-04-26,2025-05-02,5,threshold,1.0088,PRECEDES
2025-04-28,2025-04-28,2025-05-02,3,threshold,0.3274,COINCIDES
2025-05-01,2025-05-01,2025-05-02,0,exit_pressure,0.2524,COINCIDES
2025-06-09,2025-06-10,2025-07-08,27,gain,-0.2149,PRECEDES
2025-06-23,2025-06-23,2025-07-08,14,threshold,0.7492,PRECEDES
2025-06-27,2025-06-29,2025-07-08,8,exit_pressure,0.7195,PRECEDES
2025-07-02,2025-07-02,2025-07-08,5,exit_pressure,-0.2805,PRECEDES
2025-07-06,2025-07-06,2025-07-08,1,threshold,0.2418,COINCIDES
2025-08-13,2025-08-13,2025-08-15,1,threshold,-0.4807,COINCIDES
2025-10-06,2025-10-06,2025-11-03,27,threshold,-1.9977,PRECEDES
2025-10-08,2025-10-08,2025-11-03,25,threshold,-1.9802,PRECEDES
2025-10-12,2025-10-13,2025-11-03,20,threshold,-0.7257,PRECEDES
2025-10-18,2025-10-19,2025-11-03,14,exit_pressure,0.6333,PRECEDES
2025-10-23,2025-10-24,2025-11-03,9,threshold,-0.7321,PRECEDES
2025-10-26,2025-10-26,2025-11-03,7,threshold,-1.0725,PRECEDES
