era,variable,mean,q50
PRE2022,gain,0.7919,0.4857
PRE2022,ceiling,0.6396,
PRE2022,transfer,0.5469,
PRE2022,route_deformation,0.1423,
PRE2022,birth_abort_rate,0.36,
PRE2022,realization_rate,0.512,
TRANSITION,gain,0.3282,0.1084
TRANSITION,ceiling,1.0033,
TRANSITION,transfer,0.3096,
TRANSITION,route_deformation,0.1587,
TRANSITION,birth_abort_rate,0.312,
TRANSITION,realization_rate,0.28,
POST2022,gain,0.8497,0.6275
POST2022,ceiling,0.9062,
POST2022,transfer,0.5164,
POST2022,route_deformation,0.1734,
POST2022,birth_abort_rate,0.584,
POST2022,realization_rate,0.348,
PRE2022,thr50_26-100,1.4149,
TRANSITION,thr50_26-100,2.1736,
POST2022,thr50_26-100,0.6083,
PRE2022,thr50_101-250,2.3432,
TRANSITION,thr50_101-250,0.2044,
POST2022,thr50_101-250,0.6353,
PRE2022,thr50_251-500,2.6223,
TRANSITION,thr50_251-500,-6.9798,
POST2022,thr50_251-500,0.629,
PRE2022,thr50_501-750,3.0791,
TRANSITION,thr50_501-750,1.2664,
POST2022,thr50_501-750,1.5692,
PRE2022,thr50_751-1000,2.705,
TRANSITION,thr50_751-1000,3.0539,
POST2022,thr50_751-1000,1.1784,
PRE2022,thr50_1001-1500,2.421,
TRANSITION,thr50_1001-1500,2.8978,
POST2022,thr50_1001-1500,0.2673,
PRE2022,thr50_1501-2000,1.5746,
TRANSITION,thr50_1501-2000,1.4836,
POST2022,thr50_1501-2000,-0.6968,
PRE2022,route_load_PARTICIPATION_FORCING,-0.11,
TRANSITION,route_load_PARTICIPATION_FORCING,0.058,
POST2022,route_load_PARTICIPATION_FORCING,0.009,
PRE2022,route_load_DISPERSION_FORCING,-0.124,
TRANSITION,route_load_DISPERSION_FORCING,-0.232,
POST2022,route_load_DISPERSION_FORCING,0.027,
PRE2022,route_load_VOLATILITY_FORCING,0.118,
TRANSITION,route_load_VOLATILITY_FORCING,-0.01,
POST2022,route_load_VOLATILITY_FORCING,-0.105,
PRE2022,route_load_BTC_ANCHOR_FORCING,-0.078,
TRANSITION,route_load_BTC_ANCHOR_FORCING,0.081,
POST2022,route_load_BTC_ANCHOR_FORCING,0.033,
PRE2022,route_load_ETH_RELATIVE_FORCING,-0.068,
TRANSITION,route_load_ETH_RELATIVE_FORCING,-0.066,
POST2022,route_load_ETH_RELATIVE_FORCING,0.023,
PRE2022,route_load_RANK_RECRUITMENT_FORCING,-0.231,
TRANSITION,route_load_RANK_RECRUITMENT_FORCING,0.076,
POST2022,route_load_RANK_RECRUITMENT_FORCING,0.011,
PRE2022,route_load_CONCENTRATION_RELEASE_FORCING,-0.097,
TRANSITION,route_load_CONCENTRATION_RELEASE_FORCING,-0.19,
POST2022,route_load_CONCENTRATION_RELEASE_FORCING,-0.052,
PRE2022,route_load_STABLECOIN_CAPITAL_FORCING,0.074,
TRANSITION,route_load_STABLECOIN_CAPITAL_FORCING,0.014,
POST2022,route_load_STABLECOIN_CAPITAL_FORCING,-0.072,
PRE2022,route_load_PHYSICAL_DISTURBANCE_FORCING,-0.056,
TRANSITION,route_load_PHYSICAL_DISTURBANCE_FORCING,0.292,
POST2022,route_load_PHYSICAL_DISTURBANCE_FORCING,-0.059,
PRE2022,prune_frac,0.873,
TRANSITION,prune_frac,0.846,
POST2022,prune_frac,0.761,
