coordinate_a,coordinate_b,subperiod,rho,era_adaptive
GAIN,THRESHOLD_POS,2020-2021,0.086,0.163
GAIN,THRESHOLD_POS,2022,0.023,0.163
GAIN,THRESHOLD_POS,2023,0.015,0.163
GAIN,THRESHOLD_POS,2024,0.418,0.163
GAIN,THRESHOLD_POS,2025-2026,0.309,0.163
GAIN,TRANSFER,2020-2021,0.149,0.187
GAIN,TRANSFER,2022,0.32,0.187
GAIN,TRANSFER,2023,-0.044,0.187
GAIN,TRANSFER,2024,0.318,0.187
GAIN,TRANSFER,2025-2026,-0.139,0.187
CEILING,GAIN,2020-2021,-0.896,0.116
CEILING,GAIN,2022,-0.609,0.116
CEILING,GAIN,2023,-0.813,0.116
CEILING,GAIN,2024,-0.775,0.116
CEILING,GAIN,2025-2026,-0.944,0.116
CEILING,TRANSFER,2020-2021,-0.032,0.221
CEILING,TRANSFER,2022,-0.117,0.221
CEILING,TRANSFER,2023,0.242,0.221
CEILING,TRANSFER,2024,-0.388,0.221
CEILING,TRANSFER,2025-2026,0.157,0.221
