target,minimal_k,best_subset,best_rate
DELIVERY,1,TRANSFER,0.729
DELIVERY,2,THRESHOLD+TRANSFER,0.79
DELIVERY,3,THRESHOLD+TRANSFER+GAIN_HI,0.877
STALL,2,CAPACITY+NON_SATURATED,0.799
STALL,3,CAPACITY+NON_SATURATED+GAIN_HI,0.798
SAT_WITHOUT_DELIVERY,2,DEMAND+CAPACITY,0.676
SAT_WITHOUT_DELIVERY,3,DEMAND+CAPACITY+GAIN_HI,0.744
