node,n,mean,std,q10,q25,q50,q75,q90,persistence_autocorr,monthly_turnover,driver,rho,state,subperiod
GAIN,2196.0,0.8712,0.8279,0.12,0.2874,0.6275,1.0313,2.406,0.989,0.0129,,,,
CEILING,2196.0,0.8452,0.4132,0.5297,0.5551,0.6202,1.1164,1.616,0.988,0.0057,,,,
GAIN_26-100,2196.0,1.0667,,,,0.7336,,,,,,,,
GAIN_101-250,2196.0,0.9408,,,,0.7604,,,,,,,,
GAIN_251-500,2196.0,0.7765,,,,0.5774,,,,,,,,
GAIN_501-750,2196.0,0.9585,,,,0.57,,,,,,,,
GAIN_751-1000,2196.0,0.9015,,,,0.5976,,,,,,,,
GAIN_1001-1500,2196.0,0.9239,,,,0.6762,,,,,,,,
GAIN_1501-2000,2196.0,0.8353,,,,0.5731,,,,,,,,
CEILING_26-100,2196.0,0.9053,,,,0.6524,,,,,,,,
CEILING_101-250,2196.0,0.9053,,,,0.6419,,,,,,,,
CEILING_251-500,2196.0,0.9058,,,,0.6597,,,,,,,,
CEILING_501-750,2196.0,0.8495,,,,0.6388,,,,,,,,
CEILING_751-1000,2196.0,0.8237,,,,0.6195,,,,,,,,
CEILING_1001-1500,2196.0,0.7948,,,,0.5834,,,,,,,,
CEILING_1501-2000,2196.0,0.7886,,,,0.6047,,,,,,,,
GAIN,,,,,,,,,,,forcing,0.104,,
GAIN,,,,,,,,,,,demand,-0.05,,
GAIN,,,,,,,,,,,volatility,0.151,,
GAIN,,,,,,,,,,,dispersion,0.046,,
GAIN,,,,,,,,,,,concentration,-0.045,,
GAIN,,,,,,,,,,,exit_pressure,0.028,,
GAIN,,,,,,,,,,,exit_entropy,0.066,,
GAIN,,,,,,,,,,,transfer,0.124,,
GAIN,,,,,,,,,,,threshold,0.109,,
GAIN,,,,,,,,,,,capacity,-0.039,,
GAIN,,,,,,,,,,,stablecoin,0.023,,
GAIN,,,,,,,,,,,btc,0.028,,
CEILING,,,,,,,,,,,forcing,-0.21,,
CEILING,,,,,,,,,,,demand,0.072,,
CEILING,,,,,,,,,,,volatility,-0.365,,
CEILING,,,,,,,,,,,dispersion,-0.123,,
CEILING,,,,,,,,,,,concentration,-0.007,,
CEILING,,,,,,,,,,,exit_pressure,0.034,,
CEILING,,,,,,,,,,,exit_entropy,-0.018,,
CEILING,,,,,,,,,,,transfer,-0.074,,
CEILING,,,,,,,,,,,threshold,-0.209,,
CEILING,,,,,,,,,,,capacity,0.109,,
CEILING,,,,,,,,,,,stablecoin,-0.194,,
CEILING,,,,,,,,,,,btc,-0.06,,
GAIN,,0.9016,,,,,,,,,,,6C_6C_0,
GAIN,,0.8964,,,,,,,,,,,6C_6C_1,
GAIN,,0.8147,,,,,,,,,,,6C_6C_2,
GAIN,,1.0141,,,,,,,,,,,6C_6C_3,
GAIN,,0.8765,,,,,,,,,,,6C_6C_4,
GAIN,,0.81,,,,,,,,,,,6C_6C_5,
GAIN,,0.832,,,,,,,,,,,8C_8C_0,
GAIN,,0.9016,,,,,,,,,,,8C_8C_1,
GAIN,,0.8984,,,,,,,,,,,8C_8C_2,
GAIN,,0.8964,,,,,,,,,,,8C_8C_3,
GAIN,,0.8641,,,,,,,,,,,8C_8C_4,
GAIN,,0.7974,,,,,,,,,,,8C_8C_5,
GAIN,,0.8147,,,,,,,,,,,8C_8C_6,
GAIN,,1.0141,,,,,,,,,,,8C_8C_7,
CEILING,,0.7584,,,,,,,,,,,6C_6C_0,
CEILING,,0.7569,,,,,,,,,,,6C_6C_1,
CEILING,,0.8656,,,,,,,,,,,6C_6C_2,
CEILING,,0.905,,,,,,,,,,,6C_6C_3,
CEILING,,0.9498,,,,,,,,,,,6C_6C_4,
CEILING,,0.8275,,,,,,,,,,,6C_6C_5,
CEILING,,0.8559,,,,,,,,,,,8C_8C_0,
CEILING,,0.7584,,,,,,,,,,,8C_8C_1,
CEILING,,0.9784,,,,,,,,,,,8C_8C_2,
CEILING,,0.7569,,,,,,,,,,,8C_8C_3,
CEILING,,0.9336,,,,,,,,,,,8C_8C_4,
CEILING,,0.8112,,,,,,,,,,,8C_8C_5,
CEILING,,0.8656,,,,,,,,,,,8C_8C_6,
CEILING,,0.905,,,,,,,,,,,8C_8C_7,
GAIN,,0.746,,,,0.4857,,,,,,,,2020-2021
GAIN,,1.2184,,,,0.2081,,,,,,,,2022
GAIN,,0.7223,,,,0.7588,,,,,,,,2023
GAIN,,0.7698,,,,0.5683,,,,,,,,2024
GAIN,,0.9353,,,,0.7455,,,,,,,,2025-2026
CEILING,,0.6694,,,,0.6035,,,,,,,,2020-2021
CEILING,,0.9296,,,,1.0254,,,,,,,,2022
CEILING,,0.8406,,,,0.6384,,,,,,,,2023
CEILING,,0.7587,,,,0.6156,,,,,,,,2024
CEILING,,1.0138,,,,0.6879,,,,,,,,2025-2026
