start,end,dur,state,gain,ceiling,transfer,threshold,surface_propagation,surface_volatility,dominant_forcing,threshold_inversion
2022-07-29,2022-11-22,117,6C_0,2.605,0.586,0.299,-0.418,0.479,0.042,VOLATILITY_FORCING,True
2022-12-04,2023-03-02,89,6C_4,0.372,1.427,1.008,-0.285,0.663,0.04,PHYSICAL_DISTURBANCE_FORCING,True
2023-08-26,2023-10-04,36,6C_2,0.569,1.219,0.384,-1.659,0.0,0.031,ETH_RELATIVE_FORCING,True
2024-04-25,2024-06-27,63,6C_2,0.36,1.372,0.204,-0.279,0.0,0.047,VOLATILITY_FORCING,True
2024-12-31,2025-01-09,10,6C_5,1.864,0.512,0.398,-0.451,0.0,0.064,PARTICIPATION_FORCING,True
2025-03-18,2025-06-09,84,6C_2,2.854,0.541,0.509,0.292,0.238,0.052,STABLECOIN_CAPITAL_FORCING,True
2026-01-04,2026-08-23,232,6C_3,0.285,1.607,0.514,-0.678,0.384,0.035,VOLATILITY_FORCING,True
