saturation_position,gain_state,n,delivery_rate,propagation,transfer,threshold,exit_pressure,verdict
SAT_LOW,LO_GAIN,248,0.298,0.298,0.387,-0.659,0.571,SATURATION_MEANING_STABLE
SAT_LOW,HI_GAIN,250,0.376,0.376,0.447,-0.294,0.563,SATURATION_MEANING_STABLE
SAT_MID,LO_GAIN,268,0.332,0.332,0.461,-0.317,0.51,SATURATION_MEANING_STABLE
SAT_MID,HI_GAIN,236,0.492,0.492,0.578,-0.049,0.557,SATURATION_MEANING_STABLE
SAT_HIGH,LO_GAIN,226,0.376,0.376,0.484,-0.334,0.533,SATURATION_MEANING_STABLE
SAT_HIGH,HI_GAIN,257,0.409,0.409,0.568,0.11,0.543,SATURATION_MEANING_STABLE
