start,end,surface_peak_absz,surface_post_absz,law_peak_absz,law_post_absz,surface_decay,law_decay,surface_precedes,verdict
2022-07-29,2022-11-22,2.26,0.64,4.76,2.38,1.61,2.38,True,PARTIAL_GENERALIZATION
2022-12-04,2023-03-02,4.13,0.8,7.32,0.91,3.33,6.4,True,PARTIAL_GENERALIZATION
2023-08-26,2023-10-04,2.16,1.18,7.84,0.89,0.98,6.94,False,PARTIAL_GENERALIZATION
2024-04-25,2024-06-27,1.59,0.7,9.44,0.68,0.9,8.76,False,PARTIAL_GENERALIZATION
2024-12-31,2025-01-09,2.34,0.79,3.5,0.71,1.55,2.79,False,PARTIAL_GENERALIZATION
2025-03-18,2025-06-09,2.16,0.74,6.78,0.57,1.42,6.21,False,PARTIAL_GENERALIZATION
