family,ac_lag1,ac_lag5,ac_lag20,half_life_lag,mean_burst_days,best_lag_vs_route_pressure,rho_with_gain,temporal_class
PARTICIPATION_FORCING,0.276,-0.079,-0.051,1.0,2.18,10,-0.017,IMPULSE
DISPERSION_FORCING,0.568,0.0,-0.093,3.0,5.65,-3,-0.027,MIXED
VOLATILITY_FORCING,0.991,0.945,0.747,,44.29,-10,0.151,BACKGROUND_FIELD
BTC_ANCHOR_FORCING,0.858,0.31,-0.019,5.0,5.01,10,0.028,MIXED
ETH_RELATIVE_FORCING,0.858,0.277,0.036,5.0,5.53,4,0.021,MIXED
RANK_RECRUITMENT_FORCING,0.918,0.766,0.162,20.0,6.18,-4,-0.145,BACKGROUND_FIELD
CONCENTRATION_RELEASE_FORCING,0.372,0.031,-0.036,1.0,5.45,0,0.046,IMPULSE
STABLECOIN_CAPITAL_FORCING,0.942,0.75,0.547,,10.87,9,0.023,BACKGROUND_FIELD
PHYSICAL_DISTURBANCE_FORCING,0.229,0.202,0.118,1.0,10.51,7,0.137,IMPULSE
