probe,n_inversion_days,thr50_gap,activation_gap_shallow_minus_deep,absolute_response_size,mean_abs_activation_gap,standardized_gap_z,vol_during_inversion,vol_baseline,stablecoin_during_inversion,stablecoin_baseline,n_assets_patch,constituent_turnover,liquidity,asset_age,missingness_act,rank7_during,rank7_baseline,verdict
pair_26-100_vs_101-250,511,2.435,-0.0008,0.0008,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_26-100_vs_251-500,354,7.0625,0.011,0.011,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_26-100_vs_501-750,213,7.0902,0.0229,0.0229,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_26-100_vs_751-1000,242,4.6405,0.022,0.022,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_26-100_vs_1001-1500,149,16.3788,0.0184,0.0184,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_26-100_vs_1501-2000,367,14.3785,0.0276,0.0276,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_101-250_vs_251-500,417,5.8936,0.0046,0.0046,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_101-250_vs_501-750,174,7.5116,0.0241,0.0241,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_101-250_vs_751-1000,227,1.8435,0.018,0.018,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_101-250_vs_1001-1500,144,13.2212,0.0146,0.0146,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_101-250_vs_1501-2000,571,8.4108,0.0303,0.0303,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_251-500_vs_501-750,307,4.2529,0.0064,0.0064,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_251-500_vs_751-1000,277,1.9956,0.0,0.0,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_251-500_vs_1001-1500,422,6.077,0.0077,0.0077,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_251-500_vs_1501-2000,571,9.6841,0.018,0.018,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_501-750_vs_751-1000,781,2.9906,0.0054,0.0054,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_501-750_vs_1001-1500,651,6.0061,0.0094,0.0094,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_501-750_vs_1501-2000,896,7.89,0.0155,0.0155,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_751-1000_vs_1001-1500,411,7.4009,0.0048,0.0048,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_751-1000_vs_1501-2000,866,7.0418,0.012,0.012,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
pair_1001-1500_vs_1501-2000,1400,2.7957,0.0075,0.0075,,,,,,,,,,,,,,COMPOSITION_ARTIFACT
OVERALL,1728,,,,0.0134,0.057,0.0554,0.0516,0.0138,0.0101,DATA_BLOCKED(panel-aggregate),DATA_BLOCKED,DATA_BLOCKED,DATA_BLOCKED,0.002,,,COMPOSITION_ARTIFACT
RANK_MIGRATION_PROXY,1728,,,,,,,,,,,,,,,0.862,0.895,COMPOSITION_ARTIFACT
