method,break_index,break_date,first_break_date,pre_level,post_level,verdict
CUSUM,65,2025-11-01,,,,NO_AGREED_CHANGEPOINT
SEGMENTED_REGRESSION,18,2021-12-01,,,,NO_AGREED_CHANGEPOINT
SEGMENTED_REGRESSION,30,2022-12-01,,,,NO_AGREED_CHANGEPOINT
SEGMENTED_REGRESSION,54,2024-12-01,,,,NO_AGREED_CHANGEPOINT
