node_a,node_b,rho,partial_rho,tag,verdict
DEMAND,CAPACITY,-0.038,-0.028,NULL,DESCRIPTIVE_GRAPH
DEMAND,THRESHOLD,0.157,0.131,NULL,DESCRIPTIVE_GRAPH
DEMAND,TRANSFER,0.164,0.15,NULL,DESCRIPTIVE_GRAPH
DEMAND,GAIN,-0.05,-0.119,NULL,DESCRIPTIVE_GRAPH
DEMAND,CEILING,0.072,0.112,NULL,DESCRIPTIVE_GRAPH
DEMAND,EXIT_PRESSURE,0.005,0.02,NULL,DESCRIPTIVE_GRAPH
DEMAND,ROUTE_DEFORM,-0.033,-0.025,NULL,DESCRIPTIVE_GRAPH
DEMAND,FORCING,0.152,0.051,NULL,DESCRIPTIVE_GRAPH
CAPACITY,THRESHOLD,-0.457,-0.26,SUPPORTED,DESCRIPTIVE_GRAPH
CAPACITY,TRANSFER,-0.501,-0.416,SUPPORTED,DESCRIPTIVE_GRAPH
CAPACITY,GAIN,-0.039,0.106,NULL,DESCRIPTIVE_GRAPH
CAPACITY,CEILING,0.109,0.027,NULL,DESCRIPTIVE_GRAPH
CAPACITY,EXIT_PRESSURE,0.284,0.233,STATE_LOCAL,DESCRIPTIVE_GRAPH
CAPACITY,ROUTE_DEFORM,0.303,0.198,STATE_LOCAL,DESCRIPTIVE_GRAPH
CAPACITY,FORCING,-0.491,-0.295,SUPPORTED,DESCRIPTIVE_GRAPH
THRESHOLD,TRANSFER,0.542,0.22,SUPPORTED,DESCRIPTIVE_GRAPH
THRESHOLD,GAIN,0.109,-0.396,NULL,DESCRIPTIVE_GRAPH
THRESHOLD,CEILING,-0.209,0.037,STATE_LOCAL,DESCRIPTIVE_GRAPH
THRESHOLD,EXIT_PRESSURE,-0.062,-0.024,NULL,DESCRIPTIVE_GRAPH
THRESHOLD,ROUTE_DEFORM,-0.175,-0.088,NULL,DESCRIPTIVE_GRAPH
THRESHOLD,FORCING,0.915,0.61,SUPPORTED,DESCRIPTIVE_GRAPH
TRANSFER,GAIN,0.124,-0.123,NULL,DESCRIPTIVE_GRAPH
TRANSFER,CEILING,-0.074,0.101,NULL,DESCRIPTIVE_GRAPH
TRANSFER,EXIT_PRESSURE,-0.033,0.027,NULL,DESCRIPTIVE_GRAPH
TRANSFER,ROUTE_DEFORM,-0.121,-0.066,NULL,DESCRIPTIVE_GRAPH
TRANSFER,FORCING,0.584,0.165,SUPPORTED,DESCRIPTIVE_GRAPH
GAIN,CEILING,-0.848,-0.689,SUPPORTED,DESCRIPTIVE_GRAPH
GAIN,EXIT_PRESSURE,0.028,-0.025,NULL,DESCRIPTIVE_GRAPH
GAIN,ROUTE_DEFORM,0.019,0.008,NULL,DESCRIPTIVE_GRAPH
GAIN,FORCING,0.104,-0.519,NULL,DESCRIPTIVE_GRAPH
CEILING,EXIT_PRESSURE,0.034,0.05,NULL,DESCRIPTIVE_GRAPH
CEILING,ROUTE_DEFORM,0.02,-0.044,NULL,DESCRIPTIVE_GRAPH
CEILING,FORCING,-0.21,-0.111,STATE_LOCAL,DESCRIPTIVE_GRAPH
EXIT_PRESSURE,ROUTE_DEFORM,0.428,0.363,SUPPORTED,DESCRIPTIVE_GRAPH
EXIT_PRESSURE,FORCING,-0.091,-0.098,NULL,DESCRIPTIVE_GRAPH
ROUTE_DEFORM,FORCING,-0.19,-0.196,NULL,DESCRIPTIVE_GRAPH
