file,n_rows,n_cells,null_cells,null_frac,failed_flags
02_RESPONSE_LAW_DECOMPOSITION.csv,37,185,0,0.0,
02b_RESPONSE_LAW_SUBPERIOD.csv,20,100,0,0.0,
03_SATURATION_RESPONSE_COORDS.csv,78,1170,896,0.766,
04_RESPONSE_GAIN_STATE.csv,20,280,198,0.707,
05_CEILING_ROLE.csv,9,126,92,0.73,
06_SLOPE_CEILING_SURFACE.csv,2,20,0,0.0,
07_SATURATION_POSITION_BY_RESPONSE.csv,6,54,0,0.0,
08_SATURATION_FAILURE_MATCHED.csv,23,138,1,0.007,
09_SATURATION_FAILURE_TRANSITIONS.csv,98,3724,0,0.0,
09b_SATURATION_FAILURE_TRANSITION_AGG.csv,35,105,0,0.0,
10_SATURATION_TO_DELIVERY.csv,146,1022,0,0.0,
10b_SATURATION_TO_DELIVERY_AGG.csv,6,18,0,0.0,
11_CAPACITY_INTERPRETATION.csv,11,154,110,0.714,
12_CAPACITY_RESPONSE_LAW.csv,9,63,0,0.0,
14_THRESHOLD_TRANSFER_2X2.csv,56,280,108,0.386,
15_THRESHOLD_TRANSFER_INTERACTION.csv,10,20,0,0.0,
16_REALIZATION_CORE.csv,8,40,4,0.1,
17_REALIZATION_RELATIONS.csv,28,140,0,0.0,
17b_REALIZATION_RELATIONS_SUBPERIOD.csv,25,125,0,0.0,
18_REALIZATION_CONSTRAINT_NETWORK.csv,36,216,24,0.111,
19_REALIZATION_MINIMAL_SETS.csv,158,1106,259,0.234,
19b_REALIZATION_MINIMAL_SETS_SUMMARY.csv,7,28,0,0.0,
20_REALIZATION_EQUIFINALITY.csv,9,45,0,0.0,
21_BIRTH_FAILURE_DEEP.csv,52,416,0,0.0,
21b_BIRTH_FAILURE_TOP_DISCRIMINATORS.csv,4,12,0,0.0,
22_LOAD_RESOLUTION_MISMATCH.csv,4,36,0,0.0,
23_BIRTH_FAILURE_SURFACE.csv,9,45,0,0.0,
24_BIRTH_RECOVERY_PATH.csv,104,1144,0,0.0,
24b_BIRTH_RECOVERY_ORDER_AGG.csv,6,18,0,0.0,
25_THRESHOLD_INVERSION_MATERIALITY.csv,23,437,292,0.668,COMPOSITION_ARTIFACT:23;DATA_BLOCKED(panel-aggregate):1;DATA_BLOCKED:1
26_THRESHOLD_INVERSION_POST_AUDIT.csv,1,2,0,0.0,
27_THRESHOLD_INVERSION_FUNCTION.csv,1,2,0,0.0,
28_HYSTERESIS_RECONCILIATION.csv,210,1470,280,0.19,
29_HYSTERESIS_SURVIVAL_MAP.csv,21,168,21,0.125,
30_FORCING_FUNCTIONAL_DIMENSIONS.csv,9,108,0,0.0,
31_FORCING_FUNCTIONAL_MAP.csv,9,63,0,0.0,
32_FORCING_TEMPORAL_SCALES.csv,9,81,2,0.025,
33_FORCING_INTERACTION_DEEP.csv,126,1134,0,0.0,
34_2022_ERA_HYPOTHESES.csv,6,90,53,0.589,
35_RESPONSE_GAIN_CHANGEPOINTS.csv,4,28,12,0.429,
36_PRE_TRANSITION_POST_LAW.csv,69,276,66,0.239,
37_NEW_BASELINE_VS_SCAR.csv,4,32,0,0.0,
38_REEXCURSION_ANATOMY.csv,7,84,0,0.0,
39_SURFACE_VS_LAW_GENERALIZATION.csv,6,60,0,0.0,
41_OLD_NODE_RECONNECTION.csv,11,44,0,0.0,
42_PROMOTE_PARK_DISSOLVE.csv,22,88,0,0.0,
43_NULL_AND_FAILED_RESULTS.csv,47,282,46,0.163,
