stage,coordinate,viable_mean,aborted_mean,cohens_d,p_value,abs_d,verdict
PRECONDITION,live_exits,1.8643,1.6833,0.361,0.0,0.361,MEASURED
PRECONDITION,entropy,0.6774,0.562,0.304,0.0025,0.304,MEASURED
PRECONDITION,dominant_share,0.7614,0.797,0.258,0.0159,0.258,MEASURED
PRECONDITION,pressure_concentration,0.3727,0.3537,0.142,0.1051,0.142,MEASURED
PRECONDITION,forcing,-0.0186,-0.1896,0.189,0.0871,0.189,MEASURED
PRECONDITION,gain,0.913,0.9265,0.015,0.7475,0.015,MEASURED
PRECONDITION,ceiling,0.8427,0.8939,0.119,0.5171,0.119,MEASURED
PRECONDITION,threshold,-0.1144,-0.288,0.178,0.0652,0.178,MEASURED
PRECONDITION,transfer,0.485,0.4272,0.231,0.0429,0.231,MEASURED
PRECONDITION,capacity,0.9446,1.0023,0.714,0.0,0.714,MEASURED
PRECONDITION,demand_slope,0.0071,0.0104,0.013,0.6667,0.013,MEASURED
PRECONDITION,dominant_instability,0.2004,0.1514,0.508,0.0,0.508,MEASURED
PRECONDITION,pruning_rate,0.5949,0.3515,0.398,0.0,0.398,MEASURED
INITIATION,live_exits,0.9543,1.8876,1.366,0.0,1.366,MEASURED
INITIATION,entropy,0.1516,0.7011,1.295,0.0,1.295,MEASURED
INITIATION,dominant_share,0.7099,0.7525,0.14,0.0021,0.14,MEASURED
INITIATION,pressure_concentration,0.3932,0.36,0.147,0.4314,0.147,MEASURED
INITIATION,forcing,-0.0239,-0.1037,0.076,0.8494,0.076,MEASURED
INITIATION,gain,0.9056,0.944,0.043,0.5902,0.043,MEASURED
INITIATION,ceiling,0.8335,0.8944,0.14,0.7754,0.14,MEASURED
INITIATION,threshold,-0.1175,-0.1669,0.047,0.8114,0.047,MEASURED
INITIATION,transfer,0.5021,0.4223,0.244,0.1474,0.244,MEASURED
INITIATION,capacity,0.9369,0.9759,0.363,0.0,0.363,MEASURED
INITIATION,demand_slope,-0.3372,0.1688,0.391,0.0002,0.391,MEASURED
INITIATION,dominant_instability,0.1839,0.1253,0.663,0.0,0.663,MEASURED
INITIATION,pruning_rate,-0.7991,0.3258,1.191,0.0,1.191,MEASURED
COMMITMENT,live_exits,0.9513,1.7116,1.037,0.0,1.037,MEASURED
COMMITMENT,entropy,0.2678,0.6011,0.786,0.0,0.786,MEASURED
COMMITMENT,dominant_share,0.5386,0.743,0.696,0.0,0.696,MEASURED
COMMITMENT,pressure_concentration,0.3012,0.3696,0.353,0.014,0.353,MEASURED
COMMITMENT,forcing,-0.0664,-0.0392,0.024,0.1587,0.024,MEASURED
COMMITMENT,gain,0.9055,0.9538,0.055,0.5678,0.055,MEASURED
COMMITMENT,ceiling,0.8314,0.8933,0.143,0.8278,0.143,MEASURED
COMMITMENT,threshold,-0.1312,-0.151,0.019,0.2975,0.019,MEASURED
COMMITMENT,transfer,0.499,0.4539,0.137,0.7137,0.137,MEASURED
COMMITMENT,capacity,0.9336,0.9757,0.438,0.0,0.438,MEASURED
COMMITMENT,demand_slope,0.0361,-0.0714,0.229,0.0045,0.229,MEASURED
COMMITMENT,dominant_instability,0.2656,0.1516,1.012,0.0,1.012,MEASURED
COMMITMENT,pruning_rate,-0.9772,0.0437,1.073,0.0,1.073,MEASURED
EARLY_SURVIVAL,live_exits,1.1039,1.505,0.501,0.0,0.501,MEASURED
EARLY_SURVIVAL,entropy,0.327,0.5047,0.42,0.0,0.42,MEASURED
EARLY_SURVIVAL,dominant_share,0.5791,0.6881,0.343,0.0727,0.343,MEASURED
EARLY_SURVIVAL,pressure_concentration,0.3874,0.398,0.055,0.7184,0.055,MEASURED
EARLY_SURVIVAL,forcing,-0.1619,-0.091,0.066,0.167,0.066,MEASURED
EARLY_SURVIVAL,gain,0.8815,0.9665,0.098,0.3393,0.098,MEASURED
EARLY_SURVIVAL,ceiling,0.8426,0.8785,0.083,0.5959,0.083,MEASURED
EARLY_SURVIVAL,threshold,-0.1992,-0.1826,0.016,0.3445,0.016,MEASURED
EARLY_SURVIVAL,transfer,0.464,0.437,0.087,0.841,0.087,MEASURED
EARLY_SURVIVAL,capacity,0.9296,0.9628,0.358,0.0001,0.358,MEASURED
EARLY_SURVIVAL,demand_slope,-0.028,-0.0086,0.048,0.7638,0.048,MEASURED
EARLY_SURVIVAL,dominant_instability,0.2463,0.1906,0.446,0.0,0.446,MEASURED
EARLY_SURVIVAL,pruning_rate,-0.5126,-0.2681,0.249,0.0058,0.249,MEASURED
