aborted_date,recovery_date,days_to_recovery,first_change,delta_first,demand_cooled,routes_pruned,pressure_concentrated,transfer_repaired,threshold_normalized,gain_changed
2025-07-10,2025-07-11,1,demand,0.259,False,False,True,False,True,False
2025-07-19,2025-07-20,1,threshold_normalizes,-0.0827,False,False,True,True,False,False
2025-07-25,2025-07-27,2,demand,-0.4116,True,False,True,False,True,False
2025-08-07,2025-08-08,1,demand,0.5758,False,False,False,True,True,True
2025-08-16,2025-08-17,1,demand,0.3761,False,False,False,True,False,False
2025-09-02,2025-09-04,2,routes_prune,0.6,False,False,False,True,True,False
2025-09-17,2025-09-20,3,routes_prune,0.2,True,False,True,True,True,False
2025-10-01,2025-10-06,5,threshold_normalizes,1.3577,False,False,False,True,True,True
2025-10-31,2025-11-01,1,threshold_normalizes,-0.1808,True,False,True,True,False,False
2025-12-15,2025-12-16,1,threshold_normalizes,-0.0424,False,False,False,False,False,False
2025-12-24,2025-12-28,4,demand,-0.45,True,False,False,False,False,False
2026-01-13,2026-01-14,1,demand,0.449,False,False,False,True,True,False
2026-01-17,2026-01-18,1,threshold_normalizes,0.3822,False,True,True,False,True,False
2026-03-13,2026-03-14,1,demand,0.31,False,False,False,True,True,False
2026-03-20,2026-03-21,1,threshold_normalizes,-0.2019,True,False,False,False,False,False
2026-03-25,2026-03-26,1,routes_prune,0.2,False,False,False,True,False,False
2026-03-30,2026-03-31,1,threshold_normalizes,-0.2132,True,True,True,False,False,False
2026-04-08,2026-04-09,1,routes_prune,0.2,True,False,False,False,True,False
2026-04-13,2026-04-15,2,routes_prune,-0.4,True,True,True,True,True,False
2026-05-18,2026-05-24,6,demand,1.103,False,False,False,True,False,False
2026-05-25,2026-05-26,1,routes_prune,-0.2,True,True,True,False,False,False
2026-07-02,2026-07-03,1,demand,0.3355,False,False,True,False,True,False
2026-08-07,2026-08-09,2,routes_prune,0.8,False,False,False,True,True,False
