n_coords,best_combo,heldout_auc,single,verdict
1,TRANSFER,0.828,,CORE_2=TRANSFER+CAPACITY
2,TRANSFER+CAPACITY,0.826,,CORE_2=TRANSFER+CAPACITY
3,TRANSFER+GAIN+CAPACITY,0.824,,CORE_2=TRANSFER+CAPACITY
4,THRESHOLD+TRANSFER+GAIN+CAPACITY,0.806,,CORE_2=TRANSFER+CAPACITY
1,THRESHOLD,0.718,True,CORE_2=TRANSFER+CAPACITY
1,TRANSFER,0.828,True,CORE_2=TRANSFER+CAPACITY
1,GAIN,0.541,True,CORE_2=TRANSFER+CAPACITY
1,CAPACITY,0.693,True,CORE_2=TRANSFER+CAPACITY
