patch,state,gap_ctl_mean,gap_ctl_max,n_cells,subperiod_std,forcing_family_sensitivity,verdict
26-100,6C_0,0.097,0.097,5,,0.022,STATE_DOMINANT_HYSTERESIS
26-100,6C_2,0.162,0.162,5,,0.032,STATE_DOMINANT_HYSTERESIS
26-100,6C_4,0.085,0.085,5,,0.026,STATE_DOMINANT_HYSTERESIS
101-250,6C_0,0.067,0.067,5,,0.021,STATE_DOMINANT_HYSTERESIS
101-250,6C_2,0.153,0.153,5,,0.024,STATE_DOMINANT_HYSTERESIS
101-250,6C_4,0.083,0.083,5,,0.019,STATE_DOMINANT_HYSTERESIS
251-500,6C_0,0.067,0.067,5,,0.019,STATE_DOMINANT_HYSTERESIS
251-500,6C_2,0.142,0.142,5,,0.013,STATE_DOMINANT_HYSTERESIS
251-500,6C_4,0.095,0.095,5,,0.016,STATE_DOMINANT_HYSTERESIS
501-750,6C_0,0.05,0.05,5,,0.018,STATE_DOMINANT_HYSTERESIS
501-750,6C_2,0.147,0.147,5,,0.014,STATE_DOMINANT_HYSTERESIS
501-750,6C_4,0.09,0.09,5,,0.016,STATE_DOMINANT_HYSTERESIS
751-1000,6C_0,0.066,0.066,5,,0.021,STATE_DOMINANT_HYSTERESIS
751-1000,6C_2,0.142,0.142,5,,0.012,STATE_DOMINANT_HYSTERESIS
751-1000,6C_4,0.09,0.09,5,,0.019,STATE_DOMINANT_HYSTERESIS
1001-1500,6C_0,0.051,0.051,5,,0.02,STATE_DOMINANT_HYSTERESIS
1001-1500,6C_2,0.136,0.136,5,,0.013,STATE_DOMINANT_HYSTERESIS
1001-1500,6C_4,0.085,0.085,5,,0.014,STATE_DOMINANT_HYSTERESIS
1501-2000,6C_0,0.065,0.065,5,,0.02,STATE_DOMINANT_HYSTERESIS
1501-2000,6C_2,0.122,0.122,5,,0.015,STATE_DOMINANT_HYSTERESIS
1501-2000,6C_4,0.073,0.073,5,,0.013,STATE_DOMINANT_HYSTERESIS
