cell,n,propagation,delivery_rate,reentry,threshold_crossing,exit_concentration,rank_recruitment,sat_without_delivery,verdict
LO_GAIN_HI_CEIL,684,0.313,0.313,0.238,-0.508,0.535,0.807,0.12,DISTINCT_ENVIRONMENTS_best=HI_GAIN_LO_CEIL_worst=LO_GAIN_HI_CEIL
HI_GAIN_LO_CEIL,628,0.401,0.401,0.189,-0.161,0.542,0.914,0.142,DISTINCT_ENVIRONMENTS_best=HI_GAIN_LO_CEIL_worst=LO_GAIN_HI_CEIL
