load_band,resolve_band,n,abort_rate,verdict
L1,R1,28,0.964,"SURFACE(load_d=0.129,resolve_d=0.76)"
L1,R2,55,0.491,"SURFACE(load_d=0.129,resolve_d=0.76)"
L1,R3,58,0.052,"SURFACE(load_d=0.129,resolve_d=0.76)"
L2,R1,35,0.971,"SURFACE(load_d=0.129,resolve_d=0.76)"
L2,R2,56,0.768,"SURFACE(load_d=0.129,resolve_d=0.76)"
L2,R3,51,0.235,"SURFACE(load_d=0.129,resolve_d=0.76)"
L3,R1,48,0.896,"SURFACE(load_d=0.129,resolve_d=0.76)"
L3,R2,60,0.733,"SURFACE(load_d=0.129,resolve_d=0.76)"
L3,R3,34,0.265,"SURFACE(load_d=0.129,resolve_d=0.76)"
