internal_asset_id,canonical_symbol,cmc_name,distinct_cmc_ids_for_symbol,coingecko_candidates,coinpaprika_candidates,collision_class,classification_note
CMC:1,BTC,Bitcoin,1,11,33,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2,LTC,Litecoin,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:52,XRP,XRP,1,5,11,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:74,DOGE,Dogecoin,2,7,33,TRUE_TICKER_REUSE,same symbol maps to >1 distinct CMC asset
CMC:109,DGB,DigiByte,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:131,DASH,Dash,1,2,3,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:328,XMR,Monero,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:512,XLM,Stellar,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:541,SYS,Syscoin,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:693,XVG,Verge,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:825,USDT,Tether USDt,1,48,11,UNKNOWN_COLLISION,multiple provider candidates without a HIGH name match — must be manually resolved
CMC:873,XEM,NEM,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1027,ETH,Ethereum,1,14,11,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1042,SC,Siacoin,1,3,16,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1168,DCR,Decred,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1214,LSK,Lisk,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1230,STEEM,Steem,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1274,WAVES,Waves,1,1,3,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1320,ARDR,Ardor,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1321,ETC,Ethereum Classic,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1376,NEO,Neo,1,1,6,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1437,ZEC,Zcash,1,4,6,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1455,GLM,Golem,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1518,MKR,Maker,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1567,XNO,Nano,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1586,ARK,Ark,1,3,10,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1637,RLC,iExec RLC,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1659,GNO,Gnosis,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1680,ANT,Aragon,1,3,8,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1684,QTUM,Qtum,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1697,BAT,Basic Attention Token,1,3,6,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1698,ZEN,Horizen,1,6,6,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1712,QRL,Quantum Resistant Ledger,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1720,IOTA,IOTA,1,1,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1727,BNT,Bancor,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1732,NMR,Numeraire,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1757,FUN,FUNToken,1,6,10,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1759,SNT,Status,1,1,6,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1762,ERG,Ergo,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1765,EOS,EOS,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1772,STORJ,Storj,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1785,GAS,Gas,1,3,7,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1788,MTL,Metal DAO,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1808,OMG,OMG Network,1,2,5,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1816,CVC,Civic,1,1,4,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1831,BCH,Bitcoin Cash,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1839,BNB,BNB,1,2,12,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1886,DENT,Dent,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:1896,ZRX,0x Protocol,1,1,2,UNKNOWN_COLLISION,multiple provider candidates without a HIGH name match — must be manually resolved
CMC:1934,LRC,Loopring,1,1,3,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1958,TRX,TRON,1,3,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1966,MANA,Decentraland,1,3,3,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1974,PRO,Propy,1,5,9,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:1975,LINK,Chainlink,1,3,5,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2010,ADA,Cardano,1,3,7,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2011,XTZ,Tezos,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2071,REQ,Request,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2083,BTG,Bitcoin Gold,1,2,4,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2087,KCS,KuCoin Token,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2099,ICX,ICON,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2130,ENJ,Enjin Coin,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2132,POWR,Powerledger,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2223,VEE,BLOCKv,1,3,3,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2280,FIL,Filecoin,1,2,1,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2299,ELF,aelf,1,2,4,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2300,WAXP,WAX,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2303,MED,MediBloc,1,1,4,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2341,SWFTC,SwftCoin,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2394,TEL,Telcoin,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2396,WETH,WETH,1,63,9,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2405,IOST,IOST,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2416,THETA,Theta Network,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2424,AGIX,SingularityNET,1,1,1,NO_COLLISION,no symbol multiplicity
CMC:2467,TRAC,OriginTrail,1,2,2,PROVIDER_SYMBOL_COLLISION,"symbol matches multiple provider candidates but best name-join resolves the asset (needs disambiguation, not a different asset)"
CMC:2469,ZIL,Zilliqa,1,1,1,NO_COLLISION,no symbol multiplicity
