artifact,tier,centroid_pips,lower_cutoff_pips,upper_cutoff_pips,cluster_size,cluster_fraction,within_sd_pips,silhouette,init_policy,seed,quantile,bin,lower_pips,upper_pips,count
KMEANS,1,16.90030581039752,,25.179100273619866,327.0,0.7398190045248869,4.456459411631527,0.6134825857598628,quantile_0.2_0.5_0.8,42.0,,,,,
KMEANS,2,33.45789473684221,25.179100273619866,125.9289473684204,114.0,0.2579185520361991,7.859845705561596,0.6134825857598628,quantile_0.2_0.5_0.8,42.0,,,,,
KMEANS,3,218.39999999999858,125.9289473684204,,1.0,0.0022624434389140274,0.0,0.6134825857598628,quantile_0.2_0.5_0.8,42.0,,,,,
QUANTILE,DISTRIBUTION,11.499999999999844,,,442.0,,,,,,0.1,,,,
QUANTILE,DISTRIBUTION,14.699999999999157,,,442.0,,,,,,0.25,,,,
QUANTILE,DISTRIBUTION,19.15,,,442.0,,,,,,0.5,,,,
QUANTILE,DISTRIBUTION,25.57499999999935,,,442.0,,,,,,0.75,,,,
QUANTILE,DISTRIBUTION,33.80000000000138,,,442.0,,,,,,0.9,,,,
HISTOGRAM,BIN,,,,,,,,,,,0.0,7.200000000000539,10.054054054054568,22.0
HISTOGRAM,BIN,,,,,,,,,,,1.0,10.054054054054568,12.908108108108594,50.0
HISTOGRAM,BIN,,,,,,,,,,,2.0,12.908108108108594,15.762162162162621,71.0
HISTOGRAM,BIN,,,,,,,,,,,3.0,15.762162162162621,18.61621621621665,59.0
HISTOGRAM,BIN,,,,,,,,,,,4.0,18.61621621621665,21.470270270270678,58.0
HISTOGRAM,BIN,,,,,,,,,,,5.0,21.470270270270678,24.324324324324703,58.0
HISTOGRAM,BIN,,,,,,,,,,,6.0,24.324324324324703,27.17837837837873,35.0
HISTOGRAM,BIN,,,,,,,,,,,7.0,27.17837837837873,30.03243243243276,19.0
HISTOGRAM,BIN,,,,,,,,,,,8.0,30.03243243243276,32.88648648648679,22.0
HISTOGRAM,BIN,,,,,,,,,,,9.0,32.88648648648679,35.74054054054082,15.0
HISTOGRAM,BIN,,,,,,,,,,,10.0,35.74054054054082,38.59459459459484,13.0
HISTOGRAM,BIN,,,,,,,,,,,11.0,38.59459459459484,41.44864864864887,6.0
HISTOGRAM,BIN,,,,,,,,,,,12.0,41.44864864864887,44.3027027027029,4.0
HISTOGRAM,BIN,,,,,,,,,,,13.0,44.3027027027029,47.15675675675692,1.0
HISTOGRAM,BIN,,,,,,,,,,,14.0,47.15675675675692,50.01081081081095,3.0
HISTOGRAM,BIN,,,,,,,,,,,15.0,50.01081081081095,52.864864864864984,1.0
HISTOGRAM,BIN,,,,,,,,,,,16.0,52.864864864864984,55.718918918919,3.0
HISTOGRAM,BIN,,,,,,,,,,,17.0,55.718918918919,58.572972972973034,0.0
HISTOGRAM,BIN,,,,,,,,,,,18.0,58.572972972973034,61.427027027027066,0.0
HISTOGRAM,BIN,,,,,,,,,,,19.0,61.427027027027066,64.2810810810811,0.0
HISTOGRAM,BIN,,,,,,,,,,,20.0,64.2810810810811,67.13513513513512,0.0
HISTOGRAM,BIN,,,,,,,,,,,21.0,67.13513513513512,69.98918918918915,0.0
HISTOGRAM,BIN,,,,,,,,,,,22.0,69.98918918918915,72.84324324324318,0.0
HISTOGRAM,BIN,,,,,,,,,,,23.0,72.84324324324318,75.6972972972972,1.0
HISTOGRAM,BIN,,,,,,,,,,,24.0,75.6972972972972,78.55135135135123,0.0
HISTOGRAM,BIN,,,,,,,,,,,25.0,78.55135135135123,81.40540540540526,0.0
HISTOGRAM,BIN,,,,,,,,,,,26.0,81.40540540540526,84.2594594594593,0.0
HISTOGRAM,BIN,,,,,,,,,,,27.0,84.2594594594593,87.11351351351331,0.0
HISTOGRAM,BIN,,,,,,,,,,,28.0,87.11351351351331,89.96756756756734,0.0
HISTOGRAM,BIN,,,,,,,,,,,29.0,89.96756756756734,92.82162162162138,0.0
HISTOGRAM,BIN,,,,,,,,,,,30.0,92.82162162162138,95.6756756756754,0.0
HISTOGRAM,BIN,,,,,,,,,,,31.0,95.6756756756754,98.52972972972943,0.0
HISTOGRAM,BIN,,,,,,,,,,,32.0,98.52972972972943,101.38378378378346,0.0
HISTOGRAM,BIN,,,,,,,,,,,33.0,101.38378378378346,104.23783783783747,0.0
HISTOGRAM,BIN,,,,,,,,,,,34.0,104.23783783783747,107.0918918918915,0.0
HISTOGRAM,BIN,,,,,,,,,,,35.0,107.0918918918915,109.94594594594554,0.0
HISTOGRAM,BIN,,,,,,,,,,,36.0,109.94594594594554,112.79999999999956,0.0
HISTOGRAM,BIN,,,,,,,,,,,37.0,112.79999999999956,115.65405405405359,0.0
HISTOGRAM,BIN,,,,,,,,,,,38.0,115.65405405405359,118.50810810810762,0.0
HISTOGRAM,BIN,,,,,,,,,,,39.0,118.50810810810762,121.36216216216165,0.0
