tier,checkpoint,directional_balance_bucket,failure_type,failure_count,median_distance_before_failure_AU,median_time_before_failure_min,median_max_adverse_AU,p_next_loop_flips,p_next_loop_continues,next_loop_median_size_AU,p_next_loop_completes_1_AU,median_time_to_next_completion_min,median_loops_before_terminal
1,03:00,BALANCED,ORIGIN_BREACH,107,0.15384337000574747,5.0,0.05917052692516621,0.5607476635514018,0.4392523364485982,0.2011797915460381,0.12149532710280374,40.0,29.0
1,03:00,DOWN_HEAVY,ORIGIN_BREACH,244,0.19526273885346893,5.0,0.05917052692542898,0.5081967213114754,0.4918032786885246,0.24259916039375956,0.1557377049180328,35.0,31.0
1,03:00,DOWN_HEAVY,RETRACE_INVALIDATION,3,0.6153734800229899,50.0,0.5207006369426714,1.0,0.0,0.2603503184712043,0.0,,28.0
1,03:00,DOWN_LEAN,ORIGIN_BREACH,173,0.2011797915460381,5.0,0.07100463231030456,0.49710982658959535,0.5028901734104047,0.2366821077011904,0.1329479768786127,30.0,29.0
1,03:00,DOWN_LEAN,RETRACE_INVALIDATION,3,0.30768674001149493,15.0,0.8165532715692907,0.3333333333333333,0.6666666666666667,0.3786913723217995,0.0,,29.0
1,03:00,UP_HEAVY,OPPOSITE_LOOP_FORMATION,1,0.4496960046323668,5.0,1.7396134916037755,1.0,0.0,0.6863781123335572,0.0,,34.0
1,03:00,UP_HEAVY,ORIGIN_BREACH,247,0.2130138969309137,5.0,0.05917052692516621,0.48582995951417,0.51417004048583,0.26035031847146706,0.1902834008097166,30.0,28.0
1,03:00,UP_HEAVY,RETRACE_INVALIDATION,3,0.09467284308058126,5.0,0.5562029530978236,0.6666666666666666,0.33333333333333337,0.5798711638681003,0.0,,33.0
1,03:00,UP_LEAN,OPPOSITE_LOOP_FORMATION,1,0.8993920092647336,35.0,2.1183048639258377,0.0,1.0,2.272148233931848,1.0,10.0,7.0
1,03:00,UP_LEAN,ORIGIN_BREACH,119,0.17751158077602416,5.0,0.05917052692516621,0.44537815126050423,0.5546218487394958,0.21301389693117645,0.14285714285714285,45.0,31.0
1,03:00,UP_LEAN,RETRACE_INVALIDATION,1,0.3313549507815089,15.0,0.852055587724443,1.0,0.0,0.07100463231030456,0.0,,32.0
1,04:00,BALANCED,ORIGIN_BREACH,82,0.23668210770132175,5.0,0.10650694846545684,0.45121951219512196,0.5487804878048781,0.36685726693679255,0.15853658536585366,20.0,27.0
1,04:00,BALANCED,RETRACE_INVALIDATION,2,0.7100463231035712,15.0,0.7100463231037025,0.0,1.0,0.8047191661841524,0.0,,28.0
