tier,threshold_AU,n,p_hit_up_before_down,p_hit_down_before_up,p_hit_either,same_bar_count,median_max_excursion_AU,p25_max_excursion_AU,p50_max_excursion_AU,p75_max_excursion_AU,p90_max_excursion_AU
1,0.5,327,0.4831804281345566,0.5168195718654435,1.0,0,3.9170888824550425,2.6390055008685094,3.9170888824550425,5.496941951360633,7.517023740590692
1,1.0,327,0.4831804281345566,0.5107033639143731,0.9938837920489296,0,3.9170888824550425,2.6390055008685094,3.9170888824550425,5.496941951360633,7.517023740590692
1,1.2,327,0.4617737003058104,0.5259938837920489,0.9908256880733946,1,3.9170888824550425,2.6390055008685094,3.9170888824550425,5.496941951360633,7.517023740590692
1,1.5,327,0.4617737003058104,0.5107033639143731,0.9755351681957186,1,3.9170888824550425,2.6390055008685094,3.9170888824550425,5.496941951360633,7.517023740590692
1,2.0,327,0.43425076452599387,0.44954128440366975,0.8899082568807339,2,3.9170888824550425,2.6390055008685094,3.9170888824550425,5.496941951360633,7.517023740590692
2,0.5,114,0.5,0.5,1.0,0,2.5644171779141116,1.8351423627496957,2.5644171779141116,3.377379266949801,4.592040270567883
2,1.0,114,0.45614035087719296,0.5263157894736842,0.9824561403508771,0,2.5644171779141116,1.8351423627496957,2.5644171779141116,3.377379266949801,4.592040270567883
2,1.2,114,0.41228070175438597,0.543859649122807,0.956140350877193,0,2.5644171779141116,1.8351423627496957,2.5644171779141116,3.377379266949801,4.592040270567883
2,1.5,114,0.41228070175438597,0.4824561403508772,0.8947368421052632,0,2.5644171779141116,1.8351423627496957,2.5644171779141116,3.377379266949801,4.592040270567883
2,2.0,114,0.3157894736842105,0.38596491228070173,0.7017543859649122,0,2.5644171779141116,1.8351423627496957,2.5644171779141116,3.377379266949801,4.592040270567883
3,0.5,1,0.0,1.0,1.0,0,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573
3,1.0,1,0.0,0.0,0.0,0,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573
3,1.2,1,0.0,0.0,0.0,0,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573
3,1.5,1,0.0,0.0,0.0,0,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573
3,2.0,1,0.0,0.0,0.0,0,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573,0.7097069597069573
