metric,group_type,group,n,raw_cv,raw_iqr_over_median,raw_mad_over_median,au_cv,au_iqr_over_median,au_mad_over_median,raw_wasserstein,au_wasserstein
max_up_from_3am,tier,1,327.0,0.8787544412973923,1.4151785714285616,0.6250000000000248,0.8787544412973922,1.4151785714285616,0.6250000000000248,,
max_up_from_3am,tier,2,114.0,0.8963579614030355,1.290825688073294,0.6788990825687511,0.8963579614030356,1.290825688073294,0.6788990825687513,,
max_up_from_3am,tier,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
max_up_from_3am,year,2023,217.0,0.8866614200995894,1.472527472527375,0.6739926739926675,0.9725617392181025,1.5100381851643632,0.6321929990818488,,
max_up_from_3am,year,2024,225.0,0.8238420411417713,1.387254901960592,0.6323529411764642,0.8607308535204472,1.4020618556701394,0.6701030927837186,,
max_down_from_3am,tier,1,327.0,0.8169711964224062,1.389344262295085,0.6639344262294903,0.816971196422406,1.3893442622950851,0.6639344262294903,,
max_down_from_3am,tier,2,114.0,0.8834718545255608,1.2341389728096808,0.5921450151057422,0.8834718545255608,1.2341389728096805,0.5921450151057422,,
max_down_from_3am,tier,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
max_down_from_3am,year,2023,217.0,0.8555111336599229,1.3366013071896605,0.6601307189542536,0.8348075286736681,1.503364489885874,0.6634910880197697,,
max_down_from_3am,year,2024,225.0,0.8341680404104812,1.4102564102564397,0.675213675213731,0.8736281879774794,1.4549763033176053,0.6540284360188736,,
final_range,tier,1,327.0,0.41280611139034745,0.5558333333333288,0.26499999999999646,0.4128061113903474,0.5558333333333291,0.26499999999999646,,
final_range,tier,2,114.0,0.40996508411563115,0.5934393638170837,0.27833001988071354,0.4099650841156312,0.5934393638170838,0.2783300198807136,,
final_range,tier,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
final_range,year,2023,217.0,0.39972965824685147,0.5309859154929736,0.25070422535210163,0.4472738036875943,0.5832841507875707,0.29929577464784735,,
final_range,year,2024,225.0,0.4649869521557033,0.5880217785843859,0.29038112522683335,0.4520946383184836,0.5750487329435306,0.2920420255491954,,
max_up_from_3am,tier_pair_wasserstein,1-2,,,,,,,,3.479076130693764,1.675000959068127
max_down_from_3am,tier_pair_wasserstein,1-2,,,,,,,,9.650386286818156,1.2754438454879975
final_range,tier_pair_wasserstein,1-2,,,,,,,,17.91477547078723,2.701237576633241
max_up_from_3am,tier_pair_wasserstein,1-3,,,,,,,,19.84495412844029,3.468990091130433
max_down_from_3am,tier_pair_wasserstein,1-3,,,,,,,,48.50428134556519,3.093415431805827
final_range,tier_pair_wasserstein,1-3,,,,,,,,190.29021406727713,5.289904363152777
max_up_from_3am,tier_pair_wasserstein,2-3,,,,,,,,22.79298245614032,1.8088137600568908
max_down_from_3am,tier_pair_wasserstein,2-3,,,,,,,,45.697368421052,1.9055660821078941
final_range,tier_pair_wasserstein,2-3,,,,,,,,172.3754385964899,2.6043520394505113
