initial_3am_state,checkpoint,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance
AR_NO_GO_STATE,06AM,10,0.6918556257643389,0.6869082959004227,0.33429372008250235,0.5421308186195791,0.6869082959004227,0.9001740863318863,0.9863823933975445,0.3580432677123072,0.20431757753590668,0.05529384131320688
AR_NO_GO_STATE,09AM,10,0.7569580104470944,0.8216549295774633,0.44328485996341627,0.5541030661173023,0.8216549295774633,0.9815469179426788,1.0,0.4274438518253765,0.17834507042253667,0.05338642255084004
AR_NO_GO_STATE,12PM,10,0.9313029199261862,0.9463148316651523,0.8414026292586929,0.8733793563693614,0.9463148316651523,1.0,1.0,0.12662064363063863,0.05368516833484771,0.005039503385432096
BALANCED_ASIA,06AM,56,0.36292378096738964,0.35628671783761245,0.18176720358887807,0.24486942596697459,0.35628671783761245,0.46631875651056415,0.5411894763631575,0.22144933054358956,0.11071000446594689,0.0230469401706791
BALANCED_ASIA,09AM,56,0.5364120473575493,0.5348417224041511,0.23530239099860079,0.3745033892404278,0.5348417224041511,0.6732990307150013,0.8084204660049799,0.2987956414745735,0.14865326885041508,0.04696124403113327
BALANCED_ASIA,12PM,56,0.7557297575570543,0.7485819101054152,0.563205379892229,0.6519374607646633,0.7485819101054152,0.8910572953248993,1.0,0.239119834560236,0.10677642193894049,0.029242155654267982
FULL_LOOP,06AM,10,0.5361112833434775,0.5454226119363668,0.23634042169769792,0.29375040964802845,0.5454226119363668,0.673631476050823,0.9270270270270402,0.3798810664027945,0.23543375436279612,0.0762757259793233
FULL_LOOP,09AM,10,0.6395696228496639,0.6669936557996268,0.33815766065225156,0.38979924827329065,0.6669936557996268,0.8419919825661093,1.0,0.45219273429281864,0.2725469229938159,0.06539428581143858
FULL_LOOP,12PM,10,0.8103544409464843,0.8413607615491829,0.6084110121685989,0.684796512694694,0.8413607615491829,0.9671253822629937,1.0,0.2823288695682997,0.15863923845081707,0.025610524616412417
ONE_SIDED_DOWN,06AM,32,0.3993065590733343,0.37471776589423433,0.23956462198338957,0.308387885580391,0.37471776589423433,0.4684532333433702,0.6319148633662046,0.1600653477629792,0.07789415250441153,0.02497319927576593
ONE_SIDED_DOWN,09AM,32,0.5514681578235863,0.5094024890858176,0.3597519526662129,0.41801253687315854,0.5094024890858176,0.6890690097211825,0.8500259055685861,0.2710564728480239,0.13210371300273702,0.0391828836172602
ONE_SIDED_DOWN,12PM,32,0.7718636952095107,0.8280953510436512,0.5092607029598338,0.648954295865633,0.8280953510436512,0.9375499600319612,1.0,0.2885956641663282,0.141181655235738,0.03348670065790833
ONE_SIDED_UP,06AM,32,0.41028080269868095,0.3567493540854585,0.21764522359232844,0.2674184632393706,0.3567493540854585,0.518191950518954,0.6238885480002219,0.2507734872795834,0.09895623676165408,0.03265641672079728
ONE_SIDED_UP,09AM,32,0.5895034748415031,0.5901570397808502,0.3324982104509691,0.44969099813434793,0.5901570397808502,0.6962430210918196,0.8375112389858032,0.24655202295747164,0.1208218487548402,0.03458948545038104
ONE_SIDED_UP,12PM,32,0.8034685052846047,0.8046774151907814,0.6174754359564533,0.7063114015823605,0.8046774151907814,0.9182793824537521,1.0,0.21196798087139157,0.11373188352453556,0.020515562057367008
OVER_COMPLETED,06AM,29,0.5957003994139286,0.5780089153045879,0.36641150177735365,0.41880341880342825,0.5780089153045879,0.7569573283858733,0.8452513227513371,0.338153909582445,0.1789484130812854,0.040204342974318484
OVER_COMPLETED,09AM,29,0.733840772772247,0.7696879643387616,0.4905768313999623,0.6183115338882272,0.7696879643387616,0.8456140350877217,0.935376044568242,0.22730250119949447,0.12852632137553233,0.02987796437197044
OVER_COMPLETED,12PM,29,0.8621420543582007,0.9340659340659353,0.619154553276271,0.766169154228851,0.9340659340659353,1.0,1.0,0.233830845771149,0.0659340659340647,0.025748619400908647
PARTIAL_LOOP,06AM,273,0.47452674085374486,0.46174496644294066,0.2572106154714806,0.3263274336283218,0.46174496644294066,0.5992115637319265,0.7188088197146595,0.27288413010360474,0.13608328635087136,0.03266455980084944
PARTIAL_LOOP,09AM,273,0.6382457038348034,0.6400966183574929,0.3413374177966916,0.48134777376655735,0.6400966183574929,0.7983870967741974,0.9437575049147394,0.31703932300764004,0.15874884459093552,0.0450275677235452
PARTIAL_LOOP,12PM,273,0.8343823195911106,0.8685344827586264,0.5944478128582565,0.7330016583748101,0.8685344827586264,1.0,1.0,0.26699834162518987,0.13146551724137356,0.028246196549858257
