component,t_pos,cutoff,delay_bars,max_abs_diff
volatility/close_to_close,1628,0.35,0,0.0
volatility/close_to_close,3023,0.65,0,0.0
volatility/close_to_close,3954,0.85,0,0.0
volatility/ewma,1628,0.35,0,0.0
volatility/ewma,3023,0.65,0,0.0
volatility/ewma,3954,0.85,0,0.0
volatility/parkinson,1628,0.35,0,0.0
volatility/parkinson,3023,0.65,0,0.0
volatility/parkinson,3954,0.85,0,0.0
volatility/garman_klass,1628,0.35,0,0.0
volatility/garman_klass,3023,0.65,0,0.0
volatility/garman_klass,3954,0.85,0,0.0
volatility/atr_normalized,1628,0.35,0,0.0
volatility/atr_normalized,3023,0.65,0,0.0
volatility/atr_normalized,3954,0.85,0,0.0
volatility/mad,1628,0.35,0,0.0
volatility/mad,3023,0.65,0,0.0
volatility/mad,3954,0.85,0,0.0
volatility/garch,1628,0.35,0,0.0
volatility/garch,3023,0.65,0,0.0
volatility/garch,3954,0.85,0,0.0
anchors/support_resistance,1628,0.35,0,0.0
anchors/support_resistance,3023,0.65,0,0.0
anchors/support_resistance,3954,0.85,0,0.0
anchors/resistance_levels,1628,0.35,0,0.0
anchors/resistance_levels,3023,0.65,0,0.0
anchors/resistance_levels,3954,0.85,0,0.0
anchors/trend_line,1628,0.35,0,0.0
anchors/trend_line,3023,0.65,0,0.0
anchors/trend_line,3954,0.85,0,0.0
anchors/volume_profile,1628,0.35,0,0.0
anchors/volume_profile,3023,0.65,0,0.0
anchors/volume_profile,3954,0.85,0,0.0
anchors/time_based,1628,0.35,0,0.0
anchors/time_based,3023,0.65,0,0.0
anchors/time_based,3954,0.85,0,0.0
anchors/volatility_based,1628,0.35,0,0.0
anchors/volatility_based,3023,0.65,0,0.0
anchors/volatility_based,3954,0.85,0,0.0
anchors/pivot_high,1628,0.35,5,0.0
anchors/pivot_high,3023,0.65,5,0.0
anchors/pivot_high,3954,0.85,5,0.0
anchors/pivot_low,1628,0.35,5,0.0
anchors/pivot_low,3023,0.65,5,0.0
anchors/pivot_low,3954,0.85,5,0.0
coordinates/morphic,1628,0.35,0,0.0
coordinates/morphic,3023,0.65,0,0.0
coordinates/morphic,3954,0.85,0,0.0
coordinates/frozen_sigma,1628,0.35,0,0.0
coordinates/frozen_sigma,3023,0.65,0,0.0
coordinates/frozen_sigma,3954,0.85,0,0.0
coordinates/live_sigma,1628,0.35,0,0.0
coordinates/live_sigma,3023,0.65,0,0.0
coordinates/live_sigma,3954,0.85,0,0.0
sigma_states/classification,1628,0.35,0,0.0
sigma_states/classification,3023,0.65,0,0.0
sigma_states/classification,3954,0.85,0,0.0
sigma_states/occupation,1628,0.35,0,0.0
sigma_states/occupation,3023,0.65,0,0.0
sigma_states/occupation,3954,0.85,0,0.0
acceptance/occupancy,1628,0.35,0,0.0
acceptance/occupancy,3023,0.65,0,0.0
acceptance/occupancy,3954,0.85,0,0.0
acceptance/classification,1628,0.35,0,0.0
acceptance/classification,3023,0.65,0,0.0
acceptance/classification,3954,0.85,0,0.0
regime/state_map,1628,0.35,0,0.0
regime/state_map,3023,0.65,0,0.0
regime/state_map,3954,0.85,0,0.0
rekey/RKEY_A,1628,0.35,0,0.0
rekey/RKEY_A,3023,0.65,0,0.0
rekey/RKEY_A,3954,0.85,0,0.0
rekey/RKEY_B,1628,0.35,0,0.0
rekey/RKEY_B,3023,0.65,0,0.0
rekey/RKEY_B,3954,0.85,0,0.0
rekey/RKEY_C,1628,0.35,0,0.0
rekey/RKEY_C,3023,0.65,0,0.0
rekey/RKEY_C,3954,0.85,0,0.0
signals/model_A_escape,1628,0.35,0,0.0
signals/model_A_escape,3023,0.65,0,0.0
signals/model_A_escape,3954,0.85,0,0.0
signals/model_B_breakout,1628,0.35,0,0.0
signals/model_B_breakout,3023,0.65,0,0.0
signals/model_B_breakout,3954,0.85,0,0.0
signals/model_C_recursive,1628,0.35,0,0.0
signals/model_C_recursive,3023,0.65,0,0.0
signals/model_C_recursive,3954,0.85,0,0.0
