feature,n_cont,n_noncont,cohen_d,cont_mean,noncont_mean
top500_breadth_30d,32847,67689,0.1986638178508414,0.48780856699241937,0.4331360486932884
mkt_vol_30d,32141,66104,-0.019958744214100866,0.05163413515030824,0.051992913353754173
volume_24h_usd,30713,64050,-0.028011199548166547,2994400.544131302,5582396.813050048
rank,32847,67689,0.02353697662762372,1254.023685572503,1244.3273353129755
rank_vel_7d,32847,67689,-0.10015910159618083,52.83027369318355,65.52609729793615
rank_neighbor_same_sign,32847,67689,0.04959141887076014,0.5555196561452415,0.5462887398397646
