participation,sign,rank_band,horizon,state,n_risk,n_transition,hazard
BAND_BROAD,DOWN,1001-1500,1D,1S_RECOVERY,3272,646,0.19743276283618583
BAND_BROAD,DOWN,1001-1500,1D,FULL_REVERSAL,3272,1802,0.5507334963325183
BAND_BROAD,DOWN,1001-1500,1D,NEW_EXTREME,3272,99,0.03025672371638142
BAND_BROAD,DOWN,1001-1500,1D,50P_GIVEBACK,3272,732,0.2237163814180929
BAND_BROAD,DOWN,1001-1500,2D,1S_RECOVERY,3272,667,0.20385085574572126
BAND_BROAD,DOWN,1001-1500,2D,FULL_REVERSAL,3272,1840,0.5623471882640587
BAND_BROAD,DOWN,1001-1500,2D,NEW_EXTREME,3272,183,0.05592909535452323
BAND_BROAD,DOWN,1001-1500,2D,50P_GIVEBACK,3272,944,0.2885085574572127
BAND_BROAD,DOWN,1001-1500,3D,1S_RECOVERY,3272,673,0.20568459657701713
BAND_BROAD,DOWN,1001-1500,3D,FULL_REVERSAL,3272,1815,0.5547066014669927
BAND_BROAD,DOWN,1001-1500,3D,NEW_EXTREME,3272,252,0.07701711491442542
BAND_BROAD,DOWN,1001-1500,3D,50P_GIVEBACK,3272,984,0.30073349633251834
BAND_BROAD,DOWN,1001-1500,5D,1S_RECOVERY,3272,640,0.19559902200489
BAND_BROAD,DOWN,1001-1500,5D,FULL_REVERSAL,3272,1872,0.5721271393643031
BAND_BROAD,DOWN,1001-1500,5D,NEW_EXTREME,3272,333,0.10177261613691932
BAND_BROAD,DOWN,1001-1500,5D,50P_GIVEBACK,3272,1151,0.3517726161369193
BAND_BROAD,DOWN,1001-1500,7D,1S_RECOVERY,3272,627,0.19162591687041564
BAND_BROAD,DOWN,1001-1500,7D,FULL_REVERSAL,3272,1850,0.565403422982885
BAND_BROAD,DOWN,1001-1500,7D,NEW_EXTREME,3272,421,0.12866748166259168
BAND_BROAD,DOWN,1001-1500,7D,50P_GIVEBACK,3272,1225,0.3743887530562347
BAND_BROAD,DOWN,1001-1500,10D,1S_RECOVERY,3272,678,0.20721271393643031
BAND_BROAD,DOWN,1001-1500,10D,FULL_REVERSAL,3272,1829,0.5589853300733496
BAND_BROAD,DOWN,1001-1500,10D,NEW_EXTREME,3272,519,0.15861858190709047
BAND_BROAD,DOWN,1001-1500,10D,50P_GIVEBACK,3272,1272,0.38875305623471884
BAND_BROAD,DOWN,1001-1500,14D,1S_RECOVERY,3272,663,0.20262836185819072
BAND_BROAD,DOWN,1001-1500,14D,FULL_REVERSAL,3272,1830,0.5592909535452323
BAND_BROAD,DOWN,1001-1500,14D,NEW_EXTREME,3272,624,0.19070904645476772
BAND_BROAD,DOWN,1001-1500,14D,50P_GIVEBACK,3272,1351,0.4128973105134474
BAND_BROAD,DOWN,1001-1500,21D,1S_RECOVERY,3272,668,0.2041564792176039
BAND_BROAD,DOWN,1001-1500,21D,FULL_REVERSAL,3272,1828,0.558679706601467
BAND_BROAD,DOWN,1001-1500,21D,NEW_EXTREME,3272,744,0.2273838630806846
BAND_BROAD,DOWN,1001-1500,21D,50P_GIVEBACK,3272,1397,0.4269559902200489
BAND_BROAD,DOWN,1001-1500,30D,1S_RECOVERY,3272,703,0.21485330073349634
BAND_BROAD,DOWN,1001-1500,30D,FULL_REVERSAL,3272,1840,0.5623471882640587
BAND_BROAD,DOWN,1001-1500,30D,NEW_EXTREME,3272,853,0.2606968215158924
BAND_BROAD,DOWN,1001-1500,30D,50P_GIVEBACK,3272,1485,0.45385085574572126
BAND_BROAD,DOWN,1501-2000,1D,1S_RECOVERY,4956,882,0.17796610169491525
BAND_BROAD,DOWN,1501-2000,1D,FULL_REVERSAL,4956,2773,0.5595238095238095
