historical_date,cmc_id,rank,rank_band,ret_1d,sigma_t0,ret_3d,ret_14d,fwd1_cum,fwd2_cum,fwd3_cum,fwd5_cum,fwd7_cum,fwd10_cum,fwd14_cum,fwd21_cum,fwd30_cum,listing_age_days,volume_24h_usd,mkt_vol_30d,btc_ret_1d,eth_ret_1d,top500_breadth_30d,momentum_state,rank_vel_7d,rank_vel_14d,rank_vel_30d,z1,event_sign,event_sign_label,is_2s,is_3s,is_4s,cluster_n,participation,event_family,amp_level,raw_amp_level,rank_neighbor_n,rank_neighbor_median_ret,rank_neighbor_p10_ret,rank_neighbor_p90_ret,rank_neighbor_same_sign,rank_neighbor_tail_share,rank_neighbor_std,rank_context_isolation,absolute_isolation,behavioral_isolation,correlation_isolation,state_isolation,corr_neighbor_status,behavior_neighbor_status,state_neighbor_status,signed_fwd1,rev1,giveback1,recover1s1,new_extreme1,signed_fwd2,rev2,giveback2,recover1s2,new_extreme2,signed_fwd3,rev3,giveback3,recover1s3,new_extreme3,signed_fwd5,rev5,giveback5,recover1s5,new_extreme5,signed_fwd7,rev7,giveback7,recover1s7,new_extreme7,signed_fwd10,rev10,giveback10,recover1s10,new_extreme10,signed_fwd14,rev14,giveback14,recover1s14,new_extreme14,signed_fwd21,rev21,giveback21,recover1s21,new_extreme21,signed_fwd30,rev30,giveback30,recover1s30,new_extreme30
2022-05-19 23:59:59,3,637,501-750,-0.14025419397851202,0.05198434408235848,-0.38332047650747264,-0.35989851413268326,-0.05317258788314794,0.027108706987101883,0.05615850415590673,0.10463217942837044,0.04037319976276299,0.12616721182374668,0.07574995058681244,0.16976046812496248,0.01818742115411398,3308,35970.81,0.08232451602801194,0.055503081136060395,0.05305076072993842,0.038,SHORT_COLD_MEDIUM_COLD,-59.0,-5.0,-16.0,2.6980083418251493,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,10pct,100,0.042235883753294456,-0.027005379183028873,0.15156633891963162,0.18,0.09,0.07941795950070929,2.2978439496154364,0.8200000000000001,2.2978439496154364,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,0.05317258788314794,False,0.0,True,False,-0.027108706987101883,True,0.19328268352000325,False,False,-0.05615850415590673,True,0.40040516837956824,False,False,-0.10463217942837044,True,0.7460181864108881,False,False,-0.04037319976276299,True,0.28785734399463636,False,False,-0.12616721182374668,True,0.8995610629873673,False,False,-0.07574995058681244,True,0.540090448906062,False,False,-0.16976046812496248,True,1.210377125342655,False,False,-0.01818742115411398,True,0.12967470446481213,False,False
2022-08-04 23:59:59,3,663,501-750,-0.07783100911704421,0.03831276321559883,-0.07890054796382247,-0.04232972962417235,-0.040747002540060695,-0.09033031068144304,0.08096529455596313,-0.0667809491399658,0.021012855603509628,0.02154671746943526,0.03742803303384834,-0.04167035141762332,-0.05370855388109774,3385,14230.27,0.04632046400385673,-0.009434716882671723,-0.006590208004106368,0.784,SHORT_COLD_MEDIUM_COLD,-20.0,-13.0,-50.0,2.0314642585047413,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,nan,100,-0.00410261913067439,-0.04910441485941155,0.03288314329631246,0.59,0.03,0.11184724152058761,0.6591882730709949,0.41000000000000003,0.6591882730709949,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,0.040747002540060695,False,0.0,True,False,0.09033031068144304,False,0.0,True,True,-0.08096529455596313,True,1.0402703944671396,False,False,0.0667809491399658,False,0.0,False,False,-0.021012855603509628,True,0.26998051087722597,False,False,-0.02154671746943526,True,0.27683975466684196,False,False,-0.03742803303384834,True,0.4808884461148786,False,False,0.04167035141762332,False,0.0,False,False,0.05370855388109774,False,0.0,False,False
2025-02-28 23:59:59,3,974,751-1000,-0.10377321257063754,0.02008324595684427,-0.14479394840483847,-0.12898659706135263,0.0256467802469329,0.14801890689539565,0.08690419530028981,0.10949753769044035,0.10007226963426152,0.09084836060945944,0.14092010631599727,0.10524080269348657,0.08031183217641003,4324,71541.15,0.056762743814060115,-0.003910244788065564,-0.029312344057371487,0.074,SHORT_COLD_MEDIUM_COLD,-25.0,-1.0,141.0,5.167153397096755,-1.0,DOWN,True,True,True,1,ISOLATED,ISOLATED_DOWN,4s+,10pct,99,-0.0033609950155303325,-0.05792980315982958,0.04816382746801158,0.52,0.01,0.04644368328859837,2.162020977728865,0.48,2.162020977728865,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.0256467802469329,True,0.24714258729800193,False,False,-0.14801890689539565,True,1.4263691296502983,False,False,-0.08690419530028981,True,0.8374434321490709,False,False,-0.10949753769044035,True,1.055161876345558,False,False,-0.10007226963426152,True,0.9643362401076596,False,False,-0.09084836060945944,True,0.875450979679556,False,False,-0.14092010631599727,True,1.357962260444372,False,False,-0.10524080269348657,True,1.0141422828347928,False,False,-0.08031183217641003,True,0.7739167959336563,False,False
2020-09-25 23:59:59,5,678,501-750,-0.15709977643148376,0.049206502325461844,-0.18558343056261706,-0.20276705987088875,0.09632838221145512,0.10584753897566346,0.14063686195116532,0.30473742611711163,0.2181984054111935,0.26683767400463,0.05483864760649981,0.12296161090699309,0.03894934410334061,2707,24720.10243051,0.07330600166997965,-0.006259166330655819,0.008093929853352222,0.136,SHORT_COLD_MEDIUM_COLD,269.0,263.0,237.0,3.1926629410152705,-1.0,DOWN,True,True,False,1,ISOLATED,ISOLATED_DOWN,3s,15pct,100,0.005481965427317603,-0.06057294759987923,0.08918481057724588,0.45,0.03,0.08733336485783517,1.8616223263766023,0.55,1.8616223263766023,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.09632838221145512,True,0.6131668955841386,False,False,-0.10584753897566346,True,0.6737599593073066,False,False,-0.14063686195116532,True,0.8952072698365777,False,False,-0.30473742611711163,True,1.939769954096767,False,False,-0.2181984054111935,True,1.3889160784793149,False,False,-0.26683767400463,True,1.698523575690806,False,False,-0.05483864760649981,True,0.34906890927637124,False,False,-0.12296161090699309,True,0.7826975550192498,False,False,-0.03894934410334061,True,0.2479274317766306,False,False
2024-11-30 23:59:59,5,1131,1001-1500,-0.09408985045482277,0.04246636749619796,0.021187798069634063,-0.02771683915105619,0.02004820182298772,0.006969483178963287,0.08128628739135557,0.03468193043328771,0.2741453982468367,0.25355707727102184,0.32310649737733055,0.13005543559776855,0.021716716387785606,4234,118467.62,0.0620482607352031,-0.010388385709951153,0.031226124770986408,0.856,SHORT_HOT_MEDIUM_COLD,-37.0,-80.0,-112.0,2.2156321814727074,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,nan,98,0.010785089787605062,-0.07023295962982264,0.09543113596742667,0.35,0.04,0.09683983135242051,1.082973181352236,0.65,1.082973181352236,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.02004820182298772,True,0.21307507373086818,False,False,-0.006969483178963287,True,0.07407263530841389,False,False,-0.08128628739135557,True,0.8639219533076543,False,False,-0.03468193043328771,True,0.36860437407050867,False,False,-0.2741453982468367,True,2.913655372196256,False,False,-0.25355707727102184,True,2.6948398370849493,False,False,-0.32310649737733055,True,3.4340207346005944,False,False,-0.13005543559776855,True,1.3822472346282946,False,False,-0.021716716387785606,True,0.23080827828728334,False,False
2022-06-25 23:59:59,41,800,751-1000,-0.41731724627395317,0.2014418142749072,0.07575938058368101,-0.13941299790356387,0.676447790942305,0.6625772493306812,0.4096636525456887,0.19761100806036325,0.1480295253881252,0.15773046792895684,-0.04740133296125748,-0.1524236620968793,-0.10087792572775811,3272,,0.06297621991255334,0.012749025299953809,0.013532415447195634,0.196,SHORT_HOT_MEDIUM_COLD,113.0,-17.0,75.0,2.0716515475006654,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,20pct+,99,0.0010083964722000793,-0.03967795839179573,0.05360007896595898,0.48,0.0,0.04549747922189683,9.194479559993487,0.52,9.194479559993487,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.676447790942305,True,1.6209437711525643,False,False,-0.6625772493306812,True,1.5877063678689283,False,False,-0.4096636525456887,True,0.981660010947067,False,False,-0.19761100806036325,True,0.4735270584303602,False,False,-0.1480295253881252,True,0.3547170089657626,False,False,-0.15773046792895684,True,0.3779629750202384,False,False,0.04740133296125748,False,0.0,False,False,0.1524236620968793,False,0.0,False,False,0.10087792572775811,False,0.0,False,False
2022-08-13 23:59:59,42,1283,1001-1500,-0.18265119392912976,0.08508489476239835,0.1053770484839035,0.24894264943633426,0.21609590364739617,0.08724339229328493,0.07673330795083544,-0.06457584540327588,-0.161866504928458,-0.0727355049227505,0.0005007341066196602,0.05482982212148002,0.2874409428908429,3320,775.22,0.04474917054064209,0.000870773406153269,0.012308189760314336,0.838,SHORT_HOT_MEDIUM_HOT,9.0,55.0,106.0,2.146693539895509,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,15pct,100,0.0006192494883057176,-0.05290188462676627,0.05577332892594678,0.44,0.01,0.060237131484704345,3.042482915391311,0.56,3.042482915391311,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.21609590364739617,True,1.1831069865945867,False,False,-0.08724339229328493,True,0.4776502710797287,False,False,-0.07673330795083544,True,0.42010843893310995,False,False,0.06457584540327588,False,0.0,False,False,0.161866504928458,False,0.0,False,False,0.0727355049227505,False,0.0,False,False,-0.0005007341066196602,True,0.0027414773254312774,False,False,-0.05482982212148002,True,0.30018868720209113,False,False,-0.2874409428908429,True,1.5737151053191167,False,False
2020-12-27 23:59:59,45,693,501-750,-0.3141174919811943,0.14906021774329728,-0.06532542961499313,-0.3100247524752476,0.08231902626521448,-0.03949216047642501,0.1365542100836613,0.04732702035101988,0.046234925478404576,0.30024619895767635,0.12769404995669786,-0.2305145582139959,-0.2642175389142546,1076,20364.83565744,0.06017551291014876,-0.006231520531878587,0.07361417203665899,0.478,SHORT_COLD_MEDIUM_COLD,-123.0,-122.0,-107.0,2.1073194225581298,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,20pct+,100,-0.004091641621316644,-0.0804578762760052,0.07581137488310359,0.53,0.01,0.10363682241101797,2.9914642609104765,0.47,2.9914642609104765,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.08231902626521448,True,0.262064445204926,False,False,0.03949216047642501,False,0.0,False,False,-0.1365542100836613,True,0.434723355335578,False,False,-0.04732702035101988,True,0.15066661857166894,False,False,-0.046234925478404576,True,0.14718991033193587,False,False,-0.30024619895767635,True,0.9558404311201223,False,False,-0.12769404995669786,True,0.40651683913337333,False,False,0.2305145582139959,False,0.0,False,False,0.2642175389142546,False,0.0,False,False
2021-04-24 23:59:59,66,504,501-750,-0.2219515713888497,0.08113432238922894,-0.17987009912041504,0.2386474572194827,-0.01648549807307642,0.10376360968341869,0.16144694878365318,0.2161161994749432,0.2795971645655113,0.2067328436341329,-0.3518185694939242,-0.18291684910899786,-0.9290741844175561,2698,1656624.75,0.08091543497294301,-0.020409238327064982,-0.06429229983787632,0.448,SHORT_COLD_MEDIUM_HOT,58.0,47.0,56.0,2.7356063975498865,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,20pct+,53,-0.028953325056297108,-0.11180633329895703,0.04846227836557413,0.6792452830188679,0.018867924528301886,0.08213196855282019,2.349855357552801,0.3207547169811321,2.349855357552801,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,0.01648549807307642,False,0.0,False,False,-0.10376360968341869,True,0.4675056321256193,False,False,-0.16144694878365318,True,0.7273971874738612,False,False,-0.2161161994749432,True,0.9737088055858674,False,False,-0.2795971645655113,True,1.259721491566595,False,False,-0.2067328436341329,True,0.9314322144263885,False,False,0.3518185694939242,False,0.0,True,True,0.18291684910899786,False,0.0,False,False,0.9290741844175561,False,0.0,True,True
2021-07-28 23:59:59,66,773,751-1000,-0.19447777123978238,0.08456039925573729,0.050877394120354504,0.023732714791428352,0.0018238336398090915,0.022292179829317638,0.2096459782290554,0.1305063361497527,0.11961442057003979,0.22457159535149107,0.32675622866143716,0.43987516671296945,0.4664804741004558,2793,649110.14,0.055210849813347285,0.014945729615592818,-0.0007779399324617797,0.58,SHORT_HOT_MEDIUM_HOT,-19.0,-21.0,-27.0,2.299868176492643,-1.0,DOWN,True,False,False,1,ISOLATED,ISOLATED_DOWN,2s,15pct,99,0.010320424227882707,-0.05122284879087808,0.12423158990123516,0.40404040404040403,0.06060606060606061,0.09984157645129473,2.0512315885308525,0.595959595959596,2.0512315885308525,,,NOT_AVAILABLE_LF2_CACHE,DEFERRED_TO_MECH7_OR_REBUILDER,DEFERRED_TO_MECH7_OR_REBUILDER,-0.0018238336398090915,True,0.009378108501461518,False,False,-0.022292179829317638,True,0.11462584997352926,False,False,-0.2096459782290554,True,1.0779945537866706,False,False,-0.1305063361497527,True,0.6710604266893014,False,False,-0.11961442057003979,True,0.6150544599904971,False,False,-0.22457159535149107,True,1.1547417163404468,False,False,-0.32675622866143716,True,1.6801726314446568,False,False,-0.43987516671296945,True,2.2618274772936546,False,False,-0.4664804741004558,True,2.39863132494102,False,False
