participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
MULTI_BAND,UP,1501-2000,2D,NEW_EXTREME,421,5666,0.07430285915990116,374
MULTI_BAND,UP,1501-2000,3D,STABILIZED,2527,5618,0.4498042007831969,1568
MULTI_BAND,UP,1501-2000,3D,1S_RECOVERY,1271,5618,0.2262370950516198,953
MULTI_BAND,UP,1501-2000,3D,25P_GIVEBACK,1861,5618,0.3312566749733001,1322
MULTI_BAND,UP,1501-2000,3D,50P_GIVEBACK,993,5618,0.17675329298682804,788
MULTI_BAND,UP,1501-2000,3D,FULL_REVERSAL,3091,5618,0.5501957992168032,1831
MULTI_BAND,UP,1501-2000,3D,NEW_EXTREME,570,5618,0.10145959416162335,484
MULTI_BAND,UP,1501-2000,5D,STABILIZED,2637,5606,0.4703888690688548,1608
MULTI_BAND,UP,1501-2000,5D,1S_RECOVERY,1336,5606,0.23831608990367464,989
MULTI_BAND,UP,1501-2000,5D,25P_GIVEBACK,1983,5606,0.3537281484124153,1392
MULTI_BAND,UP,1501-2000,5D,50P_GIVEBACK,1193,5606,0.21280770602925436,951
MULTI_BAND,UP,1501-2000,5D,FULL_REVERSAL,2969,5606,0.5296111309311452,1818
MULTI_BAND,UP,1501-2000,5D,NEW_EXTREME,805,5606,0.14359614698537282,639
MULTI_BAND,UP,1501-2000,7D,STABILIZED,2766,5652,0.4893842887473461,1672
MULTI_BAND,UP,1501-2000,7D,1S_RECOVERY,1455,5652,0.25743099787685775,1053
MULTI_BAND,UP,1501-2000,7D,25P_GIVEBACK,2034,5652,0.35987261146496813,1413
MULTI_BAND,UP,1501-2000,7D,50P_GIVEBACK,1366,5652,0.24168435951875442,1057
MULTI_BAND,UP,1501-2000,7D,FULL_REVERSAL,2886,5652,0.5106157112526539,1780
MULTI_BAND,UP,1501-2000,7D,NEW_EXTREME,998,5652,0.17657466383581033,769
MULTI_BAND,UP,1501-2000,10D,STABILIZED,2855,5663,0.5041497439519689,1677
MULTI_BAND,UP,1501-2000,10D,1S_RECOVERY,1548,5663,0.27335334628288893,1081
