participation,event_sign_label,n,assets,p_rev7,p_recover1s_3d,p_giveback50_7d,p_new_extreme_7d,med_signed_fwd7,p_1s_7d,rank_mix,breadth_med,isolation_med
BAND_BROAD,DOWN,9547,3548,0.579868021367969,0.19241646590552006,0.39143186341259034,0.12695087462029958,-0.0280627354678912,0.18497957473551901,1525.0,0.32,0.43
BAND_BROAD,UP,29580,4972,0.602028397565923,0.1694050033806626,0.29438810006761323,0.11315077755240027,-0.05258506212796015,0.18532792427315753,1206.0,0.376,0.53
ISOLATED,DOWN,307,252,0.5602605863192183,0.21498371335504887,0.36156351791530944,0.13680781758957655,-0.00989052984409285,0.20521172638436483,733.0,0.284,0.62
ISOLATED,UP,99,97,0.6565656565656566,0.1414141414141414,0.3333333333333333,0.09090909090909091,-0.0571859371308047,0.16161616161616163,715.0,0.148,0.8
LOCAL_CLUSTER,DOWN,3161,1740,0.5517241379310345,0.2031002847200253,0.3666561214805441,0.13571654539702627,-0.0093852748695551,0.20404935147105346,946.0,0.33,0.55
LOCAL_CLUSTER,UP,3388,1834,0.6387249114521841,0.15318772136953956,0.3382526564344746,0.09002361275088548,-0.06756846011635975,0.15879574970484062,797.0,0.198,0.7
MULTI_BAND,DOWN,9988,3277,0.5477573087705246,0.19903884661593912,0.28354024829795754,0.1145374449339207,-0.0128556603205344,0.1814177012414898,1298.0,0.112,0.14
MULTI_BAND,UP,17914,4373,0.5270179747683376,0.2160321536228648,0.24349670648654684,0.16177291503851737,-0.0119022616761331,0.24422239589148154,1310.0,0.67,0.35
