rank_vel_7d_state,n,assets,p_rev7,p_recover1s_3d,p_giveback50_7d,p_new_extreme_7d,med_signed_fwd7,p_1s_7d,velocity_feature,rank_vel_14d_state,rank_vel_30d_state
DETERIORATING,97,89,0.5360824742268041,0.17525773195876287,0.24742268041237114,0.13402061855670103,-0.0085433472254373,0.1958762886597938,rank_vel_7d,,
IMPROVING,208,175,0.5673076923076923,0.23557692307692307,0.40865384615384615,0.13942307692307693,-0.0130024929685887,0.21153846153846154,rank_vel_7d,,
,110,103,0.5636363636363636,0.15454545454545454,0.2909090909090909,0.11818181818181818,-0.00989052984409285,0.19090909090909092,rank_vel_14d,DETERIORATING,
,197,169,0.5583756345177665,0.24873096446700507,0.4010152284263959,0.14720812182741116,-0.0098496135837232,0.2131979695431472,rank_vel_14d,IMPROVING,
,119,108,0.5630252100840336,0.19327731092436976,0.31092436974789917,0.15126050420168066,-0.00632647179511185,0.21008403361344538,rank_vel_30d,,DETERIORATING
,187,164,0.5614973262032086,0.22459893048128343,0.39572192513368987,0.12299465240641712,-0.0160544624231118,0.19786096256684493,rank_vel_30d,,IMPROVING
