participation,sign,rank_band,horizon,n,p_1s,p_50giveback,p_full_reversal,p_new_extreme
BAND_BROAD,DOWN,1001-1500,1D,3272,0.19743276283618583,0.2237163814180929,0.5507334963325183,0.03025672371638142
BAND_BROAD,DOWN,1001-1500,2D,3272,0.20385085574572126,0.2885085574572127,0.5623471882640587,0.05592909535452323
BAND_BROAD,DOWN,1001-1500,3D,3272,0.20568459657701713,0.30073349633251834,0.5547066014669927,0.07701711491442542
BAND_BROAD,DOWN,1001-1500,5D,3272,0.19559902200489,0.3517726161369193,0.5721271393643031,0.10177261613691932
BAND_BROAD,DOWN,1001-1500,7D,3272,0.19162591687041564,0.3743887530562347,0.565403422982885,0.12866748166259168
BAND_BROAD,DOWN,1001-1500,10D,3272,0.20721271393643031,0.38875305623471884,0.5589853300733496,0.15861858190709047
BAND_BROAD,DOWN,1001-1500,14D,3272,0.20262836185819072,0.4128973105134474,0.5592909535452323,0.19070904645476772
BAND_BROAD,DOWN,1001-1500,21D,3272,0.2041564792176039,0.4269559902200489,0.558679706601467,0.2273838630806846
BAND_BROAD,DOWN,1001-1500,30D,3272,0.21485330073349634,0.45385085574572126,0.5623471882640587,0.2606968215158924
BAND_BROAD,DOWN,1501-2000,1D,4956,0.17796610169491525,0.24495560936238903,0.5595238095238095,0.026432606941081516
BAND_BROAD,DOWN,1501-2000,2D,4956,0.17070217917675545,0.30347054075867635,0.5879741727199355,0.05306698950766747
BAND_BROAD,DOWN,1501-2000,3D,4956,0.17171105730427763,0.33918482647296205,0.597457627118644,0.06880548829701372
BAND_BROAD,DOWN,1501-2000,5D,4956,0.16444713478611783,0.3894269572235674,0.6077481840193705,0.08757062146892655
BAND_BROAD,DOWN,1501-2000,7D,4956,0.16807909604519775,0.4225181598062954,0.6095641646489104,0.11541565778853914
BAND_BROAD,DOWN,1501-2000,10D,4956,0.17453591606133978,0.45217917675544794,0.6152138821630347,0.13922518159806296
BAND_BROAD,DOWN,1501-2000,14D,4956,0.17433414043583534,0.48284907183212267,0.620863599677159,0.15980629539951574
BAND_BROAD,DOWN,1501-2000,21D,4956,0.1761501210653753,0.5141242937853108,0.6188458434221146,0.18664245359160614
BAND_BROAD,DOWN,1501-2000,30D,4956,0.1797820823244552,0.5401533494753834,0.6313559322033898,0.21045197740112995
BAND_BROAD,DOWN,501-750,1D,479,0.25260960334029225,0.16075156576200417,0.5198329853862212,0.025052192066805846
BAND_BROAD,DOWN,501-750,2D,479,0.2567849686847599,0.2150313152400835,0.5010438413361169,0.06889352818371608
BAND_BROAD,DOWN,501-750,3D,479,0.2546972860125261,0.24634655532359082,0.49478079331941544,0.10647181628392484
BAND_BROAD,DOWN,501-750,5D,479,0.2588726513569937,0.27139874739039666,0.4968684759916493,0.12526096033402923
BAND_BROAD,DOWN,501-750,7D,479,0.24843423799582465,0.2797494780793319,0.46555323590814196,0.17118997912317327
BAND_BROAD,DOWN,501-750,10D,479,0.24425887265135698,0.31524008350730687,0.48851774530271397,0.19832985386221294
BAND_BROAD,DOWN,501-750,14D,479,0.24008350730688935,0.3298538622129436,0.4759916492693111,0.23173277661795408
BAND_BROAD,DOWN,501-750,21D,479,0.2359081419624217,0.34029227557411273,0.4697286012526096,0.2651356993736952
BAND_BROAD,DOWN,501-750,30D,479,0.25052192066805845,0.3465553235908142,0.4509394572025052,0.3048016701461378
BAND_BROAD,DOWN,751-1000,1D,840,0.24285714285714285,0.2119047619047619,0.5369047619047619,0.034523809523809526
BAND_BROAD,DOWN,751-1000,2D,840,0.23333333333333334,0.25476190476190474,0.5261904761904762,0.055952380952380955
BAND_BROAD,DOWN,751-1000,3D,840,0.22738095238095238,0.2773809523809524,0.5345238095238095,0.08928571428571429
BAND_BROAD,DOWN,751-1000,5D,840,0.2130952380952381,0.3273809523809524,0.544047619047619,0.12976190476190477
BAND_BROAD,DOWN,751-1000,7D,840,0.2226190476190476,0.3380952380952381,0.5261904761904762,0.1630952380952381
BAND_BROAD,DOWN,751-1000,10D,840,0.22738095238095238,0.3619047619047619,0.5154761904761904,0.19047619047619047
BAND_BROAD,DOWN,751-1000,14D,840,0.21904761904761905,0.37976190476190474,0.5273809523809524,0.21666666666666667
BAND_BROAD,DOWN,751-1000,21D,840,0.22738095238095238,0.4119047619047619,0.5202380952380953,0.2630952380952381
BAND_BROAD,DOWN,751-1000,30D,840,0.2488095238095238,0.3976190476190476,0.5154761904761904,0.2916666666666667
BAND_BROAD,UP,1001-1500,1D,8970,0.14894091415830546,0.17090301003344482,0.6732441471571906,0.036231884057971016
BAND_BROAD,UP,1001-1500,2D,8970,0.15707915273132664,0.22207357859531773,0.6612040133779264,0.05507246376811594
BAND_BROAD,UP,1001-1500,3D,8970,0.1668896321070234,0.2522853957636566,0.6508361204013378,0.06800445930880714
BAND_BROAD,UP,1001-1500,5D,8970,0.18249721293199553,0.2807134894091416,0.6293199554069119,0.09453734671125975
BAND_BROAD,UP,1001-1500,7D,8970,0.1827201783723523,0.30144927536231886,0.6132664437012263,0.1109253065774805
BAND_BROAD,UP,1001-1500,10D,8970,0.1959866220735786,0.32051282051282054,0.5965440356744705,0.13712374581939799
BAND_BROAD,UP,1001-1500,14D,8970,0.2081382385730212,0.3374581939799331,0.5739130434782609,0.1730211817168339
BAND_BROAD,UP,1001-1500,21D,8970,0.22240802675585283,0.3552954292084727,0.5544035674470457,0.21003344481605352
BAND_BROAD,UP,1001-1500,30D,8970,0.23801560758082496,0.36989966555183945,0.5321070234113713,0.24894091415830547
BAND_BROAD,UP,1501-2000,1D,9399,0.1419299925523992,0.16427279497818917,0.6559208426428343,0.035110118097669965
BAND_BROAD,UP,1501-2000,2D,9399,0.1524630279817002,0.21725715501649112,0.6427279497818917,0.05521864028088094
BAND_BROAD,UP,1501-2000,3D,9399,0.16554952654537716,0.24385572933290775,0.6286839025428237,0.0671348015746356
BAND_BROAD,UP,1501-2000,5D,9399,0.18299819129694647,0.2666241089477604,0.6037876369826577,0.09437174167464624
BAND_BROAD,UP,1501-2000,7D,9399,0.1883179061602298,0.28769017980636236,0.5830407490158528,0.11660814980317055
BAND_BROAD,UP,1501-2000,10D,9399,0.2033195020746888,0.2924779231833174,0.5575061176720928,0.1507607192254495
BAND_BROAD,UP,1501-2000,14D,9399,0.22481115012235345,0.298967975316523,0.5311203319502075,0.18938184913288647
BAND_BROAD,UP,1501-2000,21D,9399,0.24268539206298542,0.31886370890520266,0.49973401425683583,0.2351313969571231
BAND_BROAD,UP,1501-2000,30D,9399,0.26683689754229173,0.32471539525481435,0.4740929886158102,0.286839025428237
BAND_BROAD,UP,501-750,1D,5395,0.1675625579240037,0.13308619091751622,0.6569045412418907,0.03262279888785913
BAND_BROAD,UP,501-750,2D,5395,0.16404077849860982,0.2133456904541242,0.6546802594995366,0.05023169601482855
BAND_BROAD,UP,501-750,3D,5395,0.1632993512511585,0.24151992585727525,0.6448563484708063,0.06153846153846154
BAND_BROAD,UP,501-750,5D,5395,0.1684893419833179,0.27822057460611677,0.6326227988878591,0.08507877664504171
BAND_BROAD,UP,501-750,7D,5395,0.17071362372567192,0.2958294717330862,0.6266913809082484,0.0989805375347544
BAND_BROAD,UP,501-750,10D,5395,0.1696014828544949,0.33531047265987024,0.6194624652455978,0.11584800741427248
BAND_BROAD,UP,501-750,14D,5395,0.17182576459684892,0.3553290083410565,0.6107506950880445,0.13938832252085265
BAND_BROAD,UP,501-750,21D,5395,0.17738646895273402,0.3959221501390176,0.6057460611677479,0.1690454124189064
BAND_BROAD,UP,501-750,30D,5395,0.17701575532900835,0.42391102873030584,0.6037071362372567,0.18646895273401298
BAND_BROAD,UP,751-1000,1D,5816,0.17279917469050893,0.14563273727647869,0.6538858321870702,0.03937414030261348
BAND_BROAD,UP,751-1000,2D,5816,0.1815680880330124,0.21028198074277854,0.6353163686382394,0.05863136176066025
BAND_BROAD,UP,751-1000,3D,5816,0.18517881705639616,0.24174690508940852,0.6219050894085282,0.07565337001375516
BAND_BROAD,UP,751-1000,5D,5816,0.1920563961485557,0.2714924346629986,0.6029917469050894,0.10247592847317744
BAND_BROAD,UP,751-1000,7D,5816,0.19807427785419532,0.29298486932599727,0.592503438789546,0.12414030261348005
