surface,cell,n_days,n_assets,median_membership_turnover,p_state_change_daily,p_decoupling,p_contagion,p_rejoin,rel_state_entropy,median_abs_ret,median_sigma,median_forcing
CELL16,HH_HA_HE,67298,1392,1.0,0.0007,0.2936,0.2523,0.119,1.65,0.0207,0.0514,0.2397
CELL16,HH_HA_LE,89962,1387,1.0,0.0009,0.2988,0.2592,0.1102,1.6602,0.0265,0.056,0.7681
CELL16,HH_LA_HE,85180,1395,1.0,0.0007,0.293,0.2525,0.1181,1.639,0.0207,0.0514,0.0092
CELL16,HH_LA_LE,107217,1393,1.0,0.0009,0.2976,0.259,0.1101,1.6583,0.0268,0.0566,0.5682
CELL16,HL_HA_HE,49229,1329,1.0,0.0009,0.2997,0.2481,0.126,1.6658,0.0191,0.0486,0.0967
CELL16,HL_HA_LE,44428,1348,1.0,0.0008,0.2981,0.2476,0.1233,1.6471,0.0201,0.0492,0.072
CELL16,HL_LA_HE,67686,1332,1.0,0.001,0.2962,0.2494,0.1259,1.6604,0.0179,0.048,-0.2088
CELL16,HL_LA_LE,55180,1323,1.0,0.0008,0.2954,0.2476,0.1239,1.6623,0.018,0.0483,-0.1633
CELL16,LH_HA_HE,29033,1352,1.0,0.0011,0.2965,0.2534,0.1254,1.6913,0.0224,0.0567,-0.4979
CELL16,LH_HA_LE,20832,1355,1.0,0.0012,0.2984,0.2576,0.1265,1.7197,0.0211,0.0547,-0.4117
CELL16,LH_LA_HE,41959,1378,1.0,0.001,0.2982,0.2524,0.1265,1.6941,0.023,0.0563,-0.5629
CELL16,LH_LA_LE,46873,1359,1.0,0.001,0.2936,0.2615,0.1274,1.7326,0.0286,0.0556,-0.6922
CELL16,LL_HA_HE,74739,1380,1.0,0.0009,0.2962,0.2491,0.1258,1.6582,0.0195,0.0531,-0.6737
CELL16,LL_HA_LE,99882,1380,1.0,0.001,0.2858,0.2515,0.1255,1.6422,0.0223,0.0554,-0.8471
CELL16,LL_LA_HE,124858,1384,1.0,0.0009,0.2954,0.2492,0.1254,1.6519,0.021,0.0529,-0.7715
CELL16,LL_LA_LE,173322,1376,1.0,0.001,0.2873,0.252,0.1265,1.6514,0.0233,0.0541,-0.9743
CELL6,M6_A,197179,1399,1.0,0.0009,0.2982,0.2591,0.1102,1.6592,0.0266,0.0563,0.6856
CELL6,M6_B,152478,1397,1.0,0.0007,0.2933,0.2524,0.1185,1.6439,0.0207,0.0514,0.1285
CELL6,M6_C,273204,1386,1.0,0.001,0.2868,0.2518,0.1261,1.648,0.0229,0.0546,-0.9153
CELL6,M6_D,93657,1352,1.0,0.0008,0.2989,0.2479,0.1247,1.657,0.0196,0.0489,0.0825
CELL6,M6_E,322463,1387,1.0,0.0009,0.2958,0.2489,0.1253,1.657,0.0194,0.0511,-0.5339
CELL6,M6_F,138697,1400,1.0,0.001,0.2963,0.2565,0.1266,1.7106,0.0242,0.0559,-0.5629
CELL8,M8_A,197179,1399,1.0,0.0009,0.2982,0.2591,0.1102,1.6592,0.0266,0.0563,0.6856
CELL8,M8_B,122866,1335,1.0,0.0009,0.2958,0.2486,0.125,1.6613,0.0179,0.0482,-0.2053
CELL8,M8_C,152478,1397,1.0,0.0007,0.2933,0.2524,0.1185,1.6439,0.0207,0.0514,0.1285
CELL8,M8_D,199597,1385,1.0,0.0009,0.2957,0.2491,0.1255,1.6543,0.0204,0.0529,-0.7504
CELL8,M8_E,91824,1387,1.0,0.001,0.2977,0.2539,0.1262,1.6991,0.0224,0.0561,-0.4804
CELL8,M8_F,273204,1386,1.0,0.001,0.2868,0.2518,0.1261,1.648,0.0229,0.0546,-0.9153
CELL8,M8_G,93657,1352,1.0,0.0008,0.2989,0.2479,0.1247,1.657,0.0196,0.0489,0.0825
CELL8,M8_H,46873,1359,1.0,0.001,0.2936,0.2615,0.1274,1.7326,0.0286,0.0556,-0.6922
CELL4,HH,349657,1409,1.0,0.0008,0.296,0.2562,0.1138,1.653,0.0238,0.0541,0.4355
CELL4,HL,216523,1358,1.0,0.0009,0.2972,0.2483,0.1249,1.6594,0.0186,0.0485,-0.0942
CELL4,LH,138697,1400,1.0,0.001,0.2963,0.2565,0.1266,1.7106,0.0242,0.0559,-0.5629
CELL4,LL,472801,1401,1.0,0.001,0.2905,0.2507,0.1259,1.6509,0.0218,0.0539,-0.8441
