group,level,metric,n_up,n_down,upside_rate,downside_rate,down_up_ratio,direction
ABS_CLASS,10-20%,rejoin_30d,452,828,0.1748,0.1232,0.7048,UPSIDE_STRONGER
ABS_CLASS,10-20%,decoupling_30d,452,828,0.5155,0.1292,0.2507,UPSIDE_STRONGER
ABS_CLASS,2-5%,contagion_7d,35,185,0.1714,0.2919,1.7027,DOWNSIDE_STRONGER
ABS_CLASS,2-5%,rejoin_30d,35,185,0.2286,0.1243,0.5439,UPSIDE_STRONGER
ABS_CLASS,2-5%,decoupling_30d,35,185,0.2286,0.2595,1.1351,DOWNSIDE_STRONGER
ABS_CLASS,5-10%,contagion_7d,142,459,0.1268,0.3007,2.3718,DOWNSIDE_STRONGER
ABS_CLASS,5-10%,rejoin_30d,142,459,0.2254,0.1198,0.5317,UPSIDE_STRONGER
ABS_CLASS,5-10%,decoupling_30d,142,459,0.3662,0.1612,0.4403,UPSIDE_STRONGER
ABS_CLASS,<2%,contagion_7d,129,375,0.3721,0.3867,1.0392,DOWNSIDE_STRONGER
ABS_CLASS,<2%,rejoin_30d,129,375,0.1938,0.1493,0.7706,UPSIDE_STRONGER
ABS_CLASS,<2%,decoupling_30d,129,375,0.3488,0.32,0.9173,UPSIDE_STRONGER
ABS_CLASS,>20%,contagion_7d,427,615,0.0749,0.3772,5.0337,DOWNSIDE_STRONGER
ABS_CLASS,>20%,rejoin_30d,427,615,0.1874,0.078,0.4166,UPSIDE_STRONGER
ABS_CLASS,>20%,decoupling_30d,427,615,0.63,0.0992,0.1574,UPSIDE_STRONGER
SIGMA_CLASS,2-3σ,contagion_7d,670,1762,0.1463,0.3354,2.2931,DOWNSIDE_STRONGER
SIGMA_CLASS,2-3σ,rejoin_30d,670,1762,0.1806,0.1198,0.6631,UPSIDE_STRONGER
SIGMA_CLASS,2-3σ,decoupling_30d,670,1762,0.4881,0.172,0.3523,UPSIDE_STRONGER
SIGMA_CLASS,3-4σ,contagion_7d,238,387,0.1555,0.3592,2.3104,DOWNSIDE_STRONGER
SIGMA_CLASS,3-4σ,rejoin_30d,238,387,0.2059,0.1189,0.5773,UPSIDE_STRONGER
SIGMA_CLASS,3-4σ,decoupling_30d,238,387,0.5336,0.1576,0.2954,UPSIDE_STRONGER
SIGMA_CLASS,4σ+,contagion_7d,277,313,0.1227,0.3898,3.1755,DOWNSIDE_STRONGER
SIGMA_CLASS,4σ+,rejoin_30d,277,313,0.1949,0.0863,0.4425,UPSIDE_STRONGER
SIGMA_CLASS,4σ+,decoupling_30d,277,313,0.5523,0.147,0.2661,UPSIDE_STRONGER
RELATIONAL_STATE,DECOUPLED,contagion_7d,539,841,0.1224,0.3448,2.8161,DOWNSIDE_STRONGER
RELATIONAL_STATE,DECOUPLED,rejoin_30d,539,841,0.1892,0.1023,0.5404,UPSIDE_STRONGER
RELATIONAL_STATE,DECOUPLED,decoupling_30d,539,841,0.5121,0.1474,0.2879,UPSIDE_STRONGER
RELATIONAL_STATE,LOCALLY_CONFORMING,contagion_7d,87,227,0.3448,0.3744,1.0859,DOWNSIDE_STRONGER
RELATIONAL_STATE,LOCALLY_CONFORMING,rejoin_30d,87,227,0.1609,0.163,1.0129,DOWNSIDE_STRONGER
RELATIONAL_STATE,LOCALLY_CONFORMING,decoupling_30d,87,227,0.3678,0.2863,0.7785,UPSIDE_STRONGER
RELATIONAL_STATE,REHABILITATING,contagion_7d,21,73,0.2857,0.4247,1.4863,DOWNSIDE_STRONGER
RELATIONAL_STATE,REHABILITATING,rejoin_30d,21,73,0.2381,0.1233,0.5178,UPSIDE_STRONGER
RELATIONAL_STATE,REHABILITATING,decoupling_30d,21,73,0.2381,0.3288,1.3808,DOWNSIDE_STRONGER
RELATIONAL_STATE,REORGANIZING,contagion_7d,456,1100,0.1206,0.3409,2.8264,DOWNSIDE_STRONGER
RELATIONAL_STATE,REORGANIZING,rejoin_30d,456,1100,0.1776,0.1145,0.6448,UPSIDE_STRONGER
RELATIONAL_STATE,REORGANIZING,decoupling_30d,456,1100,0.568,0.1336,0.2353,UPSIDE_STRONGER
RELATIONAL_STATE,TRUE_ISOLATED,contagion_7d,42,83,0.1429,0.2771,1.9398,DOWNSIDE_STRONGER
RELATIONAL_STATE,TRUE_ISOLATED,rejoin_30d,42,83,0.2857,0.1807,0.6325,UPSIDE_STRONGER
RELATIONAL_STATE,TRUE_ISOLATED,decoupling_30d,42,83,0.4524,0.2289,0.506,UPSIDE_STRONGER
