horizon_d,from_state,to_state,n,p_transition,class,from_total
1,CONTAGIOUS,PEER_STRESSED,1,1.0,NEAR_ZERO,1
1,DECOUPLED,CONTAGIOUS,2,0.0179,LOCAL,112
1,DECOUPLED,DECOUPLED,99,0.8839,COMMON,112
1,DECOUPLED,PEER_STRESSED,1,0.0089,NEAR_ZERO,112
1,DECOUPLED,REHABILITATING,3,0.0268,LOCAL,112
1,DECOUPLED,REJOINING,1,0.0089,NEAR_ZERO,112
1,DECOUPLED,REORGANIZING,6,0.0536,LOCAL,112
1,DISLOCATED_UNCLASSIFIED,DECOUPLED,1,1.0,NEAR_ZERO,1
1,FALSE_ISOLATED,DECOUPLED,4,0.6667,RARE,6
1,FALSE_ISOLATED,REHABILITATING,2,0.3333,RARE,6
1,LOCALLY_CONFORMING,FALSE_ISOLATED,2,0.0417,LOCAL,48
1,LOCALLY_CONFORMING,LOCALLY_CONFORMING,43,0.8958,LOCAL,48
1,LOCALLY_CONFORMING,PEER_STRESSED,1,0.0208,LOCAL,48
1,LOCALLY_CONFORMING,TRUE_ISOLATED,2,0.0417,LOCAL,48
1,PEER_STRESSED,CONTAGIOUS,1,0.25,NEAR_ZERO,4
1,PEER_STRESSED,LOCALLY_CONFORMING,3,0.75,RARE,4
1,REHABILITATING,FALSE_ISOLATED,2,0.3333,RARE,6
1,REHABILITATING,LOCALLY_CONFORMING,3,0.5,RARE,6
1,REHABILITATING,TRUE_ISOLATED,1,0.1667,NEAR_ZERO,6
1,REORGANIZING,CONTAGIOUS,4,0.0597,LOCAL,67
1,REORGANIZING,DECOUPLED,49,0.7313,COMMON,67
1,REORGANIZING,LOCALLY_CONFORMING,4,0.0597,LOCAL,67
1,REORGANIZING,PEER_STRESSED,3,0.0448,LOCAL,67
1,REORGANIZING,REHABILITATING,1,0.0149,LOCAL,67
1,REORGANIZING,REORGANIZING,3,0.0448,LOCAL,67
1,REORGANIZING,TRUE_ISOLATED,3,0.0448,LOCAL,67
1,TRUE_ISOLATED,DECOUPLED,11,0.7857,RARE,14
1,TRUE_ISOLATED,PEER_STRESSED,2,0.1429,RARE,14
1,TRUE_ISOLATED,REHABILITATING,1,0.0714,NEAR_ZERO,14
3,CONTAGIOUS,PEER_STRESSED,1,1.0,NEAR_ZERO,1
3,DECOUPLED,CONTAGIOUS,2,0.0139,LOCAL,144
3,DECOUPLED,DECOUPLED,127,0.8819,COMMON,144
3,DECOUPLED,PEER_STRESSED,1,0.0069,NEAR_ZERO,144
3,DECOUPLED,REHABILITATING,4,0.0278,LOCAL,144
3,DECOUPLED,REJOINING,2,0.0139,LOCAL,144
3,DECOUPLED,REORGANIZING,8,0.0556,LOCAL,144
3,DISLOCATED_UNCLASSIFIED,DECOUPLED,1,1.0,NEAR_ZERO,1
3,FALSE_ISOLATED,DECOUPLED,4,0.5714,RARE,7
3,FALSE_ISOLATED,REHABILITATING,3,0.4286,RARE,7
3,LOCALLY_CONFORMING,FALSE_ISOLATED,3,0.0484,LOCAL,62
3,LOCALLY_CONFORMING,LOCALLY_CONFORMING,52,0.8387,COMMON,62
3,LOCALLY_CONFORMING,PEER_STRESSED,2,0.0323,LOCAL,62
3,LOCALLY_CONFORMING,TRUE_ISOLATED,5,0.0806,LOCAL,62
3,PEER_STRESSED,CONTAGIOUS,2,0.4,RARE,5
3,PEER_STRESSED,LOCALLY_CONFORMING,3,0.6,RARE,5
3,REHABILITATING,FALSE_ISOLATED,2,0.25,RARE,8
3,REHABILITATING,LOCALLY_CONFORMING,4,0.5,RARE,8
3,REHABILITATING,TRUE_ISOLATED,2,0.25,RARE,8
3,REORGANIZING,CONTAGIOUS,5,0.0581,LOCAL,86
3,REORGANIZING,DECOUPLED,61,0.7093,COMMON,86
3,REORGANIZING,LOCALLY_CONFORMING,6,0.0698,LOCAL,86
3,REORGANIZING,PEER_STRESSED,4,0.0465,LOCAL,86
3,REORGANIZING,REHABILITATING,1,0.0116,LOCAL,86
3,REORGANIZING,REJOINING,1,0.0116,LOCAL,86
3,REORGANIZING,REORGANIZING,4,0.0465,LOCAL,86
3,REORGANIZING,TRUE_ISOLATED,4,0.0465,LOCAL,86
3,TRUE_ISOLATED,DECOUPLED,12,0.8,RARE,15
3,TRUE_ISOLATED,PEER_STRESSED,2,0.1333,RARE,15
3,TRUE_ISOLATED,REHABILITATING,1,0.0667,NEAR_ZERO,15
7,CONTAGIOUS,CONTAGIOUS,1,0.25,NEAR_ZERO,4
7,CONTAGIOUS,DECOUPLED,2,0.5,RARE,4
7,CONTAGIOUS,TRUE_ISOLATED,1,0.25,NEAR_ZERO,4
7,DECOUPLED,DECOUPLED,100,0.9174,COMMON,109
7,DECOUPLED,REHABILITATING,2,0.0183,LOCAL,109
7,DECOUPLED,REJOINING,2,0.0183,LOCAL,109
7,DECOUPLED,REORGANIZING,4,0.0367,LOCAL,109
7,DECOUPLED,TRUE_ISOLATED,1,0.0092,NEAR_ZERO,109
7,FALSE_ISOLATED,REHABILITATING,3,1.0,RARE,3
7,LOCALLY_CONFORMING,FALSE_ISOLATED,3,0.0625,LOCAL,48
7,LOCALLY_CONFORMING,LOCALLY_CONFORMING,36,0.75,LOCAL,48
7,LOCALLY_CONFORMING,PEER_STRESSED,2,0.0417,LOCAL,48
7,LOCALLY_CONFORMING,TRUE_ISOLATED,7,0.1458,LOCAL,48
7,PEER_STRESSED,CONTAGIOUS,2,0.6667,RARE,3
7,PEER_STRESSED,LOCALLY_CONFORMING,1,0.3333,NEAR_ZERO,3
