condition,level,n,p_rejoin_30d,p_rehabilitate,p_decoupling_30d,p_contagion_7d,p_isolated_30d,median_membership_turnover,median_abs_shock
OVERALL,ALL,1185,0.189,0.157,0.5122,0.1426,0.5097,0.8889,0.1577
RANK_DEPTH,DEEP,81,0.2222,0.0741,0.5926,0.0741,0.2469,1.0,0.269
RANK_DEPTH,MID,217,0.1982,0.129,0.5622,0.1152,0.424,1.0,0.1954
RANK_DEPTH,SHALLOW,887,0.1838,0.1714,0.4927,0.1556,0.5547,0.8235,0.1454
FIELD_CELL6,M6_A,123,0.2033,0.2195,0.439,0.1057,0.5528,0.8889,0.1967
FIELD_CELL6,M6_B,123,0.2195,0.122,0.5528,0.1382,0.561,0.9474,0.1609
FIELD_CELL6,M6_C,330,0.1848,0.1394,0.503,0.1879,0.5394,0.8889,0.1426
FIELD_CELL6,M6_D,53,0.1509,0.1509,0.5472,0.0943,0.6038,0.8235,0.142
FIELD_CELL6,M6_E,360,0.1722,0.1778,0.525,0.1111,0.475,0.9474,0.1465
FIELD_CELL6,M6_F,196,0.2092,0.1327,0.5153,0.1633,0.4388,0.9474,0.1892
ABS_CLASS,10-20%,452,0.1748,0.1637,0.5155,0.1438,0.6416,0.8889,0.1443
ABS_CLASS,2-5%,35,0.2286,0.4,0.2286,0.1714,0.4286,0.6667,0.0377
ABS_CLASS,5-10%,142,0.2254,0.169,0.3662,0.1268,0.7042,0.75,0.0788
ABS_CLASS,<2%,129,0.1938,0.1705,0.3488,0.3721,0.1705,0.5714,0.0045
ABS_CLASS,>20%,427,0.1874,0.1218,0.63,0.0749,0.4145,1.0,0.3351
