abs_class,n,decouple_spearman_within_abs,decouple_spearman_p,p_decouple_sigma_lt2,p_decouple_sigma_4plus,p_state_change_sigma_lt2,p_state_change_sigma_4plus
<2%,556133,,,0.291,0.3178,0.0003,0.0
2-5%,330761,-0.0375,0.0,0.3064,0.3967,0.0003,0.0
5-10%,180608,,,0.2983,0.3805,0.001,0.0
10-20%,74794,,,0.2705,0.3333,0.0048,0.0
>20%,35382,,,0.2577,0.0963,0.0074,0.0
