horizon_d,condition,n,p_rejoin,p_contagion,p_decoupling,p_normalized,p_isolated,p_other
1,OVERALL,2923,0.0154,0.0161,0.4345,0.0021,0.0325,0.4995
1,STATE_CONTAGIOUS,47,0.0,0.9362,0.0,0.0,0.0,0.0638
1,STATE_DECOUPLED,1278,0.0016,0.0008,0.9757,0.0,0.0,0.0219
1,STATE_PEER_STRESSED,43,0.0,0.0,0.0,0.0,0.0,1.0
1,STATE_REORGANIZING,1407,0.0,0.0014,0.0142,0.0007,0.0,0.9837
1,STATE_TRUE_ISOLATED,97,0.0,0.0,0.0206,0.0,0.9588,0.0206
1,CELL6_M6_A,555,0.018,0.0216,0.391,0.0054,0.0144,0.5495
1,CELL6_M6_B,349,0.0057,0.0086,0.404,0.0,0.0458,0.5358
1,CELL6_M6_C,679,0.0088,0.0147,0.4448,0.0029,0.0383,0.4904
1,CELL6_M6_D,184,0.0054,0.0109,0.4674,0.0,0.038,0.4783
1,CELL6_M6_E,730,0.0274,0.0151,0.4699,0.0,0.0288,0.4589
1,CELL6_M6_F,426,0.0141,0.0211,0.4249,0.0023,0.0399,0.4977
1,ABS_10-20%,1280,0.0078,0.0133,0.4719,0.0008,0.0406,0.4656
1,ABS_5-10%,601,0.0566,0.02,0.4626,0.005,0.0433,0.4126
1,ABS_>20%,1042,0.001,0.0173,0.3724,0.0019,0.0163,0.5912
1,RANK_DEEP,535,0.0112,0.0206,0.2206,0.0037,0.0206,0.7234
1,RANK_MID,1032,0.0058,0.0126,0.374,0.0029,0.031,0.5736
1,RANK_SHALLOW,1356,0.0243,0.017,0.5649,0.0007,0.0383,0.3547
3,OVERALL,2923,0.0154,0.0171,0.4424,0.0021,0.0304,0.4926
3,STATE_CONTAGIOUS,47,0.0,0.9362,0.0,0.0,0.0,0.0638
3,STATE_DECOUPLED,1278,0.0023,0.0016,0.9718,0.0,0.0,0.0243
3,STATE_PEER_STRESSED,43,0.0,0.0233,0.0,0.0,0.0,0.9767
3,STATE_REORGANIZING,1407,0.0,0.0021,0.0299,0.0007,0.0,0.9673
3,STATE_TRUE_ISOLATED,97,0.0,0.0,0.0825,0.0,0.8969,0.0206
3,CELL6_M6_A,555,0.0162,0.0234,0.3946,0.0054,0.0144,0.5459
3,CELL6_M6_B,349,0.0057,0.0115,0.4183,0.0,0.043,0.5215
3,CELL6_M6_C,679,0.0088,0.0147,0.4624,0.0029,0.0368,0.4742
3,CELL6_M6_D,184,0.0054,0.0163,0.462,0.0,0.038,0.4783
3,CELL6_M6_E,730,0.0288,0.0151,0.4781,0.0,0.0247,0.4534
3,CELL6_M6_F,426,0.0141,0.0211,0.4225,0.0023,0.0376,0.5023
3,ABS_10-20%,1280,0.0086,0.0148,0.4789,0.0008,0.0391,0.4578
3,ABS_5-10%,601,0.0549,0.0216,0.4692,0.005,0.0383,0.411
3,ABS_>20%,1042,0.001,0.0173,0.382,0.0019,0.0154,0.5825
3,RANK_DEEP,535,0.0112,0.0206,0.2262,0.0037,0.0206,0.7178
3,RANK_MID,1032,0.0058,0.0136,0.375,0.0029,0.031,0.5717
3,RANK_SHALLOW,1356,0.0243,0.0184,0.5789,0.0007,0.0339,0.3437
7,OVERALL,2923,0.0157,0.0178,0.4444,0.0021,0.0311,0.4889
7,STATE_CONTAGIOUS,47,0.0,0.9362,0.0213,0.0,0.0,0.0426
7,STATE_DECOUPLED,1278,0.0023,0.0016,0.9609,0.0,0.0,0.0352
7,STATE_PEER_STRESSED,43,0.0,0.0465,0.0,0.0,0.0,0.9535
7,STATE_REORGANIZING,1407,0.0007,0.0028,0.0434,0.0007,0.0014,0.951
7,STATE_TRUE_ISOLATED,97,0.0,0.0,0.0825,0.0,0.8866,0.0309
7,CELL6_M6_A,555,0.0198,0.027,0.3982,0.0054,0.0144,0.5351
7,CELL6_M6_B,349,0.0057,0.0115,0.4183,0.0,0.043,0.5215
7,CELL6_M6_C,679,0.0088,0.0162,0.458,0.0029,0.0353,0.4786
7,CELL6_M6_D,184,0.0054,0.0163,0.4511,0.0,0.038,0.4891
7,CELL6_M6_E,730,0.0274,0.0137,0.4808,0.0,0.026,0.4521
7,CELL6_M6_F,426,0.0141,0.0211,0.439,0.0023,0.0423,0.4812
7,ABS_10-20%,1280,0.0094,0.0141,0.4813,0.0008,0.0398,0.4547
7,ABS_5-10%,601,0.0549,0.0233,0.4742,0.005,0.0399,0.4027
7,ABS_>20%,1042,0.001,0.0192,0.382,0.0019,0.0154,0.5806
7,RANK_DEEP,535,0.0112,0.0187,0.2318,0.0037,0.0187,0.7159
7,RANK_MID,1032,0.0058,0.0155,0.3837,0.0029,0.03,0.562
7,RANK_SHALLOW,1356,0.0251,0.0192,0.5745,0.0007,0.0369,0.3437
14,OVERALL,2923,0.014,0.0168,0.4458,0.0027,0.0308,0.4899
14,STATE_CONTAGIOUS,47,0.0213,0.8298,0.0851,0.0,0.0213,0.0426
14,STATE_DECOUPLED,1278,0.0008,0.0023,0.9437,0.0,0.0016,0.0516
14,STATE_PEER_STRESSED,43,0.0,0.0698,0.0,0.0,0.0,0.9302
14,STATE_REORGANIZING,1407,0.0014,0.0028,0.059,0.0007,0.0021,0.9339
14,STATE_TRUE_ISOLATED,97,0.0,0.0,0.0928,0.0,0.8144,0.0928
14,CELL6_M6_A,555,0.0198,0.0288,0.4036,0.0054,0.0162,0.5261
14,CELL6_M6_B,349,0.0057,0.0115,0.4183,0.0,0.043,0.5215
14,CELL6_M6_C,679,0.0074,0.0133,0.4757,0.0044,0.0324,0.4669
14,CELL6_M6_D,184,0.0,0.0163,0.4402,0.0054,0.0326,0.5054
14,CELL6_M6_E,730,0.0247,0.011,0.4795,0.0,0.0288,0.4562
14,CELL6_M6_F,426,0.0117,0.0211,0.4202,0.0023,0.0399,0.5047
14,ABS_10-20%,1280,0.0078,0.0156,0.4852,0.0008,0.0391,0.4516
14,ABS_5-10%,601,0.0499,0.0183,0.4659,0.0083,0.0449,0.4126
14,ABS_>20%,1042,0.001,0.0173,0.3858,0.0019,0.0125,0.5816
14,RANK_DEEP,535,0.0131,0.0168,0.2318,0.0037,0.0187,0.7159
14,RANK_MID,1032,0.0068,0.0174,0.3866,0.0029,0.0281,0.5581
14,RANK_SHALLOW,1356,0.0199,0.0162,0.5752,0.0022,0.0376,0.3488
30,OVERALL,2923,0.0113,0.0168,0.4441,0.0021,0.0311,0.4947
30,STATE_CONTAGIOUS,47,0.0213,0.766,0.0851,0.0,0.0213,0.1064
30,STATE_DECOUPLED,1278,0.0016,0.0023,0.9131,0.0,0.0016,0.0814
30,STATE_PEER_STRESSED,43,0.0,0.093,0.0,0.0,0.0,0.907
30,STATE_REORGANIZING,1407,0.0007,0.0043,0.0789,0.0007,0.0057,0.9097
30,STATE_TRUE_ISOLATED,97,0.0,0.0,0.1546,0.0,0.7216,0.1237
30,CELL6_M6_A,555,0.0108,0.0342,0.4036,0.0036,0.0198,0.5279
30,CELL6_M6_B,349,0.0029,0.0115,0.4183,0.0,0.0344,0.533
30,CELL6_M6_C,679,0.0088,0.0118,0.4978,0.0044,0.0324,0.4448
30,CELL6_M6_D,184,0.0,0.0163,0.4402,0.0054,0.0272,0.5109
30,CELL6_M6_E,730,0.0219,0.0096,0.4712,0.0,0.0301,0.4671
30,CELL6_M6_F,426,0.0094,0.0188,0.3873,0.0,0.0446,0.5399
30,ABS_10-20%,1280,0.0063,0.0141,0.4852,0.0,0.0359,0.4586
30,ABS_5-10%,601,0.0399,0.0183,0.4659,0.0067,0.0532,0.416
30,ABS_>20%,1042,0.001,0.0192,0.381,0.0019,0.0125,0.5845
30,RANK_DEEP,535,0.0112,0.0168,0.228,0.0037,0.0187,0.7215
30,RANK_MID,1032,0.0068,0.0184,0.3847,0.0019,0.0281,0.5601
30,RANK_SHALLOW,1356,0.0147,0.0155,0.5745,0.0015,0.0383,0.3555
