abs_class,sigma_class,n_days,median_membership_turnover,p_state_change_daily,p_decoupling,p_contagion,p_rejoin,rel_state_entropy,median_days_since_snapshot,median_abs_ret,median_sigma
10-20%,2-3σ,145,1.0,0.0,0.4414,0.531,0.1793,1.4237,324.0,0.1372,2.4953
10-20%,3-4σ,55,1.0,0.0,0.1455,0.2182,0.4182,0.8699,987.0,0.1381,3.1462
10-20%,4σ+,249,1.0,0.0,0.3333,0.3695,0.1928,0.8601,194.0,0.1373,6.9184
10-20%,<2σ,74345,1.0,0.0048,0.2705,0.2807,0.1186,1.4191,261.0,0.1289,0.0781
2-5%,2-3σ,206,1.0,0.0,0.4369,0.3981,0.1165,0.6644,255.5,0.0323,2.4952
2-5%,3-4σ,68,0.9474,0.0,0.5147,0.3971,0.0147,0.9488,80.0,0.0319,3.4179
2-5%,4σ+,542,1.0,0.0,0.3967,0.286,0.107,0.8624,259.0,0.0318,9.9805
2-5%,<2σ,329945,1.0,0.0003,0.3064,0.2329,0.1211,1.4869,322.0,0.0317,0.0543
5-10%,2-3σ,172,1.0,0.0,0.4593,0.4593,0.1628,0.8114,310.5,0.0714,2.5015
5-10%,3-4σ,50,1.0,0.0,0.34,0.32,0.12,0.971,161.5,0.0748,3.3619
5-10%,4σ+,318,1.0,0.0,0.3805,0.2862,0.1792,0.7835,177.5,0.0697,7.9008
5-10%,<2σ,180068,1.0,0.001,0.2983,0.2486,0.12,1.4541,293.0,0.067,0.0633
<2%,2-3σ,431,1.0,0.0,0.4408,0.478,0.123,0.6165,274.0,0.0047,2.2878
<2%,3-4σ,204,1.0,0.0,0.1569,0.1225,0.1569,0.8113,131.5,0.0004,3.3579
<2%,4σ+,1114,1.0,0.0,0.3178,0.3375,0.1346,1.017,414.5,0.0049,16.4969
<2%,<2σ,554384,0.9474,0.0003,0.291,0.2578,0.1246,1.8263,303.0,0.0066,0.0438
>20%,2-3σ,336,1.0,0.003,0.3363,0.4851,0.1726,1.1221,285.5,0.5492,2.6146
>20%,3-4σ,121,1.0,0.0,0.124,0.2975,0.2149,0.6468,304.0,0.6557,3.3436
>20%,4σ+,2097,1.0,0.0,0.0963,0.3376,0.0477,0.8853,496.0,0.6238,10.7423
>20%,<2σ,32828,1.0,0.0074,0.2577,0.3002,0.115,1.3197,250.0,0.2996,0.1207
