regime,response,n_bins,ceiling,half_saturation_abs,onset_abs_20pct_ceiling,max_observed,min_observed,half_sat_ratios_vs_overall
OVERALL,membership_turnover,12,0.8985,0.0,0.0,0.9298,0.8545,
OVERALL,decoupling,12,0.2973,0.0,0.0,0.3097,0.2669,
OVERALL,state_change,12,0.0171,0.5,0.125,0.0058,0.0002,
HH,membership_turnover,12,0.8999,0.0,0.0,0.9305,0.8542,
HH,decoupling,12,0.2983,0.0,0.0,0.3099,0.2665,
HH,state_change,12,0.0136,0.5,0.125,0.0047,0.0002,
HL,membership_turnover,12,0.8971,0.0,0.0,0.9334,0.854,
HL,decoupling,12,0.2999,0.0,0.0,0.3184,0.2534,
HL,state_change,12,0.0201,0.5,0.125,0.0065,0.0001,
LH,membership_turnover,12,0.8968,0.0,0.0,0.9241,0.8564,
LH,decoupling,12,0.2986,0.0,0.0,0.3085,0.2821,
LH,state_change,12,0.0185,0.5,0.125,0.0068,0.0001,
LL,membership_turnover,12,0.899,0.0,0.0,0.9299,0.8543,
LL,decoupling,12,0.2946,0.0,0.0,0.3086,0.2587,
LL,state_change,12,0.0185,0.5,0.125,0.0061,0.0001,
VERDICT,SATURATION_NOT_MEASURABLE_CARRY_DOMINATED::membership_turnover,0,,,,,,
VERDICT,SATURATION_NOT_MEASURABLE_CARRY_DOMINATED::decoupling,0,,,,,,
VERDICT,SATURATION_THRESHOLD_REGIME_INVARIANT::state_change,4,,,,,,1.0;1.0;1.0;1.0
